"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0003816846,0.002836027,0.100409
0,6,0.004722644,0.01590647,0.2427911
0,9,0.01391766,0.03376744,0.3792169
0,12,0.02562802,0.0518956,0.4957915
0,15,0.03770376,0.06796258,0.5909715
0,18,0.04886536,0.08117255,0.6678287
0,21,0.05857534,0.09153335,0.7298788
0,24,0.06672542,0.09935358,0.780071
0,27,0.07340097,0.1050124,0.8207527
0,30,0.07875568,0.1088726,0.853784
0,33,0.08295536,0.1112532,0.8806434
0,36,0.08615587,0.1124247,0.9025111
0,39,0.08849611,0.1126132,0.9203327
0,42,0.09009728,0.1120063,0.9348692
0,45,0.09106439,0.1107598,0.9467342
0,48,0.09148839,0.1090031,0.9564239
0,51,0.09144833,0.1068442,0.964341
0,54,0.09101322,0.1043735,0.9708121
0,57,0.09024359,0.1016669,0.976103
0,60,0.08919278,0.09878863,0.98043
0,63,0.087908,0.09579273,0.9839695
0,66,0.08643114,0.0927251,0.9868652
0,69,0.08479945,0.08962462,0.9892347
0,72,0.08304609,0.08652417,0.9911739
0,75,0.08120053,0.08345131,0.9927608
0,78,0.07928886,0.08042908,0.9940597
0,81,0.07733411,0.0774764,0.9951228
0,84,0.07535648,0.07460848,0.9959931
0,87,0.0733734,0.07183718,0.9967055
0,90,0.07139983,0.06917129,0.9972886
0,93,0.06944833,0.06661685,0.9977661
0,96,0.06752925,0.06417743,0.998157
0,99,0.06565087,0.06185443,0.9984769
0,102,0.06381963,0.05964738,0.9987389
0,105,0.06204028,0.05755424,0.9989534
0,108,0.06031608,0.05557172,0.9991291
0,111,0.05864903,0.05369558,0.9992728
0,114,0.05704007,0.05192087,0.9993906
0,117,0.05548928,0.05024222,0.999487
0,120,0.05399602,0.04865402,0.9995659
0,123,0.05255916,0.04715059,0.9996306
0,126,0.05117714,0.04572634,0.9996835
0,129,0.04984818,0.04437586,0.9997268
0,132,0.04857028,0.04309399,0.9997623
0,135,0.04734137,0.04187588,0.9997914
0,138,0.04615933,0.04071699,0.9998152
0,141,0.04502206,0.03961311,0.9998347
0,144,0.04392748,0.03856038,0.9998506
0,147,0.04287359,0.03755524,0.9998637
0,150,0.04185845,0.03659443,0.9998744
0,153,0.04088021,0.03567499,0.9998832
0,156,0.03993711,0.03479421,0.9998904
0,159,0.03902747,0.0339496,0.9998963
0,162,0.0381497,0.03313891,0.9999011
0,165,0.0373023,0.03236006,0.999905
0,168,0.03648386,0.03161116,0.9999083
0,171,0.03569302,0.03089049,0.999911
0,174,0.03492852,0.03019643,0.9999131
0,177,0.03418917,0.02952753,0.9999149
0,180,0.03347382,0.02888242,0.9999163
0,183,0.03278141,0.02825985,0.9999175
0,186,0.03211092,0.02765866,0.9999185
0,189,0.03146139,0.02707777,0.9999193
0,192,0.03083192,0.02651617,0.99992
0,195,0.03022164,0.02597294,0.9999205
0,198,0.02962974,0.02544719,0.999921
0,201,0.02905544,0.0249381,0.9999213
0,204,0.028498,0.02444492,0.9999216
0,207,0.02795673,0.02396691,0.9999219
0,210,0.02743097,0.02350341,0.9999221
0,213,0.02692009,0.02305377,0.9999222
0,216,0.02642348,0.02261739,0.9999224
0,219,0.02594058,0.0221937,0.9999225
0,222,0.02547085,0.02178217,0.9999226
0,225,0.02501377,0.0213823,0.9999226
0,228,0.02456884,0.02099359,0.9999227
0,231,0.02413561,0.0206156,0.9999228
0,234,0.02371363,0.0202479,0.9999228
0,237,0.02330247,0.01989007,0.9999229
0,240,0.02290173,0.01954172,0.9999229
0,243,0.02251102,0.0192025,0.9999229
0,246,0.02212997,0.01887204,0.9999229
0,249,0.02175824,0.01855002,0.9999229
0,252,0.02139549,0.01823611,0.9999229
0,255,0.0210414,0.01793001,0.9999229
0,258,0.02069566,0.01763144,0.999923
0,261,0.02035799,0.01734012,0.999923
0,264,0.0200281,0.01705579,0.999923
0,267,0.01970573,0.0167782,0.999923
0,270,0.01939062,0.01650712,0.999923
0,273,0.01908254,0.01624231,0.999923
0,276,0.01878124,0.01598355,0.999923
0,279,0.01848651,0.01573065,0.999923
0,282,0.01819814,0.01548341,0.999923
0,285,0.01791592,0.01524162,0.999923
0,288,0.01763966,0.01500513,0.999923
0,291,0.01736916,0.01477374,0.999923
0,294,0.01710426,0.0145473,0.999923
0,297,0.01684478,0.01432565,0.999923
0,300,0.01659055,0.01410864,0.999923
0,303,0.01634143,0.01389612,0.999923
0,306,0.01609725,0.01368796,0.999923
0,309,0.01585788,0.01348401,0.999923
0,312,0.01562317,0.01328417,0.999923
0,315,0.01539299,0.01308829,0.999923
0,318,0.01516722,0.01289627,0.999923
0,321,0.01494573,0.01270799,0.999923
0,324,0.0147284,0.01252335,0.999923
0,327,0.01451512,0.01234224,0.999923
0,330,0.01430579,0.01216456,0.999923
0,333,0.01410029,0.01199022,0.999923
0,336,0.01389852,0.01181913,0.999923
0,339,0.0137004,0.01165119,0.999923
0,342,0.01350582,0.01148633,0.999923
0,345,0.01331469,0.01132447,0.999923
0,348,0.01312694,0.01116551,0.999923
0,351,0.01294247,0.0110094,0.999923
0,354,0.0127612,0.01085605,0.999923
0,357,0.01258306,0.0107054,0.999923
0,360,0.01240798,0.01055738,0.999923
0,363,0.01223587,0.01041192,0.999923
0,366,0.01206667,0.01026897,0.999923
0,369,0.01190032,0.01012846,0.999923
0,372,0.01173674,0.009990332,0.999923
0,375,0.01157588,0.009854533,0.999923
0,378,0.01141768,0.009721007,0.999923
0,381,0.01126207,0.009589704,0.999923
0,384,0.01110899,0.009460572,0.999923
0,387,0.01095841,0.009333563,0.999923
0,390,0.01081025,0.009208629,0.999923
0,393,0.01066447,0.009085725,0.999923
0,396,0.01052102,0.008964806,0.999923
0,399,0.01037985,0.008845829,0.999923
0,402,0.01024092,0.008728757,0.999923
0,405,0.01010417,0.008613546,0.999923
0,408,0.009969573,0.008500158,0.999923
0,411,0.009837072,0.008388553,0.999923
0,414,0.009706627,0.008278693,0.999923
0,417,0.009578199,0.008170544,0.999923
0,420,0.009451751,0.008064074,0.999923
0,423,0.009327241,0.007959248,0.999923
0,426,0.009204635,0.007856033,0.999923
0,429,0.009083895,0.007754398,0.999923
0,432,0.008964987,0.007654312,0.999923
0,435,0.008847877,0.007555746,0.999923
0,438,0.008732532,0.007458672,0.999923
0,441,0.00861892,0.007363062,0.999923
0,444,0.008507008,0.007268888,0.999923
0,447,0.008396767,0.007176123,0.999923
0,450,0.008288166,0.007084743,0.999923
0,453,0.008181177,0.006994721,0.999923
0,456,0.008075771,0.006906034,0.999923
0,459,0.007971919,0.006818656,0.999923
0,462,0.007869594,0.006732564,0.999923
0,465,0.007768771,0.006647737,0.999923
0,468,0.007669422,0.006564151,0.999923
0,471,0.007571523,0.006481783,0.999923
0,474,0.007475048,0.006400615,0.999923
0,477,0.007379974,0.006320623,0.999923
0,480,0.007286277,0.006241789,0.999923
0,483,0.007193933,0.006164093,0.999923
0,486,0.007102921,0.006087515,0.999923
0,489,0.007013218,0.006012036,0.999923
0,492,0.006924803,0.00593764,0.999923
0,495,0.006837655,0.005864306,0.999923
0,498,0.006751753,0.005792018,0.999923
0,501,0.006667077,0.005720758,0.999923
0,504,0.006583607,0.005650511,0.999923
0,507,0.006501324,0.005581258,0.999923
0,510,0.006420208,0.005512985,0.999923
0,513,0.006340241,0.005445675,0.999923
0,516,0.006261405,0.005379313,0.999923
0,519,0.006183682,0.005313884,0.999923
0,522,0.006107053,0.005249372,0.999923
0,525,0.006031503,0.005185764,0.999923
0,528,0.005957015,0.005123044,0.999923
0,531,0.00588357,0.0050612,0.999923
0,534,0.005811154,0.005000217,0.999923
0,537,0.005739751,0.004940081,0.999923
0,540,0.005669345,0.004880781,0.999923
0,543,0.00559992,0.004822302,0.999923
0,546,0.005531461,0.004764632,0.999923
0,549,0.005463954,0.004707758,0.999923
