"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0007649256,0.005689338,0.1004149
0,6,0.009515646,0.03213334,0.2428051
0,9,0.02822305,0.06871744,0.3792392
0,12,0.05230271,0.1063471,0.495821
0,15,0.07743189,0.1402248,0.591004
0,18,0.1009843,0.1686284,0.6678667
0,21,0.1218167,0.1914739,0.7299212
0,24,0.139655,0.209306,0.7801165
0,27,0.1546251,0.2228311,0.8208006
0,30,0.167,0.232738,0.8538338
0,33,0.1770849,0.2396373,0.8806947
0,36,0.1851707,0.2440501,0.9025636
0,39,0.191518,0.2464126,0.9203863
0,42,0.196355,0.2470878,0.9349236
0,45,0.1998796,0.2463767,0.9467893
0,48,0.2022627,0.2445295,0.9564797
0,51,0.2036526,0.2417542,0.9643973
0,54,0.2041785,0.2382248,0.9708689
0,57,0.2039531,0.2340867,0.9761602
0,60,0.2030755,0.2294624,0.9804875
0,63,0.2016329,0.2244552,0.984027
0,66,0.1997027,0.2191528,0.9869229
0,69,0.1973538,0.2136295,0.9892924
0,72,0.1946476,0.2079491,0.9912314
0,75,0.1916392,0.2021663,0.9928184
0,78,0.188378,0.1963279,0.9941173
0,81,0.1849087,0.1904746,0.9951804
0,84,0.1812717,0.1846417,0.9960507
0,87,0.1775034,0.1788597,0.9967632
0,90,0.1736369,0.1731551,0.9973464
0,93,0.1697023,0.167551,0.9978239
0,96,0.1657266,0.1620668,0.9982148
0,99,0.1617343,0.1567202,0.9985349
0,102,0.1577475,0.1515246,0.9987969
0,105,0.1537858,0.1464923,0.9990115
0,108,0.1498664,0.141632,0.9991871
0,111,0.1460045,0.1369511,0.9993309
0,114,0.142213,0.1324539,0.9994486
0,117,0.1385028,0.1281432,0.999545
0,120,0.134883,0.1240195,0.999624
0,123,0.1313603,0.1200812,0.9996887
0,126,0.1279398,0.1163252,0.9997416
0,129,0.1246249,0.1127469,0.999785
0,132,0.1214176,0.1093405,0.9998205
0,135,0.1183184,0.1060991,0.9998496
0,138,0.1153269,0.1030152,0.9998734
0,141,0.1124413,0.100081,0.9998929
0,144,0.1096596,0.09728806,0.9999089
0,147,0.1069789,0.0946283,0.999922
0,150,0.104396,0.09209359,0.9999327
0,153,0.1019072,0.08967605,0.9999415
0,156,0.09950896,0.08736822,0.9999487
0,159,0.09719748,0.08516298,0.9999545
0,162,0.09496901,0.08305369,0.9999593
0,165,0.09281985,0.08103414,0.9999633
0,168,0.0907464,0.07909859,0.9999666
0,171,0.08874517,0.07724172,0.9999692
0,174,0.08681283,0.07545865,0.9999714
0,177,0.08494619,0.07374486,0.9999732
0,180,0.08314221,0.07209623,0.9999746
0,183,0.08139802,0.07050893,0.9999758
0,186,0.07971086,0.06897947,0.9999768
0,189,0.07807815,0.06750461,0.9999776
0,192,0.07649744,0.06608138,0.9999782
0,195,0.07496642,0.06470702,0.9999788
0,198,0.07348286,0.06337897,0.9999793
