"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.72921,0.7115731,0
0,6,0.437449,0.356324,0
0,9,0.2834411,0.2348632,0
0,12,0.2065664,0.1760875,0
0,15,0.1680469,0.1467175,0
0,18,0.1477506,0.1307389,0
0,21,0.1360169,0.1210711,0
0,24,0.1283663,0.1144822,0
0,27,0.1227277,0.1094601,0
0,30,0.1181313,0.105281,0
0,33,0.1141177,0.1015924,0
0,36,0.1104631,0.09821795,0
0,39,0.1070558,0.09506682,0
0,42,0.1038364,0.09208963,0
0,45,0.1007732,0.08925904,0
0,48,0.09784785,0.0865586,0
0,51,0.09504757,0.08397685,0
0,54,0.09236293,0.08150502,0
0,57,0.08978706,0.07913655,0
0,60,0.08731453,0.07686614,0
0,63,0.08494014,0.07468879,0
0,66,0.08265888,0.07259971,0
0,69,0.08046627,0.07059455,0
0,72,0.0783582,0.06866934,0
0,75,0.07633079,0.06682031,0
0,78,0.07438027,0.06504383,0
0,81,0.07250306,0.06333645,0
0,84,0.0706957,0.06169486,0
0,87,0.06895503,0.06011602,0
0,90,0.06727803,0.05859701,0
0,93,0.06566186,0.05713509,0
0,96,0.06410374,0.05572762,0
0,99,0.06260108,0.05437208,0
0,102,0.06115137,0.05306609,0
0,105,0.05975221,0.05180738,0
0,108,0.05840136,0.05059378,0
0,111,0.0570967,0.04942326,0
0,114,0.05583619,0.04829387,0
0,117,0.05461788,0.04720379,0
0,120,0.05343994,0.04615125,0
0,123,0.0523006,0.04513457,0
0,126,0.05119821,0.04415216,0
0,129,0.05013116,0.04320254,0
0,132,0.04909793,0.04228424,0
0,135,0.04809708,0.04139585,0
0,138,0.04712726,0.04053612,0
0,141,0.04618716,0.03970385,0
0,144,0.04527556,0.03889791,0
0,147,0.04439127,0.03811708,0
0,150,0.04353314,0.0373602,0
0,153,0.04270007,0.03662639,0
0,156,0.04189108,0.03591475,0
0,159,0.0411052,0.03522423,0
0,162,0.04034151,0.03455402,0
0,165,0.03959911,0.03390332,0
0,168,0.03887716,0.03327127,0
0,171,0.03817485,0.03265705,0
0,174,0.03749141,0.03206013,0
0,177,0.03682617,0.03147982,0
0,180,0.0361784,0.03091523,0
0,183,0.03554742,0.03036599,0
0,186,0.03493261,0.02983135,0
0,189,0.03433336,0.02931081,0
