"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0001030693,0.0007616091,0.1008788
0,6,0.001254389,0.004201109,0.2432327
0,9,0.00364692,0.008781133,0.3795975
0,12,0.006620922,0.01327953,0.4961164
0,15,0.009596638,0.01710208,0.5912476
0,18,0.01224613,0.02007548,0.6680679
0,21,0.01444688,0.0222386,0.7300891
0,24,0.01619068,0.02370363,0.7802559
0,27,0.01751849,0.02459524,0.8209172
0,30,0.01848654,0.02502828,0.8539297
0,33,0.01915142,0.02510149,0.8807785
0,36,0.01956479,0.02489727,0.9026356
0,39,0.01977168,0.02448329,0.9204493
0,42,0.01981081,0.02391476,0.9349785
0,45,0.0197151,0.02323631,0.9468367
0,48,0.01951244,0.02248394,0.9565222
0,51,0.01922638,0.02168642,0.9644355
0,54,0.01887668,0.02086648,0.9709034
0,57,0.01847986,0.02004182,0.9761916
0,60,0.01804963,0.01922598,0.9805166
0,63,0.01759724,0.01842907,0.9840543
0,66,0.01713183,0.01765833,0.9869485
0,69,0.01666075,0.01691871,0.9893168
0,72,0.01618977,0.01621329,0.9912549
0,75,0.01572339,0.01554369,0.9928411
0,78,0.01526499,0.01491038,0.9941394
0,81,0.01481705,0.01431298,0.995202
0,84,0.01438135,0.01375051,0.9960718
0,87,0.01395906,0.01322154,0.9967839
0,90,0.01355087,0.01272438,0.9973668
0,93,0.01315716,0.01225718,0.997844
0,96,0.01277798,0.011818,0.9982347
0,99,0.01241321,0.01140493,0.9985545
0,102,0.01206259,0.01101609,0.9988164
0,105,0.01172571,0.01064968,0.9990308
0,108,0.01140215,0.01030401,0.9992064
0,111,0.0110914,0.009977489,0.9993501
0,114,0.01079294,0.009668647,0.9994678
0,117,0.01050626,0.009376133,0.9995642
0,120,0.01023081,0.009098706,0.9996431
0,123,0.009966093,0.008835233,0.9997077
0,126,0.009711599,0.008584682,0.9997606
0,129,0.009466846,0.008346114,0.9998039
0,132,0.00923137,0.008118675,0.9998394
0,135,0.009004725,0.007901588,0.9998684
0,138,0.008786489,0.007694147,0.9998922
0,141,0.008576261,0.007495708,0.9999117
0,144,0.008373658,0.007305688,0.9999276
0,147,0.008178321,0.007123553,0.9999407
0,150,0.007989907,0.006948814,0.9999514
0,153,0.007808091,0.006781025,0.9999602
0,156,0.007632569,0.006619776,0.9999673
0,159,0.00746305,0.006464692,0.9999732
0,162,0.007299261,0.006315426,0.9999781
0,165,0.007140941,0.006171658,0.999982
0,168,0.006987844,0.006033093,0.9999853
0,171,0.006839738,0.005899457,0.9999879
