"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,1.555453E-09,1.299696E-07,4.443572E-11,2.570163E-12,0,2.253153E-08,1.176725E-06,7.209206E-10,7.539751E-11,0,0,3.99599E-05,0,0
0,6,0,1.936996E-07,4.532351E-06,7.224422E-09,8.908989E-10,0,1.091945E-06,1.672027E-05,4.389049E-08,8.033228E-09,0,0,0.0002497677,0,0
0,9,0,2.195601E-06,2.876099E-05,8.86523E-08,1.698778E-08,0,7.972495E-06,7.116791E-05,3.430179E-07,8.83449E-08,0,0,0.0006911241,0,0
0,12,0,1.037271E-05,9.565715E-05,4.331858E-07,1.104424E-07,0,2.889413E-05,0.000188852,1.27998E-06,4.171212E-07,0,0,0.001376659,0,0
0,15,0,3.139961E-05,0.000227373,1.33292E-06,4.154657E-07,0,7.315219E-05,0.0003889473,3.285802E-06,1.273021E-06,0,0,0.00230182,0,0
0,18,0,7.294583E-05,0.0004414231,3.121443E-06,1.128742E-06,0,0.0001494762,0.0006846777,6.756589E-06,2.987048E-06,0,0,0.003456158,0,0
0,21,0,0.0001425721,0.0007499149,6.121961E-06,2.479215E-06,0,0.0002653669,0.001084011,1.202065E-05,5.891865E-06,0,0,0.004826465,0,0
0,24,0,0.000247092,0.001160077,1.061822E-05,4.696707E-06,0,0.0004269333,0.001590673,1.933258E-05,1.02869E-05,0,0,0.006398515,0,0
0,27,0,0.0003922895,0.001675159,1.684268E-05,7.989099E-06,0,0.0006389424,0.002205163,2.887806E-05,1.641979E-05,0,0,0.008158021,0,0
