"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3.097215E-09,2.599347E-07,8.846148E-11,5.090591E-12,0,4.494678E-08,2.353753E-06,1.439801E-09,1.504524E-10,0,0,3.996051E-05,0,0
0,6,0,3.854821E-07,9.06915E-06,1.441873E-08,1.777466E-09,0,2.171267E-06,3.346591E-05,8.756888E-08,1.6051E-08,0,0,0.0002497669,0,0
0,9,0,4.358907E-06,5.759666E-05,1.767158E-07,3.387806E-08,0,1.582374E-05,0.0001425925,6.837993E-07,1.7639E-07,0,0,0.0006911241,0,0
0,12,0,2.057761E-05,0.0001917446,8.631446E-07,2.201774E-07,0,5.734964E-05,0.0003787558,2.551601E-06,8.324221E-07,0,0,0.001376634,0,0
0,15,0,6.23151E-05,0.0004561434,2.656095E-06,8.281521E-07,0,0.0001453207,0.0007806528,6.5516E-06,2.539177E-06,0,0,0.002301819,0,0
0,18,0,0.0001448969,0.0008861274,6.221051E-06,2.249111E-06,0,0.0002972828,0.001375024,1.34737E-05,5.953215E-06,0,0,0.003456163,0,0
0,21,0,0.0002835131,0.001506135,1.220193E-05,4.936444E-06,0,0.0005284106,0.002177809,2.396942E-05,1.17288E-05,0,0,0.004819367,0,0
0,24,0,0.0004918887,0.00232942,2.115978E-05,9.340775E-06,0,0.0008508857,0.003192378,3.852729E-05,2.044391E-05,0,0,0.006368404,0,0
0,27,0,0.0007813991,0.003359602,3.353462E-05,1.585988E-05,0,0.001273567,0.004419284,5.745957E-05,3.255076E-05,0,0,0.00810771,0,0
0,30,0,0.001161141,0.00459727,4.965008E-05,2.48083E-05,0,0.001803693,0.005857228,8.098863E-05,4.837149E-05,0,0,0.01002381,0,0
0,33,0,0.001638605,0.006040259,6.974818E-05,3.641622E-05,0,0.002447251,0.007501762,0.0001092719,6.812284E-05,0,0,0.01210331,0,0
0,36,0,0.002219873,0.007683458,9.400066E-05,5.08394E-05,0,0.003208822,0.009346038,0.0001423962,9.192997E-05,0,0,0.01433367,0,0
0,39,0,0.002909707,0.009519528,0.0001225153,6.816955E-05,0,0.00409171,0.01138165,0.0001803857,0.0001198389,0,0,0.01670326,0,0
0,42,0,0.003711667,0.01153967,0.0001553433,8.844309E-05,0,0.00509812,0.01359928,0.000223214,0.0001518292,0,0,0.01920137,0,0
0,45,0,0.004628262,0.01373425,0.0001924882,0.0001116498,0,0.006229335,0.01598919,0.0002708138,0.0001878259,0,0,0.02181709,0,0
0,48,0,0.005661086,0.01609255,0.0002339144,0.0001377419,0,0.007485737,0.01853762,0.000323083,0.0002277122,0,0,0.02450387,0,0
0,51,0,0.006810548,0.01859819,0.0002795399,0.0001666405,0,0.008865559,0.02122329,0.0003798356,0.0002713285,0,0,0.02724999,0,0
0,54,0,0.008075252,0.02123222,0.0003292131,0.0001982329,0,0.01036489,0.02403009,0.0004407993,0.00031846,0,0,0.03006495,0,0
0,57,0,0.009452454,0.02397988,0.0003827333,0.0002323714,0,0.0119797,0.02694787,0.0005057079,0.0003688543,0,0,0.03295487,0,0
0,60,0,0.01093911,0.02683165,0.0004398968,0.000268886,0,0.01370677,0.02997068,0.0005743454,0.0004222552,0,0,0.03592326,0,0
0,63,0,0.01253248,0.02978151,0.000500522,0.000307605,0,0.01554365,0.03309487,0.0006465388,0.0004784254,0,0,0.03897176,0,0
0,66,0,0.01423034,0.03282586,0.0005644558,0.0003483684,0,0.0174885,0.03631818,0.0007221494,0.000537156,0,0,0.04210038,0,0
0,69,0,0.01603087,0.0359622,0.000631569,0.0003910349,0,0.01953978,0.03963875,0.0008010582,0.0005982663,0,0,0.04530776,0,0
0,72,0,0.01793253,0.03918837,0.0007017481,0.0004354811,0,0.02169604,0.04305472,0.0008831547,0.0006615975,0,0,0.04859181,0,0
0,75,0,0.01993391,0.04250232,0.0007748892,0.0004815982,0,0.02395586,0.046564,0.0009683335,0.0007270073,0,0,0.05195004,0,0
0,78,0,0.02203359,0.04590178,0.000850894,0.0005292889,0,0.02631763,0.05016422,0.001056489,0.0007943661,0,0,0.05537947,0,0
0,81,0,0.02423011,0.04938426,0.0009296658,0.0005784637,0,0.02877963,0.05385267,0.001147514,0.0008635516,0,0,0.05887691,0,0
0,84,0,0.02652183,0.05294696,0.001011107,0.0006290385,0,0.03133987,0.05762631,0.001241298,0.0009344474,0,0,0.06243898,0,0
0,87,0,0.02890696,0.05658675,0.00109512,0.0006809335,0,0.03399612,0.06148172,0.001337727,0.001006941,0,0,0.06606221,0,0
0,90,0,0.03138346,0.06030024,0.001181602,0.000734071,0,0.03674586,0.06541522,0.001436682,0.001080922,0,0,0.06974312,0,0
0,93,0,0.03394906,0.06408376,0.001270448,0.0007883742,0,0.03958635,0.06942287,0.001538038,0.001156282,0,0,0.07347824,0,0
0,96,0,0.03660126,0.06793348,0.001361548,0.0008437673,0,0.04251457,0.07350053,0.001641673,0.001232911,0,0,0.07726418,0,0
0,99,0,0.03933732,0.07184538,0.001454792,0.000900175,0,0.04552725,0.0776439,0.001747458,0.001310704,0,0,0.08109762,0,0
0,102,0,0.04215429,0.07581531,0.001550067,0.0009575224,0,0.04862095,0.08184855,0.00185526,0.001389555,0,0,0.08497535,0,0
0,105,0,0.045049,0.07983907,0.001647254,0.001015736,0,0.05179199,0.08610997,0.001964941,0.00146936,0,0,0.08889426,0,0
0,108,0,0.04801811,0.08391237,0.001746234,0.001074742,0,0.05503655,0.09042358,0.002076368,0.001550018,0,0,0.09285137,0,0
0,111,0,0.05105812,0.08803092,0.001846887,0.00113447,0,0.05835067,0.09478476,0.002189414,0.001631428,0,0,0.09684382,0,0
0,114,0,0.05416537,0.09219038,0.001949099,0.001194849,0,0.06173026,0.09918889,0.002303948,0.001713494,0,0,0.1008688,0,0
0,117,0,0.05733612,0.09638644,0.002052748,0.00125581,0,0.06517118,0.1036312,0.002419822,0.001796121,0,0,0.1049229,0,0
0,120,0,0.06056647,0.1006124,0.00215771,0.001317286,0,0.06866889,0.1080938,0.002536906,0.001879218,0,0,0.1088738,0,0
0,123,0,0.06385137,0.1048444,0.002263835,0.001379209,0,0.07221526,0.1125442,0.002654942,0.001962685,0,0,0.1128166,0,0
0,126,0,0.06718385,0.1090646,0.002370909,0.001441507,0,0.07580088,0.1169797,0.002773623,0.002046401,0,0,0.1167744,0,0
0,129,0,0.0705564,0.1132685,0.002478704,0.00150409,0,0.07941838,0.1214001,0.002892719,0.002130228,0,0,0.1207459,0,0
0,132,0,0.07396271,0.1174558,0.002587032,0.001566869,0,0.08306244,0.1258058,0.003012077,0.002214045,0,0,0.1247294,0,0
0,135,0,0.07739705,0.1216271,0.002695732,0.001629751,0,0.08672829,0.1301964,0.003131571,0.002297739,0,0,0.128721,0,0
0,138,0,0.08085475,0.1257816,0.00280468,0.001692658,0,0.0904118,0.1345699,0.003251096,0.002381217,0,0,0.1327195,0,0
0,141,0,0.08433174,0.1299178,0.002913771,0.001755526,0,0.09410913,0.1389246,0.003370553,0.002464406,0,0,0.1367259,0,0
0,144,0,0.08782434,0.1340345,0.003022913,0.001818302,0,0.09781677,0.143259,0.003489857,0.002547246,0,0,0.1407389,0,0
0,147,0,0.09132898,0.1381302,0.003132017,0.001880941,0,0.1015313,0.1475712,0.003608921,0.002629682,0,0,0.1447572,0,0
0,150,0,0.09484236,0.1422032,0.003241002,0.001943402,0,0.1052494,0.1518589,0.003727667,0.00271167,0,0,0.1487794,0,0
0,153,0,0.09836138,0.1462518,0.003349794,0.002005651,0,0.1089682,0.1561201,0.003846022,0.002793167,0,0,0.1528044,0,0
0,156,0,0.1018831,0.150274,0.003458321,0.002067657,0,0.1126847,0.1603525,0.003963915,0.002874138,0,0,0.1568309,0,0
0,159,0,0.1054047,0.154268,0.003566519,0.002129393,0,0.1163961,0.1645538,0.004081279,0.002954553,0,0,0.1608578,0,0
0,162,0,0.1089236,0.1582317,0.003674323,0.002190836,0,0.1200998,0.1687217,0.004198051,0.003034382,0,0,0.1648838,0,0
0,165,0,0.1124373,0.162163,0.003781677,0.002251963,0,0.1237933,0.1728539,0.004314171,0.003113602,0,0,0.1689079,0,0
0,168,0,0.1159432,0.16606,0.003888522,0.002312756,0,0.1274742,0.1769483,0.004429584,0.003192189,0,0,0.172929,0,0
0,171,0,0.1194392,0.1699208,0.003994805,0.002373196,0,0.1311401,0.1810025,0.004544234,0.003270124,0,0,0.176946,0,0
0,174,0,0.1229231,0.1737434,0.004100477,0.002433266,0,0.134789,0.1850144,0.004658072,0.003347388,0,0,0.1809578,0,0
0,177,0,0.1263927,0.1775258,0.00420549,0.002492953,0,0.1384187,0.188982,0.004771049,0.003423965,0,0,0.1849634,0,0
0,180,0,0.129846,0.1812663,0.004309798,0.002552241,0,0.1420273,0.1929031,0.004883118,0.003499839,0,0,0.188961,0,0
0,183,0,0.1332812,0.184963,0.004413356,0.002611118,0,0.1456128,0.1967754,0.004994237,0.003574997,0,0,0.192949,0,0
0,186,0,0.1366964,0.1886137,0.004516125,0.002669573,0,0.1491734,0.2005967,0.005104363,0.003649428,0,0,0.1969267,0,0
0,189,0,0.1400898,0.1922166,0.004618063,0.002727594,0,0.1527074,0.2043649,0.005213454,0.00372312,0,0,0.2008928,0,0
0,192,0,0.1434598,0.1957698,0.004719133,0.002785173,0,0.156213,0.2080779,0.005321472,0.003796063,0,0,0.2048464,0,0
0,195,0,0.1468046,0.1992715,0.004819297,0.0028423,0,0.1596887,0.2117338,0.005428379,0.00386825,0,0,0.2087865,0,0
0,198,0,0.1501229,0.20272,0.00491852,0.002898966,0,0.1631328,0.2153307,0.00553414,0.003939671,0,0,0.2127122,0,0
0,201,0,0.153413,0.2061135,0.005016769,0.002955165,0,0.166544,0.2188666,0.005638721,0.00401032,0,0,0.2166184,0,0
0,204,0,0.1566736,0.2094495,0.005114011,0.00301089,0,0.1699207,0.2223367,0.005742088,0.004080191,0,0,0.2204929,0,0
0,207,0,0.1599031,0.2127234,0.005210212,0.003066133,0,0.1732611,0.2257349,0.005844195,0.004149277,0,0,0.2243347,0,0
0,210,0,0.1630999,0.2159301,0.005305328,0.003120888,0,0.1765632,0.2290562,0.005944985,0.004217573,0,0,0.2281431,0,0
0,213,0,0.1662619,0.2190649,0.005399311,0.003175149,0,0.1798246,0.2322959,0.0060444,0.004285068,0,0,0.2319174,0,0
0,216,0,0.1693872,0.2221237,0.005492111,0.003228905,0,0.1830433,0.2354502,0.006142378,0.004351752,0,0,0.2356573,0,0
0,219,0,0.1724737,0.2251033,0.005583672,0.003282149,0,0.186217,0.2385161,0.006238865,0.004417612,0,0,0.2393621,0,0
0,222,0,0.1755195,0.2280009,0.005673945,0.003334869,0,0.1893436,0.2414908,0.006333804,0.004482635,0,0,0.2430316,0,0
