"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,3.092272E-09,2.599099E-07,8.826551E-11,5.075194E-12,0,4.49334E-08,2.353762E-06,1.439043E-09,1.502619E-10,0,0,3.996062E-05,0,0
0,6,0,3.854267E-07,9.069163E-06,1.441612E-08,1.777549E-09,0,2.171227E-06,3.346675E-05,8.756592E-08,1.604915E-08,0,0,0.0002497734,0,0
0,9,0,4.358895E-06,5.759813E-05,1.767144E-07,3.387564E-08,0,1.582412E-05,0.0001425954,6.838158E-07,1.763891E-07,0,0,0.0006911326,0,0
0,12,0,2.0578E-05,0.0001917483,8.631613E-07,2.201781E-07,0,5.735078E-05,0.0003787606,2.551652E-06,8.324364E-07,0,0,0.001376664,0,0
0,15,0,6.231629E-05,0.0004561476,2.656147E-06,8.281714E-07,0,0.0001453226,0.0007806586,6.551685E-06,2.539225E-06,0,0,0.002301791,0,0
0,18,0,0.0001448993,0.000886131,6.221151E-06,2.249191E-06,0,0.000297285,0.001375031,1.347379E-05,5.953324E-06,0,0,0.003456143,0,0
0,21,0,0.0002835159,0.001506143,1.220205E-05,4.936554E-06,0,0.0005284144,0.002177826,2.396957E-05,1.172894E-05,0,0,0.004819425,0,0
0,24,0,0.0004918968,0.002329439,2.116014E-05,9.341007E-06,0,0.0008508947,0.003192408,3.85277E-05,2.044429E-05,0,0,0.006368453,0,0
0,27,0,0.0007814121,0.003359635,3.353521E-05,1.586036E-05,0,0.001273581,0.004419324,5.746021E-05,3.255143E-05,0,0,0.008107748,0,0
0,30,0,0.001161159,0.004597319,4.965091E-05,2.480901E-05,0,0.001803715,0.00585728,8.098962E-05,4.837246E-05,0,0,0.01002384,0,0
0,33,0,0.001638625,0.006040309,6.974904E-05,3.641691E-05,0,0.002447275,0.007501814,0.000109273,6.812381E-05,0,0,0.01210335,0,0
0,36,0,0.002219894,0.007683503,9.400154E-05,5.084001E-05,0,0.003208847,0.009346083,0.0001423972,9.193087E-05,0,0,0.01433371,0,0
0,39,0,0.002909729,0.009519566,0.0001225162,6.817014E-05,0,0.004091735,0.01138168,0.0001803867,0.0001198398,0,0,0.01670327,0,0
0,42,0,0.003711689,0.01153971,0.0001553442,8.844367E-05,0,0.005098144,0.01359931,0.0002232149,0.00015183,0,0,0.01920138,0,0
0,45,0,0.004628284,0.01373428,0.0001924891,0.0001116504,0,0.006229357,0.01598921,0.0002708147,0.0001878266,0,0,0.02181705,0,0
0,48,0,0.005661106,0.01609256,0.0002339152,0.0001377425,0,0.007485755,0.01853763,0.0003230837,0.000227713,0,0,0.02450388,0,0
0,51,0,0.006810577,0.01859817,0.000279541,0.0001666412,0,0.008865578,0.02122325,0.0003798363,0.0002713295,0,0,0.02725003,0,0
0,54,0,0.008075278,0.02123215,0.0003292141,0.0001982338,0,0.01036489,0.02403002,0.0004407992,0.000318461,0,0,0.03006501,0,0
0,57,0,0.009452466,0.02397975,0.0003827336,0.0002323722,0,0.01197968,0.02694778,0.0005057069,0.0003688546,0,0,0.03295496,0,0
0,60,0,0.01093911,0.0268314,0.0004398962,0.0002688868,0,0.01370672,0.02997052,0.0005743428,0.0004222547,0,0,0.03592343,0,0
0,63,0,0.01253246,0.02978127,0.0005005206,0.0003076052,0,0.0155436,0.03309473,0.000646536,0.000478424,0,0,0.03897193,0,0
0,66,0,0.01423031,0.03282571,0.000564454,0.0003483677,0,0.01748846,0.0363181,0.0007221475,0.000537154,0,0,0.04210053,0,0
0,69,0,0.01603085,0.03596213,0.0006315677,0.0003910338,0,0.01953975,0.03963874,0.0008010571,0.0005982645,0,0,0.04530787,0,0
0,72,0,0.01793252,0.03918836,0.0007017473,0.00043548,0,0.02169604,0.04305473,0.0008831544,0.000661596,0,0,0.04859192,0,0
0,75,0,0.0199339,0.04250233,0.0007748888,0.0004815974,0,0.02395586,0.04656403,0.0009683336,0.0007270064,0,0,0.05195012,0,0
0,78,0,0.0220336,0.04590182,0.000850894,0.0005292881,0,0.02631765,0.05016427,0.001056489,0.0007943652,0,0,0.05537955,0,0
0,81,0,0.02423012,0.04938433,0.0009296662,0.0005784628,0,0.02877966,0.05385275,0.001147515,0.000863551,0,0,0.05887699,0,0
0,84,0,0.02652185,0.05294703,0.001011108,0.0006290375,0,0.03133991,0.05762639,0.001241299,0.0009344469,0,0,0.06243907,0,0
0,87,0,0.02890697,0.05658683,0.001095121,0.0006809324,0,0.03399615,0.06148181,0.001337728,0.00100694,0,0,0.06606232,0,0
0,90,0,0.03138346,0.06030033,0.001181603,0.0007340697,0,0.03674589,0.06541532,0.001436683,0.001080922,0,0,0.06974324,0,0
0,93,0,0.03394906,0.06408387,0.001270448,0.0007883731,0,0.03958638,0.06942298,0.001538041,0.001156281,0,0,0.07347837,0,0
0,96,0,0.03660127,0.0679336,0.00136155,0.000843767,0,0.0425146,0.07350065,0.001641677,0.001232912,0,0,0.07726429,0,0
0,99,0,0.03933734,0.07184549,0.001454795,0.0009001757,0,0.04552729,0.07764401,0.001747461,0.001310706,0,0,0.0810977,0,0
0,102,0,0.04215432,0.07581542,0.001550069,0.0009575239,0,0.04862099,0.08184865,0.00185526,0.001389558,0,0,0.08497541,0,0
0,105,0,0.04504905,0.07983918,0.001647255,0.001015738,0,0.05179204,0.08611006,0.001964942,0.001469363,0,0,0.0888943,0,0
0,108,0,0.04801816,0.08391246,0.001746236,0.001074745,0,0.0550366,0.09042365,0.002076374,0.001550021,0,0,0.09285141,0,0
0,111,0,0.05105817,0.08803099,0.001846891,0.001134472,0,0.05835072,0.09478481,0.002189423,0.001631431,0,0,0.09684385,0,0
0,114,0,0.05416542,0.09219042,0.001949103,0.001194851,0,0.0617303,0.09918892,0.00230395,0.001713496,0,0,0.1008688,0,0
0,117,0,0.05733616,0.09638646,0.00205275,0.001255812,0,0.06517121,0.1036313,0.002419825,0.001796123,0,0,0.104923,0,0
0,120,0,0.06056654,0.1006126,0.002157713,0.001317288,0,0.06866898,0.1080938,0.002536909,0.00187922,0,0,0.1088738,0,0
0,123,0.0004198012,0.06385168,0.1048418,0.002263845,0.001379214,0.003191207,0.07221533,0.1125261,0.002654946,0.001962692,0.1004042,0,0.1126562,0,0
0,126,0.005626424,0.0671832,0.1090336,0.002370892,0.001441515,0.01947537,0.07579609,0.1169079,0.002773473,0.002046405,0.2428004,0,0.1165516,0,0
0,129,0.01755476,0.07055049,0.1131887,0.002478521,0.001504089,0.04377009,0.07940122,0.1212736,0.002892155,0.002130178,0.3792456,0,0.1205279,0,0
0,132,0.03383059,0.07394622,0.1173284,0.002586513,0.001566814,0.07041249,0.08302833,0.1256363,0.003010941,0.002213854,0.4958367,0,0.1245284,0,0
0,135,0.05178309,0.0773666,0.1214625,0.002694771,0.00162959,0.09600452,0.08667621,0.1299968,0.003129837,0.002297335,0.5910286,0,0.1285397,0,0
0,138,0.06957938,0.08080907,0.1255914,0.002803241,0.001692346,0.1189975,0.09034275,0.134352,0.003248808,0.002380555,0.6678985,0,0.1325583,0,0
0,141,0.08626151,0.08427111,0.1297126,0.002911871,0.001755033,0.1389561,0.09402509,0.1386979,0.003367789,0.00246347,0.7299583,0,0.136583,0,0
0,144,0.1014474,0.08774993,0.1338224,0.003020595,0.001817616,0.1559572,0.09772002,0.1430303,0.003486701,0.002546038,0.7801574,0,0.1406122,0,0
0,147,0.1150592,0.09124254,0.1379174,0.003129342,0.001880063,0.1702745,0.1014242,0.1473455,0.003605458,0.002628223,0.8208443,0,0.1446448,0,0
0,150,0.1271592,0.09474587,0.1419941,0.003238036,0.001942347,0.1822355,0.1051343,0.1516399,0.003723974,0.002709989,0.8538776,0,0.1486796,0,0
0,153,0.1378643,0.09825683,0.1460496,0.0033466,0.002004439,0.1921612,0.1088471,0.1559102,0.003842167,0.0027913,0.8807387,0,0.1527156,0,0
0,156,0.1473071,0.1017724,0.1500808,0.00345496,0.002066313,0.2003429,0.1125596,0.1601533,0.003959958,0.002872122,0.9026082,0,0.1567516,0,0
0,159,0.155617,0.1052896,0.154085,0.003563042,0.002127943,0.2070345,0.1162685,0.1643662,0.00407727,0.002952422,0.9204316,0,0.1607867,0,0
0,162,0.162913,0.1088057,0.1580597,0.003670779,0.002189304,0.2124538,0.1199713,0.1685462,0.004194034,0.00303217,0.9349697,0,0.16482,0,0
0,165,0.1693021,0.1123179,0.1620024,0.003778104,0.002250372,0.2167856,0.1236649,0.1726906,0.004310183,0.003111337,0.9468361,0,0.1688502,0,0
0,168,0.1748787,0.1158235,0.1659108,0.003884954,0.002311126,0.2201865,0.127347,0.176797,0.004425652,0.003189897,0.9565274,0,0.1728766,0,0
0,171,0.1797265,0.1193202,0.1697828,0.003991271,0.002371544,0.2227889,0.131015,0.180863,0.004540382,0.003267826,0.9644457,0,0.1768981,0,0
0,174,0.1839191,0.1228056,0.1736162,0.004097,0.002431607,0.2247051,0.1346666,0.1848863,0.004654319,0.003345103,0.970918,0,0.1809138,0,0
0,177,0.1875217,0.1262774,0.1774092,0.004202087,0.002491299,0.2260304,0.1382996,0.1888648,0.004767409,0.003421706,0.9762099,0,0.1849227,0,0
0,180,0.1905921,0.1297335,0.1811597,0.004306484,0.002550603,0.2268459,0.1419118,0.1927961,0.004879602,0.00349762,0.9805378,0,0.1889231,0,0
0,183,0.1931817,0.1331718,0.1848658,0.004410143,0.002609505,0.227221,0.1455013,0.1966782,0.004990853,0.003572828,0.9840779,0,0.1929135,0,0
0,186,0.1953366,0.1365905,0.1885254,0.004513022,0.002667991,0.2272151,0.1490662,0.2005086,0.005101116,0.003647315,0.9869744,0,0.1968932,0,0
0,189,0.1970979,0.1399877,0.1921367,0.004615076,0.00272605,0.2268794,0.1526046,0.2042853,0.005210348,0.00372107,0.9893444,0,0.200861,0,0
0,192,0.1985026,0.1433616,0.1956976,0.004716265,0.00278367,0.2262579,0.1561147,0.2080063,0.005318508,0.003794081,0.9912838,0,0.2048161,0,0
0,195,0.1995842,0.1467106,0.1992065,0.004816552,0.002840841,0.2253891,0.1595948,0.2116696,0.005425557,0.003866337,0.992871,0,0.2087574,0,0
0,198,0.2003729,0.150033,0.2026616,0.004915899,0.002897555,0.2243061,0.1630435,0.2152734,0.005531459,0.00393783,0.9941704,0,0.2126842,0,0
