"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,9.839967E-06,0.0005486652,3.390958E-07,2.368432E-08,0,0.000101094,0.003041383,3.853681E-06,4.827785E-07,0,0,0.01381924,0,0
0,6,0,0.0003426817,0.005673951,1.386932E-05,2.130967E-06,0,0.001427759,0.01444102,6.129695E-05,1.356428E-05,0,0,0.03257066,0,0
0,9,0,0.001882638,0.01858092,7.726986E-05,1.763134E-05,0,0.005272178,0.03487173,0.0002254444,6.667828E-05,0,0,0.05343128,0,0
0,12,0,0.005469613,0.03979123,0.0002196294,6.217242E-05,0,0.01216012,0.0634656,0.0005041149,0.0001756829,0,0,0.07545299,0,0
0,15,0,0.01156505,0.06867701,0.0004494123,0.0001440928,0,0.02210788,0.09967612,0.0008831188,0.0003390102,0,0,0.09849519,0,0
0,18,0,0.02030738,0.1045035,0.0007623197,0.0002624573,0,0.03492353,0.1426539,0.001346049,0.0005464603,0,0,0.1215424,0,0
0,21,0,0.03160762,0.1463609,0.001148601,0.000411036,0,0.05025147,0.1915476,0.001876017,0.0007858672,0,0,0.1445946,0,0
0,24,0,0.04522138,0.1934134,0.001596233,0.0005818924,0,0.06767478,0.2456619,0.002457312,0.001045844,0,0,0.1676585,0,0
0,27,0,0.06082972,0.2449868,0.002093056,0.0007673467,0,0.0867898,0.3044185,0.003076514,0.001316843,0,0,0.1907332,0,0
0,30,0,0.07809749,0.3005376,0.002627905,0.0009608323,0,0.1072346,0.3673105,0.003722514,0.001591355,0,0,0.2138086,0,0
0,33,0,0.09670574,0.3596072,0.003191018,0.001157122,0,0.1286957,0.4338826,0.00438623,0.001863722,0,0,0.2368852,0,0
0,36,0,0.1163666,0.4217971,0.003774102,0.00135225,0,0.1509073,0.5037225,0.005060301,0.002129836,0,0,0.2599642,0,0
0,39,0,0.1368283,0.4867538,0.004370236,0.001543324,0,0.1736465,0.5764537,0.005738814,0.002386822,0,0,0.2830468,0,0
0,42,0,0.1578751,0.5541582,0.004973729,0.001728316,0,0.1967282,0.6517311,0.006417047,0.002632764,0,0,0.3061346,0,0
0,45,0,0.1793247,0.6237203,0.005579954,0.001905872,0,0.2199996,0.7292385,0.007091278,0.002866482,0,0,0.32923,0,0
0,48,0,0.2010244,0.6951748,0.006185187,0.002075147,0,0.2433347,0.8086859,0.007758593,0.003087337,0,0,0.3523353,0,0
0,51,0,0.2228472,0.7682784,0.006786441,0.002235681,0,0.2666307,0.8898081,0.008416656,0.0032951,0,0,0.3754519,0,0
0,54,0,0.2446883,0.8428078,0.007381354,0.0023873,0,0.2898038,0.9723599,0.009063766,0.003489834,0,0,0.3985706,0,0
0,57,0,0.266462,0.9185547,0.007968084,0.002530035,0,0.3127864,1.056112,0.009698578,0.003671817,0,0,0.4216895,0,0
0,60,0,0.2880978,0.9953253,0.0085452,0.002664065,0,0.3355236,1.140853,0.01032009,0.003841473,0,0,0.4448085,0,0
0,63,0,0.3095391,1.07294,0.009111622,0.002789671,0,0.357972,1.226386,0.01092767,0.003999321,0,0,0.4678498,0,0
0,66,0,0.33074,1.151199,0.009666553,0.0029072,0,0.3800968,1.312402,0.0115208,0.004145949,0,0,0.4905211,0,0
0,69,0,0.3516632,1.229808,0.01020941,0.003017052,0,0.4018683,1.39846,0.0120992,0.004282001,0,0,0.5110737,0,0
0,72,0,0.3722759,1.30775,0.0107398,0.003119673,0,0.4232516,1.481788,0.01266277,0.004408245,0,0,0.526499,0,0
0,75,0,0.3925358,1.382881,0.01125752,0.003215642,0,0.4441808,1.561109,0.01321144,0.004525768,0,0,0.5415863,0,0
0,78,0,0.4123891,1.454445,0.0117623,0.003305692,0,0.4645982,1.636484,0.01374483,0.004635695,0,0,0.5564001,0,0
0,81,0,0.4317888,1.522442,0.01225384,0.003390566,0,0.4844704,1.707595,0.01426267,0.004739028,0,0,0.5673345,0,0
0,84,0,0.4506998,1.585916,0.01273194,0.003470961,0,0.5037667,1.772422,0.0147651,0.004836767,0,0,0.5760657,0,0
0,87,0,0.4690862,1.643867,0.01319663,0.0035476,0,0.522447,1.831156,0.01525232,0.004929983,0,0,0.5846471,0,0
0,90,0,0.4869156,1.696464,0.01364795,0.003621199,0,0.5404892,1.884365,0.01572439,0.005019619,0,0,0.5931063,0,0
0,93,0,0.5041671,1.744224,0.01408594,0.003692391,0,0.5578882,1.932653,0.0161814,0.005106446,0,0,0.6014659,0,0
0,96,0,0.5208316,1.787683,0.01451068,0.003761712,0,0.5746496,1.976572,0.01662358,0.005191085,0,0,0.6097448,0,0
0,99,0,0.5369106,1.827325,0.01492234,0.003829584,0,0.590787,2.016596,0.01705129,0.005274022,0,0,0.6179583,0,0
0,102,0,0.5524128,1.863452,0.0153212,0.003896341,0,0.6063178,2.052344,0.01746497,0.005355637,0,0,0.6222071,0,0
0,105,0,0.5673486,1.895098,0.01570763,0.003962267,0,0.6212466,2.082026,0.01786526,0.005436372,0,0,0.6250313,0,0
0,108,0,0.5817186,1.921467,0.0160821,0.004027698,0,0.6355627,2.105982,0.01825268,0.005516785,0,0,0.6278181,0,0
0,111,0,0.5955185,1.942818,0.01644497,0.004093002,0,0.6492632,2.124811,0.01862739,0.005597376,0,0,0.6305743,0,0
0,114,0,0.6087478,1.95969,0.01679641,0.004158515,0,0.6623538,2.139127,0.01898947,0.005678548,0,0,0.6333057,0,0
0,117,0,0.6214111,1.972621,0.01713654,0.004224514,0,0.6748464,2.149482,0.019339,0.005760605,0,0,0.6360165,0,0
0,120,0,0.6335174,1.98209,0.01746548,0.00429121,0,0.6867565,2.15635,0.01967612,0.005843768,0,0,0.6387108,0,0
0,123,0,0.6450798,1.98851,0.01778334,0.004358755,0,0.698102,2.160144,0.02000102,0.005928183,0,0,0.6413914,0,0
0,126,0,0.6561134,1.992235,0.01809029,0.004427251,0,0.7089022,2.16117,0.0203139,0.006013939,0,0,0.6434082,0,0
0,129,0,0.6666345,1.993267,0.01838649,0.004496766,0,0.7191738,2.158726,0.02061503,0.006101106,0,0,0.6435788,0,0
0,132,0,0.6766557,1.991131,0.01867217,0.004567371,0,0.7289227,2.152698,0.02090468,0.006189836,0,0,0.6437153,0,0
0,135,0,0.686184,1.985861,0.01894751,0.004639171,0,0.7381524,2.143452,0.02118294,0.006280294,0,0,0.6438459,0,0
0,138,0,0.6952254,1.977772,0.01921259,0.004712276,0,0.7468702,2.131387,0.02144978,0.006372605,0,0,0.6439716,0,0
0,141,0,0.7037872,1.967214,0.01946743,0.00478677,0,0.7550863,2.116873,0.02170519,0.006466851,0,0,0.6440935,0,0
0,144,0,0.7118785,1.954509,0.01971203,0.00486271,0,0.7628126,2.100235,0.02194916,0.006563067,0,0,0.6442122,0,0
0,147,0,0.7195097,1.93994,0.01994638,0.004940123,0,0.7700621,2.081759,0.02218172,0.006661248,0,0,0.6443286,0,0
0,150,0,0.7266924,1.923756,0.02017052,0.005019007,0,0.7768486,2.061695,0.0224029,0.00676136,0,0,0.644443,0,0
0,153,0,0.7334389,1.906173,0.02038447,0.005099338,0,0.7831859,2.040262,0.0226128,0.006863336,0,0,0.644556,0,0
0,156,0,0.7397617,1.887382,0.0205883,0.005181072,0,0.789088,2.017654,0.02281149,0.00696709,0,0,0.6446679,0,0
0,159,0,0.7456735,1.867554,0.02078207,0.00526415,0,0.7945687,1.994045,0.02299908,0.007072516,0,0,0.644779,0,0
0,162,0,0.751187,1.846839,0.02096587,0.005348498,0,0.7996416,1.969589,0.0231757,0.007179496,0,0,0.6448896,0,0
0,165,0,0.7563148,1.825373,0.02113979,0.005434036,0,0.8043201,1.944425,0.02334147,0.007287899,0,0,0.6449998,0,0
0,168,0,0.7610691,1.803275,0.02130394,0.005520673,0,0.8086172,1.918674,0.02349653,0.007397589,0,0,0.64511,0,0
0,171,0,0.7654622,1.780655,0.02145844,0.005608311,0,0.8125458,1.892451,0.02364105,0.007508419,0,0,0.6452201,0,0
0,174,0,0.7695058,1.75761,0.02160342,0.005696851,0,0.8161182,1.865854,0.02377519,0.007620241,0,0,0.6453304,0,0
0,177,0,0.7732116,1.734229,0.02173901,0.005786188,0,0.8193464,1.838975,0.02389911,0.007732901,0,0,0.6454409,0,0
0,180,0,0.7765908,1.710591,0.02186535,0.005876214,0,0.8222423,1.811895,0.02401299,0.007846245,0,0,0.6455519,0,0
0,183,0,0.7796543,1.686769,0.02198261,0.005966821,0,0.8248173,1.784689,0.02411704,0.007960117,0,0,0.6456633,0,0
0,186,0,0.7824129,1.662827,0.02209094,0.006057899,0,0.8270826,1.757423,0.02421144,0.008074361,0,0,0.6457753,0,0
0,189,0,0.7848769,1.638824,0.02219051,0.006149339,0,0.8290489,1.730158,0.02429639,0.008188822,0,0,0.6458878,0,0
0,192,0,0.7870566,1.614815,0.02228151,0.006241029,0,0.8307269,1.702949,0.02437212,0.008303345,0,0,0.646001,0,0
0,195,0,0.7889618,1.590846,0.02236409,0.006332861,0,0.8321267,1.675843,0.02443883,0.008417778,0,0,0.646115,0,0
0,198,0,0.7906021,1.566961,0.02243847,0.006424726,0,0.8332586,1.648887,0.02449676,0.008531969,0,0,0.6462298,0,0
0,201,0,0.7919868,1.5432,0.02250483,0.006516517,0,0.8341322,1.622118,0.02454613,0.008645773,0,0,0.6463454,0,0
0,204,0,0.7931253,1.519597,0.02256337,0.006608128,0,0.8347571,1.595573,0.02458717,0.008759043,0,0,0.6464618,0,0
0,207,0,0.7940263,1.496184,0.02261429,0.006699456,0,0.8351427,1.569284,0.02462014,0.008871639,0,0,0.6465793,0,0
0,210,0,0.7946987,1.472989,0.02265782,0.0067904,0,0.8352981,1.543278,0.02464527,0.008983424,0,0,0.6466976,0,0
0,213,0,0.795151,1.450037,0.02269415,0.006880861,0,0.8352321,1.517582,0.0246628,0.009094265,0,0,0.6468171,0,0
0,216,0,0.7953915,1.427351,0.0227235,0.006970742,0,0.8349537,1.492216,0.024673,0.009204033,0,0,0.6469375,0,0
