"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0001090557,0.0002864928,0
0,6,0.0001586488,0.0001417216,0
0,9,9.788973E-05,8.023773E-05,0
0,12,6.665766E-05,5.590167E-05,0
0,15,5.107207E-05,4.402209E-05,0
0,18,4.312717E-05,3.789674E-05,0
0,21,3.879283E-05,3.442265E-05,0
0,24,3.616204E-05,3.221389E-05,0
0,27,3.435372E-05,3.063169E-05,0
0,30,3.295739E-05,2.937554E-05,0
0,33,3.177894E-05,2.829821E-05,0
0,36,3.072908E-05,2.733071E-05,0
0,39,2.976279E-05,2.643722E-05,0
0,42,2.885417E-05,2.559667E-05,0
0,45,2.799146E-05,2.47991E-05,0
0,48,2.716963E-05,2.403991E-05,0
0,51,2.638426E-05,2.331506E-05,0
0,54,2.56316E-05,2.26213E-05,0
0,57,2.49097E-05,2.195684E-05,0
0,60,2.421688E-05,2.132003E-05,0
0,63,2.355173E-05,2.070939E-05,0
0,66,2.291284E-05,2.01236E-05,0
0,69,2.229888E-05,1.956143E-05,0
0,72,2.170863E-05,1.902172E-05,0
0,75,2.114096E-05,1.850339E-05,0
0,78,2.059481E-05,1.80054E-05,0
0,81,2.006918E-05,1.75268E-05,0
0,84,1.956318E-05,1.706667E-05,0
0,87,1.907581E-05,1.662412E-05,0
0,90,1.860619E-05,1.619833E-05,0
0,93,1.815365E-05,1.578855E-05,0
0,96,1.771754E-05,1.539409E-05,0
0,99,1.729694E-05,1.501419E-05,0
0,102,1.689099E-05,1.464811E-05,0
0,105,1.64993E-05,1.429534E-05,0
0,108,1.612133E-05,1.395532E-05,0
0,111,1.575641E-05,1.362745E-05,0
0,114,1.540368E-05,1.331104E-05,0
0,117,1.506284E-05,1.300571E-05,0
0,120,1.47334E-05,1.271099E-05,0
0,135,1.323976E-05,1.138018E-05,0
0,150,1.196475E-05,1.025179E-05,0
0,165,1.086669E-05,9.286232E-06,0
0,180,9.91278E-06,8.452567E-06,0
0,195,9.077271E-06,7.726569E-06,0
0,210,8.339842E-06,7.089186E-06,0
0,225,7.684357E-06,6.525353E-06,0
0,240,7.09797E-06,6.023126E-06,0
0,255,6.570374E-06,5.572971E-06,0
0,270,6.093254E-06,5.16723E-06,0
0,285,5.659809E-06,4.799678E-06,0
0,300,5.264519E-06,4.465289E-06,0
0,315,4.902845E-06,4.159961E-06,0
0,330,4.570989E-06,3.880279E-06,0
0,345,4.265743E-06,3.623381E-06,0
0,360,3.984354E-06,3.386823E-06,0
0,375,3.724453E-06,3.168513E-06,0
0,390,3.48403E-06,2.966693E-06,0
0,405,3.261343E-06,2.77985E-06,0
0,420,3.054865E-06,2.60666E-06,0
0,435,2.863236E-06,2.445956E-06,0
0,450,2.685267E-06,2.296721E-06,0
0,465,2.519827E-06,2.157985E-06,0
0,480,2.365979E-06,2.028958E-06,0
0,495,2.222776E-06,1.90883E-06,0
0,510,2.089443E-06,1.796951E-06,0
0,525,1.965222E-06,1.692681E-06,0
0,540,1.849453E-06,1.595465E-06,0
0,555,1.741526E-06,1.504793E-06,0
0,570,1.640878E-06,1.420194E-06,0
0,585,1.546993E-06,1.341236E-06,0
0,600,1.459402E-06,1.26753E-06,0
0,615,1.377663E-06,1.198706E-06,0
0,630,1.301348E-06,1.134406E-06,0
0,645,1.230057E-06,1.074295E-06,0
0,660,1.163517E-06,1.018153E-06,0
0,675,1.101337E-06,9.656468E-07,0
0,690,1.043168E-06,9.164829E-07,0
0,705,9.887269E-07,8.704249E-07,0
0,720,9.377884E-07,8.272893E-07,0
0,735,8.900964E-07,7.868621E-07,0
0,750,8.454268E-07,7.489566E-07,0
0,765,8.035987E-07,7.134252E-07,0
0,780,7.644308E-07,6.801186E-07,0
0,795,7.277278E-07,6.488726E-07,0
0,810,6.933341E-07,6.195593E-07,0
0,825,6.610925E-07,5.920473E-07,0
0,840,6.308451E-07,5.662042E-07,0
0,855,6.02445E-07,5.419065E-07,0
0,870,5.757776E-07,5.190601E-07,0
0,885,5.507096E-07,4.975522E-07,0
0,900,5.271354E-07,4.772957E-07,0
0,915,5.049578E-07,4.582097E-07,0
0,930,4.840867E-07,4.4022E-07,0
0,945,4.644306E-07,4.2325E-07,0
0,960,4.459173E-07,4.072404E-07,0
0,975,4.284705E-07,3.921278E-07,0
0,990,4.120176E-07,3.778512E-07,0
0,1005,3.964921E-07,3.643553E-07,0
0,1020,3.818346E-07,3.515907E-07,0
0,1035,3.679828E-07,3.39505E-07,0
0,1050,3.548828E-07,3.280533E-07,0
0,1065,3.424874E-07,3.171961E-07,0
0,1080,3.307483E-07,3.068932E-07,0
0,1095,3.196239E-07,2.971099E-07,0
0,1110,3.090758E-07,2.878143E-07,0
0,1125,2.990667E-07,2.789754E-07,0
0,1140,2.895597E-07,2.705619E-07,0
0,1155,2.80526E-07,2.625503E-07,0
0,1170,2.719385E-07,2.549183E-07,0
0,1185,2.637669E-07,2.476401E-07,0
0,1200,2.559821E-07,2.40691E-07,0
0,1215,2.485641E-07,2.34055E-07,0
0,1230,2.414923E-07,2.27715E-07,0
0,1245,2.34743E-07,2.216509E-07,0
0,1260,2.282952E-07,2.158448E-07,0
0,1275,2.221319E-07,2.102828E-07,0
0,1290,2.162359E-07,2.049505E-07,0
0,1305,2.105911E-07,1.998343E-07,0
0,1320,2.051823E-07,1.949214E-07,0
0,1335,1.999947E-07,1.901992E-07,0
0,1350,1.950143E-07,1.85656E-07,0
0,1365,1.902308E-07,1.812834E-07,0
0,1380,1.856327E-07,1.770713E-07,0
0,1395,1.812086E-07,1.730104E-07,0
0,1410,1.769486E-07,1.690922E-07,0
0,1425,1.728445E-07,1.653099E-07,0
0,1440,1.688877E-07,1.616561E-07,0
