"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.06627548,0.04558377,0.173829,0
0,6,0.113662,0.07776779,0.211372,0
0,9,0.1433618,0.09793984,0.2354678,0
0,12,0.1644117,0.1122385,0.2531286,0
0,15,0.1812212,0.1236582,0.2676623,0
0,18,0.1958547,0.1336002,0.2805358,0
0,21,0.2092633,0.1427102,0.2924241,0
0,24,0.2218923,0.1512906,0.3036518,0
0,27,0.2339509,0.1594833,0.3143764,0
0,30,0.2455492,0.1673632,0.3246856,0
0,33,0.190474,0.1293886,0.1607886,0
0,36,0.1539145,0.1045601,0.1328368,0
0,39,0.1347012,0.09151217,0.1180243,0
0,42,0.1238192,0.08412102,0.1093526,0
0,45,0.1168737,0.07940231,0.1035288,0
0,48,0.1118125,0.07596293,0.0990966,0
0,51,0.1076981,0.07316647,0.09539372,0
0,54,0.1040992,0.07072029,0.0921092,0
0,57,0.1008123,0.06848607,0.08909149,0
0,60,0.09774017,0.06639787,0.08626544,0
0,63,0.09483352,0.06442215,0.08359148,0
0,66,0.09206434,0.06253991,0.08104629,0
0,69,0.08941672,0.06074032,0.07861596,0
0,72,0.08688121,0.05901697,0.07629167,0
0,75,0.08445005,0.05736456,0.07406621,0
0,78,0.08211683,0.05577877,0.0719336,0
0,81,0.0798765,0.05425613,0.06988886,0
0,84,0.07772441,0.05279348,0.0679275,0
0,87,0.07565626,0.05138791,0.06604537,0
0,90,0.07366804,0.05003669,0.06423858,0
0,93,0.07175597,0.04873724,0.06250347,0
0,96,0.06991646,0.04748713,0.06083658,0
0,99,0.06814613,0.04628406,0.05923466,0
0,102,0.06644179,0.04512585,0.05769461,0
0,105,0.0648004,0.04401045,0.05621352,0
0,108,0.06321908,0.04293588,0.05478862,0
0,111,0.06169511,0.0419003,0.05341731,0
0,114,0.06022586,0.04090192,0.05209706,0
0,117,0.05880887,0.03993908,0.05082554,0
0,120,0.05744178,0.03901016,0.04960048,0
0,135,0.05128017,0.03482364,0.04410109,0
0,150,0.04607303,0.03128597,0.03948479,0
0,165,0.04163156,0.02826875,0.03557298,0
0,180,0.03780863,0.02567195,0.03222708,0
0,195,0.03448921,0.02341735,0.02933914,0
0,210,0.0315827,0.02144335,0.0268244,0
0,225,0.02901778,0.01970148,0.02461646,0
0,240,0.02673814,0.01815343,0.02266307,0
0,255,0.02469884,0.01676868,0.02092273,0
0,270,0.02286385,0.01552271,0.01936228,0
0,285,0.02120412,0.0143958,0.01795517,0
0,300,0.01969611,0.01337194,0.01667999,0
0,315,0.0183206,0.01243807,0.01551935,0
0,330,0.01706166,0.01158336,0.01445895,0
0,345,0.01590602,0.0107988,0.01348693,0
0,360,0.01484252,0.01007681,0.01259341,0
0,375,0.01386173,0.009410969,0.01177007,0
0,390,0.01295555,0.008795797,0.01100982,0
0,405,0.01211701,0.00822654,0.0103066,0
0,420,0.01134,0.007699063,0.009655149,0
0,435,0.0106192,0.00720974,0.009050861,0
0,450,0.009949866,0.006755364,0.008489708,0
