"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.6151441,0.4935785,0
0,6,0.3718461,0.3045648,0
0,9,0.2505697,0.2094975,0
0,12,0.190229,0.1637061,0
0,15,0.1596396,0.1401885,0
0,18,0.1430653,0.1269405,0
0,21,0.1330925,0.1185887,0
0,24,0.1263001,0.1126604,0
0,27,0.1210971,0.1079861,0
0,30,0.1167391,0.1040046,0
0,33,0.1128652,0.1004368,0
0,36,0.1093029,0.09714506,0
0,39,0.1059633,0.09405622,0
0,42,0.102799,0.09113058,0
0,45,0.09978408,0.08834539,0
0,48,0.0969016,0.08568565,0
0,51,0.09414031,0.08314103,0
0,54,0.09149258,0.08070429,0
0,57,0.08895209,0.07836936,0
0,60,0.08651297,0.07613063,0
0,63,0.08417009,0.07398317,0
0,66,0.08191889,0.07192256,0
0,69,0.07975505,0.0699446,0
0,72,0.07767443,0.06804529,0
0,75,0.07567308,0.06622087,0
0,78,0.07374732,0.06446776,0
0,81,0.07189364,0.06278257,0
0,84,0.0701088,0.06116219,0
0,87,0.06838971,0.05960365,0
0,90,0.06673337,0.05810403,0
0,93,0.0651369,0.05666057,0
0,96,0.06359756,0.05527065,0
0,99,0.06211279,0.05393192,0
0,102,0.06068018,0.05264199,0
0,105,0.05929739,0.05139852,0
0,108,0.05796218,0.0501994,0
0,111,0.05667242,0.04904283,0
0,114,0.05542618,0.04792684,0
0,117,0.05422156,0.04684939,0
0,120,0.05305665,0.04580899,0
0,135,0.0477711,0.04110669,0
0,150,0.04325334,0.03711358,0
0,165,0.03935683,0.03369109,0
0,180,0.03596685,0.030731,0
0,195,0.03299292,0.02814838,0
0,210,0.03036385,0.02587661,0
0,225,0.02802316,0.02386306,0
0,240,0.02592572,0.02206589,0
0,255,0.02403529,0.02045163,0
0,270,0.02232271,0.01899353,0
0,285,0.02076444,0.01767009,0
0,300,0.01934109,0.01646372,0
0,315,0.01803648,0.01535983,0
0,330,0.01683713,0.01434635,0
0,345,0.01573181,0.01341327,0
0,360,0.01471103,0.01255221,0
0,375,0.01376665,0.01175604,0
0,390,0.0128916,0.01101858,0
0,405,0.01207967,0.01033443,0
0,420,0.01132546,0.009698951,0
0,435,0.01062412,0.009107953,0
0,450,0.009971404,0.008557837,0
0,465,0.00936354,0.008045381,0
0,480,0.008797104,0.007567688,0
0,495,0.008268984,0.007122128,0
0,510,0.007776347,0.006706313,0
0,525,0.007316585,0.006318048,0
0,540,0.006887321,0.005955334,0
0,555,0.006486385,0.005616354,0
0,570,0.006111775,0.005299431,0
0,585,0.005761651,0.005003023,0
0,600,0.005434315,0.004725718,0
0,615,0.005128186,0.00446619,0
0,630,0.004841791,0.004223193,0
0,645,0.004573802,0.003995661,0
0,660,0.004322941,0.00378249,0
0,675,0.004087996,0.003582601,0
0,690,0.003867995,0.00339541,0
0,705,0.00366189,0.003219782,0
0,720,0.003468707,0.003055019,0
0,735,0.003287612,0.002900419,0
0,750,0.003117795,0.002755362,0
0,765,0.002958491,0.002619113,0
0,780,0.002809002,0.002491127,0
0,795,0.00266868,0.002370862,0
0,810,0.002536919,0.002257811,0
0,825,0.00241315,0.0021515,0
0,840,0.002296846,0.002051486,0
0,855,0.002187517,0.001957361,0
0,870,0.002084703,0.001868739,0
0,885,0.001987971,0.001785257,0
0,900,0.001896928,0.001706586,0
0,915,0.001811201,0.001632414,0
0,930,0.001730447,0.001562453,0
0,945,0.00165433,0.001496422,0
0,960,0.001582561,0.001434078,0
0,975,0.00151488,0.001375202,0
0,990,0.001451012,0.001319565,0
0,1005,0.001390724,0.001266969,0
0,1020,0.001333784,0.001217221,0
0,1035,0.001279977,0.001170141,0
0,1050,0.001229105,0.00112556,0
0,1065,0.001180981,0.001083322,0
0,1080,0.001135432,0.001043281,0
0,1095,0.001092296,0.001005302,0
0,1110,0.001051425,0.0009692585,0
0,1125,0.001012677,0.0009350324,0
0,1140,0.0009759236,0.0009025141,0
0,1155,0.0009410412,0.0008716002,0
0,1170,0.0009079169,0.0008421951,0
0,1185,0.0008764429,0.0008142077,0
0,1200,0.0008465204,0.0007875548,0
0,1215,0.0008180554,0.0007621567,0
0,1230,0.0007909615,0.0007379406,0
0,1245,0.0007651562,0.0007148363,0
0,1260,0.0007405644,0.0006927802,0
0,1275,0.0007171141,0.0006717119,0
0,1290,0.0006947397,0.0006515756,0
0,1305,0.0006733774,0.0006323164,0
0,1320,0.00065297,0.0006138859,0
0,1335,0.000633463,0.0005962389,0
0,1350,0.0006148061,0.0005793328,0
0,1365,0.000596949,0.0005631223,0
0,1380,0.0005798475,0.0005475701,0
0,1395,0.0005634621,0.0005326463,0
0,1410,0.000547755,0.0005183191,0
0,1425,0.0005326844,0.0005045472,0
0,1440,0.000518216,0.0004913001,0
