"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,1.012183,0.8360533,0
0,6,0.6032909,0.4932897,0
0,9,0.3987505,0.3318933,0
0,12,0.2967941,0.2542963,0
0,15,0.2454434,0.214988,0
0,18,0.2180196,0.1932318,0
0,21,0.2018384,0.1797888,0
0,24,0.1910511,0.1704353,0
0,27,0.1829443,0.1631832,0
0,30,0.1762421,0.1570752,0
0,33,0.1703372,0.1516434,0
0,36,0.1649332,0.1466525,0
0,39,0.1598779,0.1419787,0
0,42,0.1550953,0.1375578,0
0,45,0.1505418,0.1333522,0
0,48,0.1461906,0.1293381,0
0,51,0.1420247,0.1254997,0
0,54,0.1380314,0.1218251,0
0,57,0.1342,0.1183043,0
0,60,0.1305221,0.1149292,0
0,63,0.1269899,0.1116922,0
0,66,0.1235965,0.1085867,0
0,69,0.1203351,0.105606,0
0,72,0.1171995,0.1027443,0
0,75,0.1141839,0.09999576,0
0,78,0.1112826,0.09735503,0
0,81,0.1084904,0.09481721,0
0,84,0.1058023,0.09237716,0
0,87,0.1032135,0.09003055,0
0,90,0.1007195,0.08777287,0
0,93,0.09831585,0.08559995,0
0,96,0.09599859,0.08350796,0
0,99,0.09376376,0.08149312,0
0,102,0.09160767,0.07955191,0
0,105,0.08952678,0.07768092,0
0,108,0.08751774,0.07587694,0
0,111,0.08557734,0.07413691,0
0,114,0.08370254,0.07245795,0
0,117,0.08189047,0.07083732,0
0,120,0.08013837,0.0692724,0
0,135,0.07219062,0.06220084,0
0,150,0.06539953,0.05619672,0
0,165,0.05954292,0.05105003,0
0,180,0.05444598,0.04659615,0
0,195,0.04997337,0.04270823,0
0,210,0.04601796,0.03928617,0
0,225,0.04249436,0.03625058,0
0,240,0.03933455,0.03353847,0
0,255,0.03648436,0.03109993,0
0,270,0.03390042,0.02889522,0
0,285,0.03154731,0.02689208,0
0,300,0.02939575,0.02506395,0
0,315,0.0274216,0.0233891,0
0,330,0.02560496,0.0218497,0
0,345,0.02392919,0.02043099,0
0,360,0.02238014,0.01912047,0
0,375,0.02094563,0.01790741,0
0,390,0.01961512,0.01678265,0
0,405,0.0183795,0.01573827,0
0,420,0.01723077,0.01476735,0
0,435,0.01616182,0.01386381,0
0,450,0.0151663,0.0130222,0
0,465,0.01423856,0.01223771,0
0,480,0.01337339,0.0115059,0
0,495,0.01256616,0.01082285,0
0,510,0.01181264,0.01018498,0
0,525,0.01110897,0.009589056,0
0,540,0.01045162,0.009032078,0
0,555,0.009837342,0.008511325,0
0,570,0.009263135,0.008024291,0
0,585,0.008726195,0.007568576,0
0,600,0.008223947,0.00714202,0
0,615,0.007754071,0.006742777,0
0,630,0.007314367,0.006368931,0
0,645,0.006902798,0.006018738,0
0,660,0.006517381,0.005690524,0
0,675,0.006156403,0.005382906,0
0,690,0.005818263,0.005094624,0
0,705,0.005501435,0.004824231,0
0,720,0.005204451,0.004570602,0
0,735,0.004926021,0.004332617,0
0,750,0.004664916,0.004109244,0
0,765,0.004419975,0.00389953,0
0,780,0.004190139,0.003702563,0
0,795,0.003974426,0.003517549,0
0,810,0.003771887,0.003343655,0
0,825,0.003581664,0.003180169,0
0,840,0.003402964,0.003026472,0
0,855,0.003235022,0.002881841,0
0,870,0.003077146,0.002745766,0
0,885,0.002928676,0.002617668,0
0,900,0.002788977,0.002496996,0
0,915,0.002657529,0.002383324,0
0,930,0.002533797,0.002276203,0
0,945,0.002417291,0.002175221,0
0,960,0.002307528,0.002079969,0
0,975,0.002204094,0.0019901,0
0,990,0.002106556,0.001905248,0
0,1005,0.002014545,0.001825105,0
0,1020,0.00192772,0.00174938,0
0,1035,0.001845735,0.001677783,0
0,1050,0.001768304,0.001610072,0
0,1065,0.001695128,0.001545995,0
0,1080,0.001625944,0.00148533,0
0,1095,0.001560513,0.001427875,0
0,1110,0.001498588,0.001373421,0
0,1125,0.001439965,0.001321795,0
0,1140,0.001384431,0.001272819,0
0,1155,0.001331799,0.001226332,0
0,1170,0.001281898,0.001182191,0
0,1185,0.001234553,0.001140247,0
0,1200,0.001189615,0.001100375,0
0,1215,0.001146937,0.001062449,0
0,1230,0.001106382,0.001026353,0
0,1245,0.001067828,0.0009919845,0
0,1260,0.001031151,0.0009592368,0
0,1275,0.000996243,0.0009280191,0
0,1290,0.0009630005,0.0008982432,0
0,1305,0.0009313232,0.0008698237,0
0,1320,0.0009011251,0.0008426875,0
0,1335,0.0008723164,0.000816758,0
0,1350,0.0008448193,0.0007919692,0
0,1365,0.0008185602,0.0007682581,0
0,1380,0.0007934661,0.0007455624,0
0,1395,0.0007694749,0.0007238294,0
0,1410,0.0007465224,0.000703004,0
0,1425,0.0007245513,0.0006830372,0
0,1440,0.00070351,0.0006638847,0
