"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,1.846088,1.483291,0
0,6,1.117101,0.9162998,0
0,9,0.7532097,0.6302833,0
0,12,0.5719248,0.4924979,0
0,15,0.4799817,0.4217681,0
0,18,0.430176,0.381967,0
0,21,0.4002412,0.3569219,0
0,24,0.3798822,0.3391806,0
0,27,0.3643079,0.3252176,0
0,30,0.3512796,0.3133441,0
0,33,0.339721,0.3027259,0
0,36,0.3291002,0.292939,0
0,39,0.3191588,0.2837706,0
0,42,0.3097473,0.2750951,0
0,45,0.3007829,0.2668405,0
0,48,0.2922198,0.2589648,0
0,51,0.2840236,0.251437,0
0,54,0.2761696,0.2442323,0
0,57,0.2686378,0.2373329,0
0,60,0.2614111,0.2307212,0
0,63,0.2544733,0.2243818,0
0,66,0.2478101,0.2183002,0
0,69,0.2414079,0.2124637,0
0,72,0.2352537,0.20686,0
0,75,0.2293359,0.2014771,0
0,78,0.2236427,0.1963039,0
0,81,0.2181633,0.1913302,0
0,84,0.2128875,0.1865461,0
0,87,0.2078057,0.1819424,0
0,90,0.2029085,0.1775102,0
0,93,0.1981874,0.1732413,0
0,96,0.1936338,0.1691279,0
0,99,0.18924,0.1651625,0
0,102,0.1849987,0.1613383,0
0,105,0.1809028,0.1576487,0
0,108,0.1769458,0.1540875,0
0,111,0.1731213,0.1506488,0
0,114,0.1694233,0.1473271,0
0,117,0.1658463,0.1441171,0
0,120,0.1623849,0.1410138,0
0,135,0.1466419,0.1269403,0
0,150,0.1331257,0.114918,0
0,165,0.1214126,0.1045525,0
0,180,0.1111721,0.09553561,0
0,195,0.1021452,0.08762543,0
0,210,0.0941273,0.08063127,0
0,225,0.08695652,0.074402,0
0,240,0.08050461,0.06881843,0
0,255,0.07466798,0.0637841,0
0,270,0.06936233,0.05922161,0
0,285,0.06451903,0.05506717,0
0,300,0.06008165,0.05126921,0
0,315,0.05600431,0.04778626,0
0,330,0.05224739,0.04458191,0
0,345,0.04877822,0.04162673,0
0,360,0.04556862,0.03889571,0
0,375,0.04259409,0.03636699,0
0,390,0.03983418,0.03402235,0
0,405,0.03727055,0.03184567,0
0,420,0.03488635,0.02982219,0
0,435,0.03266748,0.02793961,0
0,450,0.03060103,0.02618674,0
0,465,0.02867531,0.02455336,0
0,480,0.02687984,0.02303062,0
0,495,0.02520509,0.02161022,0
0,510,0.0236423,0.0202847,0
0,525,0.02218344,0.01904717,0
0,540,0.02082122,0.01789145,0
0,555,0.01954888,0.01681178,0
0,570,0.01836013,0.01580274,0
0,585,0.01724924,0.01485956,0
0,600,0.01621091,0.01397772,0
0,615,0.0152402,0.01315306,0
0,630,0.01433251,0.01238165,0
0,645,0.01348359,0.01165991,0
0,660,0.01268949,0.01098452,0
0,675,0.01194652,0.01035233,0
0,690,0.01125127,0.009760472,0
0,705,0.01060054,0.009206277,0
0,720,0.009991398,0.008687237,0
0,735,0.009421029,0.008200965,0
0,750,0.008886872,0.00774532,0
0,765,0.008386533,0.007318281,0
0,780,0.00791777,0.006917957,0
0,795,0.007478501,0.00654259,0
0,810,0.007066782,0.006190542,0
0,825,0.006680796,0.00586028,0
0,840,0.006318853,0.005550378,0
0,855,0.005979379,0.00525951,0
0,870,0.005660898,0.00498643,0
0,885,0.005362037,0.004729979,0
0,900,0.005081518,0.004489081,0
0,915,0.004818143,0.004262723,0
0,930,0.004570797,0.004049964,0
0,945,0.004338439,0.003849929,0
0,960,0.004120099,0.003661794,0
0,975,0.003914869,0.003484797,0
0,990,0.003721907,0.003318232,0
0,1005,0.003540404,0.003161385,0
0,1020,0.00336964,0.003013693,0
0,1035,0.003208945,0.00287459,0
0,1050,0.003057648,0.002743448,0
0,1065,0.002915133,0.002619795,0
0,1080,0.002780871,0.002503189,0
0,1095,0.002654336,0.002393167,0
0,1110,0.002535029,0.002289311,0
0,1125,0.002422496,0.002191242,0
0,1140,0.002316293,0.002098554,0
0,1155,0.002216049,0.002010996,0
0,1170,0.002121395,0.001928207,0
0,1185,0.002031953,0.001849867,0
0,1200,0.001947412,0.001775732,0
0,1215,0.001867473,0.001705543,0
0,1230,0.001791845,0.001639043,0
0,1245,0.001720277,0.001576047,0
0,1260,0.001652497,0.001516277,0
0,1275,0.001588278,0.001459582,0
0,1290,0.001527406,0.001405753,0
0,1305,0.001469691,0.001354665,0
0,1320,0.001414938,0.001306117,0
0,1335,0.001362954,0.001259954,0
0,1350,0.001313584,0.001216053,0
0,1365,0.001266675,0.001174273,0
0,1380,0.001222071,0.001134489,0
0,1395,0.001179643,0.001096586,0
0,1410,0.001139274,0.001060478,0
0,1425,0.001100828,0.001026029,0
0,1440,0.001064197,0.0009931558,0
