"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,0,0,0,0,0,0
0,3,0.1090566,0.2864937,0.0003766781,0,0.0005387269
0,6,0.1586557,0.1417337,0.001012713,0,0.002432459
0,9,0.09790549,0.08026239,0.001283731,0,0.004269168
0,12,0.06667283,0.05591952,0.001445999,0,0.005367491
0,15,0.0510844,0.04403549,0.001562849,0,0.006061794
0,18,0.04313738,0.03790763,0.001657387,0,0.006562087
0,21,0.03880156,0.03443248,0.001740176,0,0.006964428
0,24,0.03617018,0.03222304,0.001816116,0,0.007313944
0,27,0.0343608,0.0306404,0.00188756,0,0.007632455
0,30,0.03296347,0.02938328,0.00195569,0,0.007930805
0,33,0.03178602,0.02830677,0.002021124,0,0.008214539
0,36,0.03073632,0.0273395,0.002084214,0,0.008486621
0,39,0.02976891,0.02644523,0.002145179,0,0.00874873
0,42,0.0288606,0.02560499,0.002204169,0,0.009001896
0,45,0.02799946,0.02480866,0.002261298,0,0.009246798
0,48,0.02717857,0.02405022,0.002316659,0,0.009483945
0,51,0.02639337,0.02332561,0.002370335,0,0.009713754
0,54,0.02564102,0.02263222,0.002422402,0,0.009936575
0,57,0.02491955,0.02196815,0.002472927,0,0.01015272
0,60,0.0242272,0.02133173,0.002521975,0,0.01036247
0,63,0.02356235,0.02072142,0.002569609,0,0.0105661
0,66,0.02292366,0.02013591,0.002615884,0,0.01076387
0,69,0.02230986,0.01957399,0.002660858,0,0.01095601
0,72,0.02171979,0.01903452,0.002704581,0,0.01114276
0,75,0.02115234,0.01851644,0.002747104,0,0.01132433
0,78,0.02060645,0.01801872,0.002788473,0,0.01150092
0,81,0.02008112,0.01754041,0.002828736,0,0.01167274
0,84,0.01957541,0.01708059,0.002867933,0,0.01183996
0,87,0.01908842,0.01663839,0.002906108,0,0.01200277
0,90,0.01861929,0.016213,0.002943297,0,0.01216135
0,93,0.0181672,0.01580363,0.00297954,0,0.01231584
0,96,0.0177314,0.01540954,0.003014871,0,0.0124664
0,99,0.01731115,0.01503003,0.003049324,0,0.01261319
0,102,0.01690575,0.01466444,0.003082932,0,0.01275634
0,105,0.01651453,0.01431212,0.003115726,0,0.01289598
0,108,0.01613687,0.01397247,0.003147735,0,0.01303225
0,111,0.01577216,0.01364493,0.003178988,0,0.01316527
0,114,0.01541983,0.01332894,0.00320951,0,0.01329515
