"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.8826606,0.7131748,0
0,6,0.5294127,0.4333173,0
0,9,0.3533339,0.2947564,0
0,12,0.2656502,0.2281307,0
0,15,0.2213505,0.1941482,0
0,18,0.1975193,0.1751708,0
0,21,0.1833239,0.1633294,0
0,24,0.1737565,0.155006,0
0,27,0.1664951,0.1484963,0
0,30,0.1604522,0.1429826,0
0,33,0.1551047,0.1380607,0
0,36,0.150199,0.1335288,0
0,39,0.1456047,0.1292806,0
0,42,0.1412548,0.1252595,0
0,45,0.1371114,0.1214325,0
0,48,0.1331511,0.1177789,0
0,51,0.1293589,0.1142847,0
0,54,0.1257233,0.1109392,0
0,57,0.1222349,0.1077336,0
0,60,0.1188858,0.1046602,0
0,63,0.1156692,0.1017125,0
0,66,0.1125789,0.09888422,0
0,69,0.1096086,0.09616963,0
0,72,0.1067528,0.09356315,0
0,75,0.104006,0.09105955,0
0,78,0.1013633,0.08865432,0
0,81,0.09881984,0.08634241,0
0,84,0.09637105,0.08411978,0
0,87,0.09401265,0.08198189,0
0,90,0.09174041,0.07992496,0
0,93,0.08955048,0.07794527,0
0,96,0.08743913,0.07603918,0
0,99,0.08540283,0.07420335,0
0,102,0.08343821,0.07243457,0
0,105,0.08154203,0.0707297,0
0,108,0.07971126,0.06908585,0
0,111,0.07794297,0.06750024,0
0,114,0.07623438,0.06597022,0
0,117,0.07458288,0.0644933,0
0,120,0.07298605,0.06306717,0
0,135,0.06574122,0.05662166,0
0,150,0.05954909,0.05114787,0
0,165,0.05420841,0.04645552,0
0,180,0.04956179,0.0423964,0
0,195,0.04548489,0.0388538,0
0,210,0.04187964,0.03573611,0
0,225,0.03866821,0.03297086,0
0,240,0.03578888,0.03050091,0
0,255,0.03319253,0.02828098,0
0,270,0.03083942,0.02627464,0
0,285,0.02869686,0.02445208,0
0,300,0.02673807,0.02278901,0
0,315,0.02494119,0.02126573,0
0,330,0.02328814,0.0198661,0
0,345,0.02176369,0.01857655,0
0,360,0.0203548,0.01738558,0
0,375,0.01905033,0.0162834,0
0,390,0.01784069,0.01526166,0
0,405,0.01671756,0.01431312,0
0,420,0.0156736,0.01343147,0
0,435,0.01470235,0.01261115,0
0,450,0.01379795,0.01184717,0
0,465,0.0129552,0.01113507,0
0,480,0.01216943,0.0104709,0
0,495,0.01143635,0.009851021,0
0,510,0.01075213,0.009272211,0
0,525,0.01011326,0.008731509,0
0,540,0.009516517,0.008226199,0
0,555,0.008958913,0.007753768,0
0,570,0.008437719,0.007311933,0
0,585,0.007950407,0.006898588,0
0,600,0.007494628,0.006511725,0
0,615,0.007068224,0.006149547,0
0,630,0.006669223,0.005810461,0
0,645,0.006295724,0.005492783,0
0,660,0.005945975,0.005195024,0
0,675,0.005618404,0.004916011,0
0,690,0.005311597,0.004654504,0
0,705,0.005024111,0.004409221,0
0,720,0.004754587,0.004179044,0
0,735,0.004501871,0.003963073,0
0,750,0.004264907,0.00376042,0
0,765,0.004042639,0.003570128,0
0,780,0.003834005,0.003391304,0
0,795,0.003638173,0.003223381,0
0,810,0.003454337,0.003065541,0
0,825,0.003281641,0.002917123,0
0,840,0.003119377,0.002777534,0
0,855,0.002966883,0.002646208,0
0,870,0.002823497,0.002522592,0
0,885,0.002688633,0.002406198,0
0,900,0.002561748,0.002296565,0
0,915,0.002442317,0.002193252,0
0,930,0.00232986,0.002095862,0
0,945,0.002223929,0.002004006,0
0,960,0.002124108,0.001917346,0
0,975,0.002030005,0.001835557,0
0,990,0.001941239,0.001758264,0
0,1005,0.001857505,0.001685305,0
0,1020,0.001778449,0.001616328,0
0,1035,0.001703808,0.001551099,0
0,1050,0.001633267,0.00148937,0
0,1065,0.001566581,0.001430934,0
0,1080,0.001503513,0.00137559,0
0,1095,0.001443853,0.001323159,0
0,1110,0.001387386,0.001273462,0
0,1125,0.001333915,0.00122633,0
0,1140,0.001283252,0.001181607,0
0,1155,0.001235225,0.001139145,0
0,1170,0.001189665,0.001098801,0
0,1185,0.001146429,0.001060455,0
0,1200,0.001105362,0.001023977,0
0,1215,0.001066351,0.0009892693,0
0,1230,0.001029255,0.0009562137,0
0,1245,0.0009939767,0.0009247261,0
0,1260,0.0009603947,0.0008947046,0
0,1275,0.0009284203,0.0008660736,0
0,1290,0.0008979506,0.0008387457,0
0,1305,0.0008689052,0.0008126526,0
0,1320,0.0008411966,0.0007877197,0
0,1335,0.0008147511,0.0007638845,0
0,1350,0.0007894952,0.0007410841,0
0,1365,0.0007653612,0.000719261,0
0,1380,0.0007422877,0.0006983628,0
0,1395,0.0007202118,0.0006783358,0
0,1410,0.0006990833,0.0006591371,0
0,1425,0.0006788439,0.000640717,0
0,1440,0.0006594509,0.0006230389,0
