"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.8427222,0.6763358,0
0,6,0.509502,0.4174588,0
0,9,0.3433707,0.2871273,0
0,12,0.260689,0.2243648,0
0,15,0.2187695,0.1921306,0
0,18,0.1960548,0.1739737,0
0,21,0.1823908,0.1625312,0
0,24,0.1730836,0.1544093,0
0,27,0.1659608,0.1480104,0
0,30,0.1599869,0.1425551,0
0,33,0.1546832,0.1376714,0
0,36,0.1498057,0.1331652,0
0,39,0.1452339,0.1289376,0
0,42,0.1409023,0.1249337,0
0,45,0.1367749,0.1211218,0
0,48,0.1328292,0.117482,0
0,51,0.1290503,0.1140006,0
0,54,0.1254271,0.1106669,0
0,57,0.1219505,0.1074725,0
0,60,0.1186129,0.1044099,0
0,63,0.1154072,0.1014725,0
0,66,0.1123271,0.09865396,0
0,69,0.1093667,0.09594867,0
0,72,0.1065203,0.09335113,0
0,75,0.1037825,0.09085614,0
0,78,0.1011484,0.08845886,0
0,81,0.09861306,0.08615468,0
0,84,0.09617207,0.08393924,0
0,87,0.09382104,0.08180835,0
0,90,0.09155588,0.07975809,0
0,93,0.08937268,0.07778469,0
0,96,0.08726775,0.07588463,0
0,99,0.08523756,0.07405452,0
0,102,0.08327872,0.07229113,0
0,105,0.08138807,0.07059142,0
0,108,0.07956262,0.06895254,0
0,111,0.07779937,0.06737162,0
0,114,0.07609565,0.06584613,0
0,117,0.07444874,0.06437347,0
0,120,0.07285623,0.06295133,0
0,135,0.06563033,0.05652334,0
0,150,0.05945409,0.05106418,0
0,165,0.05412645,0.04638378,0
0,180,0.04949012,0.042334,0
0,195,0.0454213,0.03879869,0
0,210,0.04182249,0.03568672,0
0,225,0.03861698,0.03292676,0
0,240,0.03574343,0.03046198,0
0,255,0.03315208,0.02824651,0
0,270,0.03080273,0.02624346,0
0,285,0.0286631,0.02442341,0
0,300,0.026707,0.02276265,0
0,315,0.0249127,0.02124161,0
0,330,0.02326197,0.01984396,0
0,345,0.02173949,0.01855611,0
0,360,0.02033235,0.01736662,0
0,375,0.0190295,0.0162658,0
0,390,0.01782137,0.01524535,0
0,405,0.01669963,0.01429798,0
0,420,0.0156569,0.01341736,0
0,435,0.01468673,0.01259796,0
0,450,0.01378334,0.01183481,0
0,465,0.01294154,0.01112351,0
0,480,0.01215664,0.01046007,0
0,495,0.01142442,0.00984092,0
0,510,0.01074102,0.009262796,0
0,525,0.0101029,0.008722728,0
0,540,0.009506843,0.008217994,0
0,555,0.008949878,0.007746108,0
0,570,0.008429268,0.007304762,0
0,585,0.007942496,0.006891858,0
0,600,0.007487225,0.00650542,0
0,615,0.007061299,0.00614366,0
0,630,0.006662706,0.005804866,0
0,645,0.006289616,0.005487558,0
0,660,0.005940288,0.005190202,0
0,675,0.005613136,0.004911557,0
0,690,0.005306574,0.004650115,0
0,705,0.005019398,0.004405157,0
0,720,0.004750202,0.00417531,0
0,735,0.004497792,0.003959604,0
0,750,0.004261082,0.003757133,0
0,765,0.004039024,0.003567022,0
0,780,0.003830653,0.003388468,0
0,795,0.003635061,0.003220704,0
0,810,0.003451404,0.003063023,0
0,825,0.003278905,0.002914774,0
0,840,0.003116828,0.002775339,0
0,855,0.002964491,0.002644147,0
0,870,0.002821255,0.002520659,0
0,885,0.002686528,0.00240438,0
0,900,0.002559762,0.002294848,0
0,915,0.002440409,0.002191603,0
0,930,0.002327998,0.00209425,0
0,945,0.002222104,0.002002431,0
0,960,0.002122352,0.001915828,0
0,975,0.002028309,0.00183408,0
0,990,0.001939637,0.001756902,0
0,1005,0.001855981,0.001683993,0
0,1020,0.00177702,0.001615084,0
0,1035,0.001702454,0.001549921,0
0,1050,0.001632001,0.001488268,0
0,1065,0.001565402,0.001429906,0
0,1080,0.001502418,0.001374633,0
0,1095,0.001442812,0.001322249,0
0,1110,0.001386378,0.00127258,0
0,1125,0.001332931,0.001225469,0
0,1140,0.001282294,0.001180768,0
0,1155,0.001234285,0.001138322,0
0,1170,0.001188753,0.001098003,0
0,1185,0.001145539,0.001059677,0
0,1200,0.001104507,0.001023228,0
0,1215,0.001065521,0.0009885421,0
0,1230,0.001028459,0.0009555153,0
0,1245,0.0009932048,0.0009240491,0
0,1260,0.000959653,0.0008940535,0
0,1275,0.0009277022,0.000865443,0
0,1290,0.0008972595,0.0008381384,0
0,1305,0.0008682375,0.0008120654,0
0,1320,0.0008405531,0.0007871534,0
0,1335,0.0008141309,0.000763338,0
0,1350,0.0007888975,0.0007405572,0
0,1365,0.0007647868,0.0007187545,0
0,1380,0.0007417335,0.0006978736,0
0,1395,0.0007196796,0.0006778649,0
0,1410,0.0006985695,0.0006586823,0
0,1425,0.0006783527,0.000640283,0
0,1440,0.0006589766,0.0006226194,0
