"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,1.544732E-07,1.088567E-07,1.140774E-06,0.1008789
0,6,1.872531E-06,1.293292E-06,6.255721E-06,0.2432334
0,9,5.402756E-06,3.709986E-06,1.294091E-05,0.3796
0,12,9.702946E-06,6.645269E-06,1.930428E-05,0.4961149
0,15,1.38784E-05,9.490406E-06,2.446866E-05,0.5912459
0,18,1.744856E-05,1.191981E-05,2.82337E-05,0.668069
0,21,2.026327E-05,1.383271E-05,3.072801E-05,0.7300884
0,24,2.235076E-05,1.524935E-05,3.218245E-05,0.7802563
0,27,2.380973E-05,1.623755E-05,3.28314E-05,0.8209179
0,30,2.475424E-05,1.687535E-05,3.287855E-05,0.8539336
0,33,2.52906E-05,1.723538E-05,3.24899E-05,0.8807802
0,36,2.550949E-05,1.737953E-05,3.179565E-05,0.9026371
0,39,2.548537E-05,1.735858E-05,3.089594E-05,0.9204507
0,42,2.527797E-05,1.721324E-05,2.986628E-05,0.93498
0,45,2.493451E-05,1.697568E-05,2.87628E-05,0.9468384
0,48,2.449215E-05,1.667119E-05,2.76269E-05,0.9565231
0,51,2.397992E-05,1.631953E-05,2.648839E-05,0.9644367
0,54,2.342028E-05,1.593596E-05,2.536811E-05,0.9709038
0,57,2.283052E-05,1.553223E-05,2.428032E-05,0.9761924
0,60,2.222395E-05,1.511737E-05,2.323441E-05,0.9805173
0,63,2.16107E-05,1.469825E-05,2.223598E-05,0.9840541
0,66,2.099837E-05,1.428001E-05,2.12879E-05,0.9869492
0,69,2.039262E-05,1.38665E-05,2.039126E-05,0.9893172
0,72,1.979766E-05,1.346052E-05,1.954556E-05,0.9912546
0,75,1.92164E-05,1.306405E-05,1.874944E-05,0.9928411
0,78,1.865094E-05,1.26785E-05,1.800097E-05,0.9941391
0,81,1.81026E-05,1.230475E-05,1.729771E-05,0.9952018
0,84,1.757222E-05,1.194333E-05,1.66371E-05,0.9960716
0,87,1.706018E-05,1.15945E-05,1.601643E-05,0.9967836
0,90,1.656656E-05,1.125831E-05,1.543304E-05,0.9973668
0,93,1.609123E-05,1.093464E-05,1.488431E-05,0.997844
0,96,1.563387E-05,1.062327E-05,1.436772E-05,0.9982345
0,99,1.519403E-05,1.032388E-05,1.388089E-05,0.9985545
0,102,1.477121E-05,1.003612E-05,1.342162E-05,0.9988161
0,105,1.436482E-05,9.759592E-06,1.298782E-05,0.9990304
0,108,1.397427E-05,9.49387E-06,1.257759E-05,0.9992062
0,111,1.359891E-05,9.238523E-06,1.218917E-05,0.99935
0,114,1.323813E-05,8.993118E-06,1.182089E-05,0.9994677
0,117,1.289129E-05,8.757223E-06,1.147131E-05,0.9995641
0,120,1.255778E-05,8.53041E-06,1.113904E-05,0.999643
0,135,1.106985E-05,7.518764E-06,9.697746E-06,0.9998685
0,150,9.83433E-06,6.678982E-06,8.542945E-06,0.9999515
0,165,8.79821E-06,5.974882E-06,7.597007E-06,0.9999821
0,180,7.92057E-06,5.378572E-06,6.808514E-06,0.9999933
0,195,7.169902E-06,4.868597E-06,6.141885E-06,0.9999975
0,210,6.521859E-06,4.428386E-06,5.571564E-06,0.999999
0,225,5.957482E-06,4.045044E-06,5.078506E-06,0.9999996
0,240,5.46194E-06,3.708484E-06,4.648312E-06,0.9999999
0,255,5.023551E-06,3.410761E-06,4.269847E-06,0.9999999
0,270,4.633038E-06,3.14557E-06,3.934327E-06,1
0,285,4.283001E-06,2.907879E-06,3.63485E-06,1
0,300,3.967494E-06,2.693646E-06,3.36591E-06,1
0,315,3.681733E-06,2.499619E-06,3.123103E-06,1
0,330,3.421816E-06,2.323146E-06,2.902858E-06,1
0,345,3.184524E-06,2.16204E-06,2.702246E-06,1
0,360,2.967188E-06,2.014486E-06,2.518854E-06,1
0,375,2.767576E-06,1.878968E-06,2.350685E-06,1
0,390,2.58381E-06,1.754211E-06,2.196062E-06,1
0,405,2.414274E-06,1.639116E-06,2.053556E-06,1
0,420,2.257603E-06,1.532757E-06,1.921966E-06,1
0,435,2.112623E-06,1.434334E-06,1.800267E-06,1
0,450,1.978296E-06,1.343144E-06,1.687557E-06,1
0,465,1.853704E-06,1.258564E-06,1.583044E-06,1
