"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,5.151233E-05,0.0003805414,0.1008788
0,6,0.0006257709,0.002093396,0.243233
0,9,0.001813119,0.004355694,0.3795976
0,12,0.00327636,0.006548835,0.4961156
0,15,0.004722395,0.008378201,0.591249
0,18,0.00598898,0.009765044,0.6680685
0,21,0.0070191,0.01073756,0.7300885
0,24,0.007813803,0.01135988,0.7802559
0,27,0.00839836,0.01170062,0.8209176
0,30,0.008804847,0.01182176,0.8539328
0,33,0.009064656,0.01177572,0.8807787
0,36,0.009205804,0.01160544,0.9026357
0,39,0.009252289,0.01134542,0.9204495
0,42,0.009224244,0.01102305,0.934979
0,45,0.009138357,0.01065987,0.9468375
0,48,0.009008355,0.01027255,0.9565222
0,51,0.008845461,0.00987387,0.9644354
0,54,0.008658771,0.009473468,0.9709034
0,57,0.008455609,0.009078418,0.9761917
0,60,0.008241815,0.008693776,0.9805166
0,63,0.008022,0.008323008,0.9840543
0,66,0.007799761,0.007968341,0.9869486
0,69,0.007577864,0.007631041,0.9893169
0,72,0.0073584,0.00731166,0.991255
0,75,0.007142913,0.007010212,0.9928413
0,78,0.006932511,0.006726331,0.9941395
0,81,0.006727966,0.006459394,0.9952021
0,84,0.006529779,0.006208606,0.9960719
0,87,0.006338245,0.00597307,0.996784
0,90,0.006153497,0.00575184,0.9973669
0,93,0.005975553,0.005543959,0.9978441
0,96,0.005804344,0.005348486,0.9982348
0,99,0.005639735,0.005164513,0.9985547
0,102,0.005481547,0.004991179,0.9988166
0,105,0.00532957,0.004827674,0.999031
0,108,0.005183578,0.004673248,0.9992065
0,111,0.005043336,0.004527205,0.9993501
0,114,0.004908603,0.004388909,0.9994678
0,117,0.004779139,0.004257773,0.9995642
0,120,0.004654706,0.004133261,0.999643
0,135,0.004100212,0.003594459,0.9998684
0,150,0.003640502,0.003164035,0.9999514
0,165,0.003255425,0.002812106,0.999982
0,180,0.002929539,0.002519105,0.9999933
0,195,0.002651015,0.002271618,0.9999975
0,210,0.002410734,0.002060043,0.999999
0,225,0.002201609,0.00187727,0.9999996
0,240,0.002018099,0.001717899,0.9999999
0,255,0.001855837,0.00157776,0.9999999
0,270,0.001711365,0.00145359,1
0,285,0.001581924,0.001342813,1
0,300,0.001465301,0.001243375,1
0,315,0.001359706,0.001153629,1
