"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0005093671,0.003786182,0.1004248
0,6,0.006316095,0.02129654,0.242829
0,9,0.01866489,0.04535558,0.3792764
0,12,0.03446757,0.06992529,0.4958707
0,15,0.05085371,0.09186137,0.5910623
0,18,0.06609783,0.110063,0.6679322
0,21,0.07946312,0.1245103,0.7299929
0,24,0.09078752,0.1355917,0.780193
0,27,0.1001708,0.1437963,0.8208811
0,30,0.1078069,0.1495956,0.8539176
0,33,0.1139085,0.1534062,0.8807812
0,36,0.1186764,0.1555818,0.9026522
0,39,0.1222904,0.1564185,0.9204766
0,42,0.1249071,0.156162,0.9350153
0,45,0.1266625,0.1550164,0.9468821
0,48,0.127674,0.153151,0.9565734
0,51,0.1280438,0.150707,0.9644918
0,54,0.1278607,0.1478025,0.970964
0,57,0.1272027,0.1445366,0.9762559
0,60,0.1261384,0.1409929,0.9805838
0,63,0.1247284,0.1372421,0.9841238
0,66,0.1230266,0.1333445,0.98702
0,69,0.1210811,0.1293513,0.9893898
0,72,0.1189349,0.1253065,0.9913291
0,75,0.1166267,0.1212476,0.9929162
0,78,0.114191,0.1172069,0.9942152
0,81,0.111659,0.1132117,0.9952784
0,84,0.1090585,0.1092855,0.9961488
0,87,0.1064143,0.1054477,0.9968613
0,90,0.1037487,0.1017146,0.9974446
0,93,0.1010811,0.09809909,0.9979221
0,96,0.09842834,0.09461139,0.998313
0,99,0.09580516,0.09125885,0.998633
0,102,0.09322383,0.08804634,0.998895
0,105,0.09069451,0.08497643,0.9991096
0,108,0.0882253,0.08204959,0.9992852
0,111,0.08582245,0.07926448,0.999429
0,114,0.08349049,0.07661818,0.9995468
0,117,0.08123241,0.0741065,0.9996433
0,120,0.07904989,0.07172424,0.9997222
0,135,0.0692607,0.06153522,0.9999477
0,150,0.06116958,0.05362842,1.000031
0,165,0.05445607,0.04733433,1.000061
0,180,0.04882782,0.04219536,1.000073
0,195,0.04405693,0.03791361,1.000077
0,210,0.03997046,0.03428965,1.000078
0,225,0.03643632,0.03118341,1.000079
0,240,0.03335245,0.02849224,1.000079
0,255,0.03063916,0.0261386,1.000079
0,270,0.02823376,0.02406275,1.000079
0,285,0.02608658,0.02221793,1.000079
0,300,0.02415797,0.02056724,1.000079
0,315,0.02241609,0.01908125,1.000079
0,330,0.0208352,0.01773631,1.000079
0,345,0.01939429,0.01651329,1.000079
0,360,0.01807611,0.01539656,1.000079
0,375,0.01686636,0.01437324,1.000079
0,390,0.01575307,0.01343264,1.000079
0,405,0.01472616,0.01256581,1.000079
0,420,0.01377702,0.01176517,1.000079
0,435,0.01289825,0.01102422,1.000079
0,450,0.01208345,0.0103374,1.000079
0,465,0.01132703,0.009699867,1.000079
0,480,0.01062405,0.00910737,1.000079
0,495,0.00997014,0.008556159,1.000079
0,510,0.00936139,0.008042902,1.000079
0,525,0.008794289,0.007564615,1.000079
0,540,0.008265669,0.007118614,1.000079
0,555,0.007772651,0.00670247,1.000079
0,570,0.007312616,0.006313976,1.000079
0,585,0.006883171,0.005951116,1.000079
0,600,0.006482123,0.005612058,1.000079
0,615,0.006107451,0.005295091,1.000079
0,630,0.005757315,0.004998712,1.000079
0,645,0.005429988,0.004721427,1.000079
0,660,0.005123893,0.004461955,1.000079
0,675,0.004837511,0.004218983,1.000079
0,690,0.004569562,0.003991466,1.000079
0,705,0.004318734,0.003778355,1.000079
0,720,0.004083933,0.003578671,1.000079
0,735,0.003864003,0.003391471,1.000079
0,750,0.003657947,0.00321595,1.000079
0,765,0.003464847,0.003051283,1.000079
0,780,0.00328386,0.00289682,1.000079
0,795,0.00311408,0.002751749,1.000079
0,810,0.002954878,0.002615601,1.000079
0,825,0.002805452,0.002487697,1.000079
0,840,0.002665221,0.002367518,1.000079
0,855,0.002533528,0.00225454,1.000079
0,870,0.002409835,0.002148306,1.000079
0,885,0.002293599,0.002048363,1.000079
0,900,0.002184339,0.001954307,1.000079
0,915,0.002081591,0.001865753,1.000079
0,930,0.001984933,0.001782343,1.000079
0,945,0.001893964,0.001703746,1.000079
0,960,0.001808316,0.00162965,1.000079
0,975,0.001727643,0.001559768,1.000079
0,990,0.001651621,0.001493824,1.000079
0,1005,0.001579951,0.001431569,1.000079
0,1020,0.001512353,0.001372778,1.000079
0,1035,0.001448563,0.001317219,1.000079
0,1050,0.001388358,0.001264691,1.000079
0,1065,0.00133148,0.001215009,1.000079
0,1080,0.001277729,0.001167982,1.000079
0,1095,0.001226905,0.001123449,1.000079
