"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0007649256,0.005689338,0.1004149
0,6,0.009515646,0.03213334,0.2428051
0,9,0.02822305,0.06871744,0.3792392
0,12,0.05230271,0.1063471,0.495821
0,15,0.07743189,0.1402248,0.591004
0,18,0.1009843,0.1686284,0.6678667
0,21,0.1218167,0.1914739,0.7299212
0,24,0.139655,0.209306,0.7801165
0,27,0.1546251,0.2228311,0.8208006
0,30,0.167,0.232738,0.8538338
0,33,0.1770849,0.2396373,0.8806947
0,36,0.1851707,0.2440501,0.9025636
0,39,0.191518,0.2464126,0.9203863
0,42,0.196355,0.2470878,0.9349236
0,45,0.1998796,0.2463767,0.9467893
0,48,0.2022627,0.2445295,0.9564797
0,51,0.2036526,0.2417542,0.9643973
0,54,0.2041785,0.2382248,0.9708689
0,57,0.2039531,0.2340867,0.9761602
0,60,0.2030755,0.2294624,0.9804875
0,63,0.2016146,0.224318,0.9816859
0,66,0.1994784,0.2184126,0.9818557
0,69,0.1967309,0.2121706,0.982034
0,72,0.1935661,0.205833,0.9822363
0,75,0.1901174,0.1995,0.9824575
0,78,0.1864666,0.1932249,0.9826937
0,81,0.1826682,0.1870411,0.9829422
0,84,0.1787626,0.1809717,0.9832008
0,87,0.1747825,0.1750344,0.9834677
0,90,0.1707557,0.1692439,0.9837415
0,93,0.1667068,0.1636128,0.9840211
0,96,0.1626577,0.1581503,0.9843051
0,99,0.1586272,0.152865,0.984593
0,102,0.1546329,0.147764,0.9848837
0,105,0.1506904,0.1428522,0.9851764
0,108,0.1468133,0.1381334,0.9854707
0,111,0.1430128,0.1336091,0.9857657
0,114,0.1392985,0.1292794,0.986061
0,117,0.1356783,0.1251428,0.9863561
0,120,0.1321581,0.1211962,0.9866506
0,135,0.1161561,0.1041186,0.9880999
0,150,0.1027679,0.09077229,0.9894846
0,165,0.09162606,0.08017717,0.9907802
0,180,0.08228518,0.0715621,0.9919726
0,195,0.07436828,0.06440106,0.9930556
0,210,0.06758428,0.05834285,0.9940279
0,225,0.06170948,0.05314354,0.9948922
0,240,0.05657488,0.04863032,0.9956539
0,255,0.05204748,0.04467269,0.9963198
0,270,0.04802394,0.04117182,0.9968978
0,285,0.04442287,0.03805107,0.9973962
0,300,0.04117963,0.03525019,0.9978232
0,315,0.03824259,0.03272147,0.9981872
0,330,0.0355701,0.03042658,0.9984956
0,345,0.03312825,0.02833454,0.9987556
0,360,0.03088925,0.02642003,0.9989739
0,375,0.02883,0.02466217,0.9991562
0,390,0.02693126,0.02304359,0.9993079
0,405,0.0251768,0.02154976,0.9994335
0,420,0.02355273,0.02016829,0.9995371
0,435,0.02204702,0.01888851,0.9996223
0,450,0.02064922,0.01770119,0.999692
0,465,0.01935015,0.01659827,0.9997489
0,480,0.01814172,0.01557266,0.9997951
0,495,0.01701668,0.01461802,0.9998326
0,510,0.01596859,0.01372888,0.9998628
