"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0,0,0
0,6,0,0,0
0,9,0,0,0
0,12,0,0,0
0,15,0,0,0
0,18,0,0,0
0,21,0,0,0
0,24,0,0,0
0,27,0,0,0
0,30,0,0,0
0,33,0,0,0
0,36,0,0,0
0,39,0,0,0
0,42,0,0,0
0,45,0,0,0
0,48,0,0,0
0,51,0,0,0
0,54,0,0,0
0,57,0,0,0
0,60,0,0,0
0,63,8.299206E-05,0.0006493739,0.01272531
0,66,0.001189042,0.004142028,0.03348343
0,69,0.00371214,0.009207437,0.05517034
0,72,0.007099989,0.01474306,0.07692767
0,75,0.01089724,0.02032677,0.09856426
0,78,0.01485769,0.02578991,0.1200194
0,81,0.01886012,0.03106667,0.1412647
0,84,0.02284458,0.03613371,0.1622808
0,87,0.02678016,0.04098548,0.1830524
0,90,0.03064892,0.0456226,0.2035655
0,93,0.03443875,0.05004803,0.223808
0,96,0.03814052,0.05426518,0.2437688
0,99,0.04174653,0.05827727,0.2634384
0,102,0.04525017,0.06208751,0.2828082
0,105,0.0486457,0.06569888,0.3018708
0,108,0.05192809,0.06911425,0.3206196
0,111,0.05509294,0.07233649,0.3390492
0,114,0.0581365,0.07536853,0.3571548
0,117,0.06105567,0.07821339,0.3749325
0,120,0.06384794,0.08087426,0.3923792
0,135,0.07585683,0.09154174,0.4745829
0,150,0.08461095,0.09818041,0.5483882
0,165,0.09028997,0.1013538,0.6139972
0,180,0.09322337,0.1016642,0.6718051
0,195,0.09382548,0.09971818,0.7223365
0,210,0.09254403,0.096092,0.7661897
0,225,0.08982164,0.09130713,0.8039959
0,240,0.08606972,0.08581427,0.8363898
0,255,0.08164928,0.0799824,0.8639881
0,270,0.07685953,0.07409519,0.887375
0,285,0.07193453,0.06835517,0.9070932
0,300,0.06704587,0.06289348,0.9236387
0,315,0.06231058,0.05778417,0.9374589
0,330,0.05780172,0.05305937,0.9489527
0,345,0.05355953,0.04872334,0.9584719
0,360,0.04960113,0.04476308,0.9663244
0,375,0.04592855,0.04115665,0.9727772
0,390,0.04253396,0.03787703,0.97806
0,405,0.03940432,0.03489699,0.9823697
0,420,0.03652333,0.03218884,0.9858732
0,435,0.0338737,0.02972696,0.9887119
0,450,0.03143764,0.02748712,0.9910043
0,465,0.0291981,0.02544739,0.9928498
0,480,0.02713861,0.02358784,0.9943309
0,495,0.02524389,0.02189014,0.9955159
0,510,0.02349965,0.02033847,0.9964614
0,525,0.02189287,0.01891804,0.9972134
0,540,0.02041151,0.01761594,0.9978101
0,555,0.01904464,0.01642058,0.998282
0,570,0.01778232,0.01532164,0.9986544
0,585,0.01661552,0.01430991,0.9989475
0,600,0.01553607,0.0133772,0.9991775
0,615,0.01453656,0.01251619,0.9993576
0,630,0.01361027,0.01172036,0.9994983
0,645,0.01275114,0.01098388,0.9996079
0,660,0.01195366,0.01030154,0.999693
0,675,0.01121284,0.009668685,0.999759
0,690,0.01052415,0.009081112,0.9998101
0,705,0.00988347,0.008535062,0.9998496
0,720,0.009287068,0.008027148,0.9998799
0,735,0.008731536,0.007554319,0.9999033
0,750,0.008213757,0.007113777,0.9999211
0,765,0.007730923,0.006703108,0.9999348
0,780,0.007280348,0.006319777,0.9999453
0,795,0.006859817,0.00596214,0.9999533
0,810,0.006467008,0.005627986,0.9999593
0,825,0.006099992,0.00531564,0.9999639
0,840,0.005756936,0.005023642,0.9999674
0,855,0.005436092,0.00475035,0.99997
0,870,0.005135893,0.00449458,0.999972
0,885,0.004854989,0.004255079,0.9999735
0,900,0.004591961,0.004030678,0.9999746
0,915,0.004345601,0.003820349,0.9999755
0,930,0.004114773,0.003623131,0.9999761
0,945,0.003898415,0.00343813,0.9999766
0,960,0.003695549,0.003264519,0.9999769
0,975,0.003505265,0.003101532,0.9999772
0,990,0.003326718,0.002948458,0.9999774
0,1005,0.003159125,0.002804638,0.9999775
0,1020,0.003001757,0.002669458,0.9999776
0,1035,0.002853935,0.002542348,0.9999777
0,1050,0.002715029,0.002422778,0.9999778
0,1065,0.002584451,0.002310256,0.9999778
0,1080,0.002461656,0.002204321,0.9999778
0,1095,0.002346134,0.002104546,0.9999779
0,1110,0.002237412,0.002010533,0.9999779
0,1125,0.002135047,0.00192191,0.9999779
0,1140,0.002038629,0.001838333,0.9999779
0,1155,0.001947774,0.001759478,0.9999779
0,1170,0.001862125,0.001685046,0.9999779
0,1185,0.001781348,0.001614757,0.9999779
0,1200,0.001705126,0.001548333,0.9999779
0,1215,0.001633178,0.001485557,0.9999779
0,1230,0.001565228,0.001426189,0.9999779
0,1245,0.001501004,0.001369963,0.9999779
0,1260,0.001440312,0.001316813,0.9999779
0,1275,0.001382915,0.001266426,0.9999779
0,1290,0.001328604,0.001218712,0.9999779
0,1305,0.001277182,0.001173437,0.9999779
0,1320,0.001228462,0.001130486,0.9999779
0,1335,0.001182292,0.001089726,0.9999779
0,1350,0.001138516,0.001051005,0.9999779
0,1365,0.00109698,0.001014215,0.9999779
0,1380,0.00105755,0.0009792328,0.9999779
0,1395,0.0010201,0.0009459562,0.9999779
0,1410,0.0009845115,0.0009142816,0.9999779
0,1425,0.000950672,0.0008841136,0.9999779
0,1440,0.0009184781,0.0008553652,0.9999779
