"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,1.90651E-05,0.0001591071,0.003520837
0,6,0.0003354631,0.001240235,0.01109106
0,9,0.001193053,0.003138542,0.02063158
0,12,0.002525659,0.005549499,0.03154984
0,15,0.004212991,0.008288859,0.04351919
0,18,0.006159477,0.01124056,0.05632379
0,21,0.008297663,0.0143295,0.06980847
0,24,0.01058061,0.01750528,0.08385393
0,27,0.01297448,0.02073261,0.0983644
0,30,0.01545388,0.02398542,0.11326
0,33,0.01799846,0.02724317,0.1284727
0,36,0.02059146,0.03048967,0.1439437
0,39,0.02321839,0.03371106,0.1596215
0,42,0.02586628,0.03689542,0.17546
0,45,0.02852347,0.0400323,0.191418
0,48,0.03117941,0.04311261,0.2074587
0,51,0.03382448,0.04612835,0.223549
0,54,0.03644985,0.04907234,0.2396588
0,57,0.03904734,0.05193825,0.2557606
0,60,0.04160951,0.05472046,0.2718297
0,63,0.04412952,0.05741409,0.2878433
0,66,0.04660115,0.06001484,0.3037807
0,69,0.04901871,0.06251904,0.3196232
0,72,0.05137708,0.06492355,0.3353536
0,75,0.05367164,0.06722573,0.350956
0,78,0.05589826,0.06942347,0.3664163
0,81,0.05805325,0.07151506,0.3817214
0,84,0.06013341,0.07349927,0.3968598
0,87,0.06213592,0.07537521,0.4118205
0,90,0.06405842,0.07714247,0.4265943
0,93,0.06589888,0.07880088,0.4411725
0,96,0.06765568,0.08035067,0.4555474
0,99,0.06932747,0.08179233,0.4697122
0,102,0.07091327,0.08312663,0.4836608
0,105,0.0724124,0.08435462,0.497388
0,108,0.07382445,0.08547754,0.510889
0,111,0.07514928,0.08649691,0.52416
0,114,0.07638702,0.08741443,0.5371974
0,117,0.07753802,0.08823199,0.5499986
0,120,0.07860287,0.08895165,0.5625614
0,135,0.08266884,0.09116362,0.621753
0,150,0.08476957,0.09130824,0.6748974
0,165,0.08514413,0.08975022,0.7221408
0,180,0.08407274,0.08686317,0.7637681
0,195,0.08185279,0.08300943,0.8001573
0,210,0.07877415,0.07851764,0.8317382
0,225,0.07510258,0.07366924,0.8589657
0,240,0.07106764,0.06869134,0.8822964
0,255,0.06685732,0.06375615,0.9021742
0,270,0.06261704,0.05898473,0.9190192
0,285,0.05845277,0.05445451,0.9332223
0,300,0.05443683,0.05020881,0.9451405
0,315,0.05061467,0.04626603,0.9550959
0,330,0.04701166,0.04262778,0.9633756
0,345,0.04363871,0.039285,0.9702331
0,360,0.04049691,0.03622241,0.9758901
0,375,0.03758089,0.03342163,0.9805388
0,390,0.03488123,0.03086274,0.9843447
0,405,0.03238628,0.02852618,0.9874495
0,420,0.03008307,0.02639242,0.9899736
0,435,0.02795842,0.02444351,0.9920188
0,450,0.02599898,0.02266221,0.9936703
0,465,0.0241922,0.02103312,0.9949999
0,480,0.02252576,0.0195418,0.996067
0,495,0.02098842,0.01817519,0.9969208
0,510,0.01956943,0.01692151,0.997602
0,525,0.01825899,0.01577007,0.9981439
0,540,0.01704805,0.01471129,0.9985737
0,555,0.01592828,0.01373652,0.9989138
0,570,0.0148921,0.012838,0.999182
0,585,0.01393256,0.01200877,0.9993932
0,600,0.01304333,0.01124258,0.9995589
0,615,0.01221865,0.01053384,0.9996887
0,630,0.01145328,0.009877501,0.99979
0,645,0.01074244,0.009269056,0.9998689
0,660,0.01008179,0.008704441,0.9999303
0,675,0.009467361,0.008179973,0.9999779
0,690,0.008895574,0.00769243,1.000015
0,705,0.008363129,0.007238747,1.000043
0,720,0.007866999,0.006816206,1.000065
0,735,0.007404437,0.006422428,1.000082
0,750,0.006972956,0.006055248,1.000095
0,765,0.006570297,0.005712552,1.000105
0,780,0.006194305,0.005392539,1.000112
0,795,0.005843067,0.005093541,1.000118
0,810,0.005514799,0.004814013,1.000122
0,825,0.005207861,0.004552548,1.000126
0,840,0.004920748,0.004307854,1.000128
0,855,0.004652069,0.004078745,1.00013
0,870,0.004400541,0.003864129,1.000131
0,885,0.004164978,0.003662999,1.000132
0,900,0.003944282,0.003474424,1.000133
0,915,0.003737436,0.003297545,1.000134
0,930,0.0035435,0.003131568,1.000134
0,945,0.003361599,0.002975754,1.000135
0,960,0.003190924,0.002829421,1.000135
0,975,0.003030722,0.002691936,1.000135
0,990,0.002880295,0.002562711,1.000135
0,1005,0.002738992,0.002441199,1.000135
0,1020,0.002606209,0.002326892,1.000135
0,1035,0.002481385,0.002219318,1.000135
0,1050,0.002363996,0.002118037,1.000136
0,1065,0.002253555,0.002022641,1.000136
