"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0001288621,0.0009523195,0.1008788
0,6,0.00156962,0.005259517,0.2432327
0,9,0.004570114,0.01101462,0.3795975
0,12,0.008312956,0.01669635,0.4961162
0,15,0.01207609,0.02155872,0.5912476
0,18,0.01544776,0.02537755,0.668068
0,21,0.01827069,0.02819337,0.7300891
0,24,0.02053012,0.03013946,0.7802567
0,27,0.02227299,0.03136596,0.8209161
0,30,0.02356595,0.03201214,0.8539317
0,33,0.02447688,0.03219831,0.880778
0,36,0.02506797,0.03202526,0.902634
0,39,0.02539389,0.03157632,0.9204479
0,42,0.02550186,0.03091992,0.9349771
0,45,0.0254323,0.03011189,0.9468366
0,48,0.02521981,0.0291978,0.9565219
0,51,0.02489382,0.0282145,0.9644351
0,54,0.02447941,0.02719164,0.9709034
0,57,0.02399781,0.02615284,0.9761919
0,60,0.02346691,0.02511658,0.9805164
0,63,0.02290164,0.02409708,0.9840543
0,66,0.02231441,0.02310498,0.9869485
0,69,0.02171531,0.0221479,0.9893168
0,72,0.02111251,0.02123097,0.9912548
0,75,0.02051247,0.02035736,0.9928409
0,78,0.01992021,0.01952857,0.9941391
0,81,0.0193395,0.01874492,0.9952017
0,84,0.01877311,0.01800572,0.9960716
0,87,0.01822299,0.01730962,0.9967836
0,90,0.01769038,0.01665479,0.9973665
0,93,0.01717602,0.01603906,0.9978437
0,96,0.01668021,0.01546013,0.9982345
0,99,0.01620295,0.01491562,0.9985543
0,102,0.015744,0.01440313,0.9988163
0,105,0.01530295,0.01392036,0.9990306
0,108,0.01487927,0.01346511,0.9992062
0,111,0.01447236,0.01303529,0.99935
0,114,0.01408157,0.01262896,0.9994677
0,117,0.01370622,0.01224431,0.9995641
0,120,0.01334564,0.01187971,0.999643
0,135,0.01174134,0.01030875,0.9998684
0,150,0.01041456,0.009060984,0.9999514
0,165,0.009305361,0.008044594,0.999982
0,180,0.00836815,0.00720052,0.9999933
0,195,0.007568238,0.00648887,0.9999975
0,210,0.006878997,0.005881379,0.999999
0,225,0.006279794,0.005357241,0.9999996
0,240,0.005754515,0.004900718,0.9999999
0,255,0.005290482,0.004499679,0.9999999
0,270,0.004877661,0.004144652,1
0,285,0.004508057,0.003828159,1
0,300,0.004175258,0.003544252,1
0,315,0.003874088,0.00328816,1
0,330,0.003600335,0.003056024,1
0,345,0.003350547,0.002844702,1
0,360,0.003121865,0.002651615,1
0,375,0.002911908,0.002474618,1
0,390,0.002718668,0.002311924,1
0,405,0.002540443,0.002162024,1
0,420,0.002375772,0.002023633,1
0,435,0.002223393,0.001895644,1
0,450,0.002082205,0.001777104,1
0,465,0.001951241,0.001667173,1
0,480,0.001829642,0.001565116,1
0,495,0.001716645,0.001470278,1
0,510,0.001611567,0.001382076,1
0,525,0.001513792,0.001299989,1
0,540,0.001422761,0.001223545,1
0,555,0.001337969,0.001152314,1
0,570,0.001258951,0.001085907,1
0,585,0.001185283,0.001023969,1
0,600,0.001116579,0.0009661737,1
0,615,0.00105248,0.000912223,1
0,630,0.0009926576,0.0008618408,1
0,645,0.0009368104,0.0008147762,1
0,660,0.0008846541,0.0007707914,1
0,675,0.000835931,0.0007296719,1
0,690,0.0007903989,0.0006912154,1
0,705,0.000747834,0.0006552355,1
0,720,0.0007080314,0.0006215615,1
0,735,0.0006707981,0.000590033,1
0,750,0.0006359584,0.0005605035,1
0,765,0.0006033472,0.0005328358,1
0,780,0.0005728119,0.000506903,1
0,795,0.0005442103,0.0004825869,1
0,810,0.0005174104,0.0004597773,1
0,825,0.0004922882,0.0004383714,1
0,840,0.0004687303,0.0004182744,1
0,855,0.000446629,0.0003993969,1
0,870,0.0004258861,0.0003816573,1
0,885,0.0004064094,0.0003649786,1
0,900,0.0003881137,0.0003492899,1
0,915,0.0003709193,0.000334525,1
0,930,0.0003547525,0.0003206225,1
0,945,0.0003395444,0.000307525,1
0,960,0.000325231,0.0002951792,1
0,975,0.0003117525,0.0002835353,1
0,990,0.0002990534,0.000272547,1
0,1005,0.000287082,0.0002621713,1
0,1020,0.0002757901,0.000252368,1
0,1035,0.0002651332,0.0002430998,1
0,1050,0.0002550694,0.000234332,1
0,1065,0.0002455601,0.0002260323,1
0,1080,0.0002365691,0.0002181706,1
0,1095,0.0002280632,0.000210719,1
0,1110,0.0002200108,0.0002036512,1
0,1125,0.0002123823,0.0001969427,1
0,1140,0.0002051517,0.0001905714,1
0,1155,0.0001982929,0.0001845158,1
0,1170,0.0001917819,0.0001787556,1
0,1185,0.000185597,0.0001732728,1
0,1200,0.0001797183,0.0001680507,1
0,1215,0.0001741257,0.0001630725,1
0,1230,0.0001688012,0.0001583232,1
0,1245,0.0001637293,0.0001537897,1
0,1260,0.0001588939,0.0001494584,1
0,1275,0.0001542801,0.0001453171,1
0,1290,0.0001498752,0.000141355,1
0,1305,0.0001456665,0.0001375614,1
0,1320,0.0001416422,0.0001339264,1
0,1335,0.0001377914,0.000130441,1
0,1350,0.0001341041,0.0001270966,1
0,1365,0.0001305706,0.0001238852,1
0,1380,0.0001271821,0.0001207992,1
0,1395,0.0001239305,0.0001178318,1
0,1410,0.0001208079,0.0001149765,1
0,1425,0.0001178067,0.0001122268,1
0,1440,0.0001149207,0.0001095775,1
