"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Kidney|Urine|Midazolam|Fraction excreted to urine","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Liver|Periportal|Intracellular|Midazolam-CYP3A4-Optimized Metabolite|Fraction of dose-Midazolam","Organism|Liver|Periportal|Intracellular|Midazolam-UGT1A4-Optimized Metabolite|Fraction of dose-Midazolam"
0,0,0,0,0,0,0,0,0
0,3,0.0001546639,0.0001089935,0.001143147,1.017808E-07,0.1008787,0.0002162934,5.038667E-06
0,6,0.001885398,0.001302256,0.006320585,2.095444E-06,0.2432328,0.002341283,5.454431E-05
0,9,0.005496884,0.003774999,0.01325977,8.502952E-06,0.3795974,0.007534783,0.0001755475
0,12,0.01001592,0.006860531,0.0201411,2.015744E-05,0.4961159,0.01578195,0.0003677155
0,15,0.01457827,0.009970603,0.02606544,3.677004E-05,0.5912471,0.02656158,0.0006189116
0,18,0.01868781,0.01276874,0.03075619,5.753892E-05,0.6680696,0.03920654,0.0009135918
0,21,0.02215168,0.0151249,0.03425367,8.154112E-05,0.7300885,0.05308945,0.001237134
0,24,0.02494757,0.0170248,0.03671116,0.0001079152,0.780256,0.06768369,0.00157726
0,27,0.02712776,0.01850462,0.03830343,0.0001359217,0.8209178,0.08257013,0.0019242
0,30,0.02876867,0.01961679,0.0391932,0.0001649501,0.8539315,0.09742559,0.002270417
0,33,0.02994879,0.02041503,0.03952163,0.000194507,0.8807796,0.1120073,0.002610251
0,36,0.03074049,0.02094879,0.03940739,0.0002241999,0.9026356,0.1261378,0.002939567
0,39,0.03120752,0.02126162,0.03894894,0.0002537202,0.9204479,0.1396924,0.003255454
0,42,0.0314052,0.02139129,0.0382274,0.0002828293,0.9349774,0.1525879,0.003555974
0,45,0.03138115,0.02137027,0.03730953,0.0003113461,0.9468368,0.1647739,0.003839954
0,48,0.03117626,0.02122646,0.03625011,0.0003391365,0.9565222,0.1762259,0.004106825
0,51,0.03082568,0.0209838,0.03509391,0.0003661052,0.9644355,0.1869394,0.004356478
0,54,0.03035955,0.02066285,0.03387745,0.0003921888,0.9709032,0.1969249,0.004589165
0,57,0.02980371,0.02028119,0.03263026,0.0004173491,0.9761916,0.2062047,0.0048054
0,60,0.0291802,0.01985381,0.03137594,0.000441569,0.9805166,0.2148091,0.005005894
0,63,0.02850769,0.01939343,0.03013309,0.000464848,0.9840543,0.2227744,0.005191491
0,66,0.02780189,0.01891071,0.02891601,0.0004871982,0.9869485,0.2301403,0.005363119
0,69,0.0270759,0.01841456,0.0277354,0.0005086418,0.9893168,0.2369487,0.005521755
0,72,0.02634047,0.01791226,0.02659893,0.0005292082,0.9912548,0.2432421,0.005668388
0,75,0.02560427,0.0174097,0.02551169,0.0005489318,0.9928409,0.2490625,0.005803999
0,78,0.02487423,0.01691157,0.02447668,0.0005678505,0.9941391,0.2544507,0.00592954
0,81,0.02415568,0.01642149,0.02349525,0.0005860041,0.9952018,0.2594458,0.006045918
0,84,0.02345267,0.01594217,0.02256739,0.0006034328,0.9960717,0.2640843,0.00615399
