"Time [h]","Avg [mg/l]","Var [mg/l]"
0,0.06162133,0.02874158
0.08,0.02618743,0.006613974
0.17,0.02044153,0.003490145
0.33,0.01441864,0.002461803
0.5,0.01138242,0.001943414
0.75,0.009399509,0.001855472
1,0.007849926,0.001549582
1.17,0.007337121,0.001349989
1.25,0.006630036,0.001131998
1.5,0.005537023,0.0008010316
1.75,0.004892001,0.0009001007
2,0.004273728,0.0006736665
2.5,0.003733594,0.0008906068
3,0.003225206,0.0005934198
4,0.002406679,0.0004750805
5,0.001921404,0.0005961453
6,0.001450004,0.0004075809
7,0.001355281,0.0005233376
8,0.001106649,0.0004446983
9,0.0009036291,0.0004364775
