"Time [h]","Avg [mg/l]","Var [mg/l]"
0.03333334,0.08843993,0.03263928
0.08333334,0.04364608,0.01466147
0.1666667,0.02410632,0.004055132
0.25,0.02110122,0.006651377
0.5,0.01415264,0.004753922
1,0.009784649,0.003418608
1.083333,0.009488017,0.003377692
1.166667,0.009106511,0.003866261
1.25,0.008563273,0.003685795
1.333333,0.007970452,0.003240941
1.5,0.007807336,0.003582244
1.833333,0.006831773,0.002900498
2,0.006165917,0.002275486
2.5,0.004970392,0.001601458
3,0.004767931,0.001909692
4,0.002913667,0.001384553
5,0.002075948,0.0005643414
6,0.001890862,0.0006479579
8,0.001417972,0.0006103216
