"Time [h]","Avg [mg/l]","Var [mg/l]"
106.0333,0.07133704,0.02347605
106.0667,0.03940207,0.02480022
106.0833,0.02337993,0.0136833
106.1667,0.0147505,0.00222813
106.25,0.01141934,0.001524275
106.5,0.007658975,0.001544025
107,0.004779969,0.001334861
107.0833,0.004682834,0.001376112
107.1667,0.004448874,0.001004345
107.25,0.003854545,0.001268533
107.3333,0.003737611,0.001071198
107.5,0.003443009,0.001270571
107.8333,0.002891951,0.0007861259
108,0.002832767,0.0005941048
108.5,0.002503824,0.0007357819
109,0.001766891,0.0005192244
110,0.001208419,0.0007466339
111,0.0008180354,0.0004989608
112,0.0007762349,0.000437389
