"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,3.861795E-06,2.852093E-05,0.1008789
0,6,4.682254E-05,0.0001564405,0.2432334
0,9,0.000135141,0.0003237725,0.3795979
0,12,0.0002428242,0.0004832962,0.4961165
0,15,0.0003475447,0.0006130752,0.5912477
0,18,0.000437272,0.0007080142,0.6680679
0,21,0.0005082054,0.0007712313,0.7300892
0,24,0.0005609908,0.000808407,0.7802568
0,27,0.0005980443,0.0008253384,0.8209161
0,30,0.0006221804,0.0008270898,0.8539318
0,33,0.0006360331,0.0008177987,0.880778
0,36,0.0006418616,0.0008007258,0.9026339
0,39,0.0006415278,0.0007783877,0.9204479
0,42,0.0006365308,0.0007526945,0.9349771
0,45,0.0006280618,0.0007250717,0.9468366
0,48,0.0006170602,0.0006965715,0.9565219
0,51,0.0006042604,0.0006679548,0.9644351
0,54,0.0005902351,0.0006397595,0.9709033
0,57,0.0005754266,0.0006123564,0.9761914
0,60,0.000560175,0.000585988,0.9805164
0,63,0.0005447402,0.0005608032,0.9840544
0,66,0.0005293179,0.0005368805,0.9869485
0,69,0.0005140543,0.0005142481,0.9893168
0,72,0.0004990564,0.0004928988,0.9912548
0,75,0.0004844009,0.0004728,0.9928409
0,78,0.0004701412,0.0004539026,0.9941391
0,81,0.0004563122,0.0004361476,0.9952017
0,84,0.0004429351,0.0004194698,0.9960716
0,87,0.0004300204,0.0004038017,0.9967836
0,90,0.0004175704,0.0003890758,0.9973665
0,93,0.0004055819,0.0003752261,0.9978438
0,96,0.0003940469,0.0003621891,0.9982345
0,99,0.0003829545,0.0003499048,0.9985545
0,102,0.0003722916,0.0003383169,0.9988164
0,105,0.0003620436,0.0003273727,0.9990309
0,108,0.0003521951,0.0003170239,0.9992064
0,111,0.0003427302,0.0003072257,0.9993502
0,114,0.0003336331,0.000297937,0.9994678
0,117,0.0003248879,0.0002891201,0.9995642
0,120,0.000316479,0.0002807408,0.9996431
0,135,0.0002789671,0.0002443986,0.9998685
0,150,0.0002478219,0.0002152858,0.9999515
0,165,0.0002217053,0.0001914413,0.9999821
0,180,0.0001995846,0.0001715665,0.9999933
0,195,0.0001806652,0.0001547644,0.9999975
0,210,0.0001643328,0.0001403902,0.999999
0,225,0.0001501098,0.0001279645,0.9999996
0,240,0.0001376221,0.0001171236,0.9999999
0,255,0.0001265749,0.0001075859,0.9999999
0,270,0.0001167345,9.913117E-05,1
0,285,0.0001079145,9.158513E-05,1
0,300,9.996523E-05,8.480909E-05,1
0,315,9.276556E-05,7.869154E-05,1
0,330,8.621685E-05,7.314223E-05,1
0,345,8.023805E-05,6.808748E-05,1
0,360,7.476203E-05,6.346667E-05,1
0,375,6.973274E-05,5.922951E-05,1
0,390,6.510274E-05,5.533373E-05,1
0,405,6.083161E-05,5.174354E-05,1
0,420,5.688474E-05,4.842849E-05,1
0,435,5.323219E-05,4.536246E-05,1
0,450,4.984788E-05,4.252275E-05,1
0,465,4.670876E-05,3.988948E-05,1
0,480,4.379438E-05,3.744507E-05,1
0,495,4.108649E-05,3.51739E-05,1
