"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.06634244,0.04563085,0.174284,0
0,6,0.1142445,0.07816917,0.2130759,0
0,9,0.1446508,0.0988233,0.2381759,0
0,12,0.1663289,0.1135497,0.2565566,0
0,15,0.1836479,0.1253161,0.2716239,0
0,18,0.1986989,0.1355421,0.2849197,0
0,21,0.212465,0.1448953,0.297166,0
0,24,0.225415,0.1536939,0.3087153,0
0,27,0.2377729,0.1620902,0.3197404,0
0,30,0.2496572,0.1701645,0.3303373,0
0,33,0.1947916,0.132331,0.1662665,0
0,36,0.1579877,0.1073326,0.1373347,0
0,39,0.1383326,0.09398246,0.1217861,0
0,42,0.1270838,0.08634128,0.1126549,0
0,45,0.1198883,0.08145232,0.106559,0
0,48,0.1146673,0.07790419,0.1019633,0
0,51,0.1104494,0.07503739,0.09815677,0
0,54,0.1067809,0.07254386,0.09480177,0
0,57,0.1034434,0.07027523,0.09173132,0
0,60,0.1003309,0.0681595,0.08886182,0
0,63,0.09738895,0.06615975,0.08614892,0
0,66,0.09458748,0.06425552,0.08356735,0
0,69,0.09190962,0.06243534,0.08110231,0
0,72,0.08934461,0.0606919,0.07874397,0
0,75,0.08688425,0.0590196,0.07648481,0
0,78,0.08452227,0.05741421,0.07431892,0
0,81,0.08225348,0.05587219,0.07224128,0
0,84,0.08007319,0.05439034,0.0702474,0
0,87,0.07797705,0.05296572,0.0683331,0
0,90,0.07596105,0.05159558,0.06649451,0
0,93,0.07402143,0.05027737,0.06472799,0
0,96,0.07215467,0.0490087,0.06303018,0
0,99,0.07035741,0.0477873,0.06139781,0
0,102,0.0686265,0.046611,0.05982785,0
0,105,0.0669589,0.04547775,0.0583174,0
0,108,0.06535173,0.04438559,0.05686367,0
0,111,0.06380225,0.04333264,0.05546403,0
0,114,0.06230785,0.04231714,0.05411601,0
0,117,0.06086606,0.04133742,0.05281722,0
0,120,0.05947454,0.04039187,0.05156542,0
0,135,0.05319626,0.03612595,0.04594002,0
0,150,0.04788156,0.0325151,0.04120992,0
0,165,0.0433413,0.02943068,0.03719544,0
0,180,0.03942742,0.02677202,0.03375647,0
0,195,0.03602377,0.02446013,0.03078346,0
0,210,0.03303918,0.02243305,0.02819079,0
0,225,0.03040178,0.02064189,0.02591118,0
0,240,0.02805447,0.01904784,0.02389143,0
0,255,0.02595177,0.01761999,0.02208935,0
0,270,0.02405723,0.01633354,0.02047127,0
0,285,0.02234145,0.01516854,0.0190102,0
0,300,0.02078052,0.01410871,0.01768431,0
0,315,0.01935488,0.01314077,0.01647585,0
0,330,0.01804839,0.01225374,0.01537024,0
0,345,0.01684756,0.01143847,0.0143554,0
0,360,0.01574104,0.01068725,0.01342125,0
0,375,0.01471923,0.009993536,0.01255927,0
0,390,0.01377391,0.009351763,0.01176225,0
0,405,0.012898,0.008757122,0.01102402,0
0,420,0.01208535,0.008205424,0.01033923,0
0,435,0.01133051,0.007692978,0.009703197,0
0,450,0.01062868,0.007216516,0.009111778,0
0,465,0.009975584,0.006773142,0.008561335,0
0,480,0.009367399,0.006360256,0.008048605,0
0,495,0.008800671,0.005975516,0.007570667,0
0,510,0.00827228,0.005616799,0.00712488,0
0,525,0.007779382,0.005282179,0.006708844,0
0,540,0.007319385,0.004969893,0.006320381,0
0,555,0.006889916,0.004678331,0.005957495,0
0,570,0.0064888,0.004406016,0.005618366,0
0,585,0.006114032,0.004151588,0.005301313,0
0,600,0.005763764,0.003913792,0.005004789,0
