"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.0002062972,0.0001453809,0.001525117,0.1008788
0,6,0.002518469,0.001739548,0.008449954,0.2432328
0,9,0.007359868,0.005054514,0.01777995,0.3795975
0,12,0.01344924,0.009212458,0.02709996,0.4961162
0,15,0.01963859,0.01343192,0.03520102,0.5912473
0,18,0.0252612,0.01726066,0.0416972,0.6680685
0,21,0.03005092,0.02051913,0.04662577,0.7300892
0,24,0.03396857,0.02318183,0.05017704,0.7802558
0,27,0.03707545,0.02529128,0.05257303,0.8209184
0,30,0.03946635,0.02691256,0.05402223,0.853933
0,33,0.04124009,0.02811329,0.05470609,0.8807774
0,36,0.04248827,0.02895609,0.05477798,0.9026368
0,39,0.04329216,0.02949652,0.05436559,0.9204486
0,42,0.04372235,0.02978273,0.05357444,0.9349772
0,45,0.04383995,0.02985645,0.05249204,0.9468369
0,48,0.04369777,0.02975369,0.05119079,0.9565214
0,51,0.04334156,0.02950565,0.04973061,0.9644353
0,54,0.04281102,0.02913938,0.0481611,0.9709033
0,57,0.04214061,0.02867834,0.04652319,0.9761917
0,60,0.04136021,0.0281429,0.04485053,0.9805166
0,63,0.04049575,0.02755067,0.04317053,0.9840543
0,66,0.03956952,0.02691684,0.04150525,0.9869485
0,69,0.03860064,0.02625439,0.03987211,0.9893168
0,72,0.03760532,0.02557433,0.03828451,0.9912549
0,75,0.03659711,0.02488587,0.03675238,0.9928411
0,78,0.03558724,0.02419661,0.03528268,0.9941394
0,81,0.03458478,0.0235127,0.03387984,0.995202
0,84,0.03359696,0.02283904,0.0325462,0.9960718
0,87,0.03262932,0.02217936,0.03128237,0.9967839
0,90,0.03168602,0.02153648,0.03008758,0.9973668
0,93,0.03077,0.02091236,0.02896004,0.997844
0,96,0.0298832,0.0203083,0.02789717,0.9982346
0,99,0.02902675,0.01972505,0.0268959,0.9985545
0,102,0.02820113,0.01916291,0.02595279,0.9988164
0,105,0.0274063,0.01862184,0.02506427,0.9990308
0,108,0.02664185,0.01810155,0.02422671,0.9992064
0,111,0.02590711,0.01760155,0.02343657,0.9993501
0,114,0.02520119,0.01712124,0.02269043,0.9994677
