"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0004131435,0.003056617,0.1008786
0,6,0.005066389,0.01704003,0.2432327
0,9,0.01490156,0.03613799,0.3795975
0,12,0.02742918,0.05554124,0.4961158
0,15,0.04035975,0.07276522,0.5912492
0,18,0.05232801,0.0869562,0.6680686
0,21,0.0627582,0.0981174,0.7300883
0,24,0.07153205,0.1065739,0.7802559
0,27,0.07873817,0.1127268,0.8209176
0,30,0.08453841,0.1169606,0.8539327
0,33,0.08910795,0.1196138,0.880779
0,36,0.09261167,0.1209733,0.9026358
0,39,0.09519655,0.121279,0.9204487
0,42,0.09699086,0.1207303,0.9349778
0,45,0.09810574,0.1194923,0.9468372
0,48,0.09863745,0.1177024,0.9565222
0,51,0.0986696,0.1154753,0.9644354
0,54,0.09827517,0.1129068,0.9709034
0,57,0.09751818,0.1100775,0.9761917
0,60,0.09645501,0.1070553,0.9805166
0,63,0.0951356,0.103898,0.9840543
0,66,0.0936043,0.1006542,0.9869486
0,69,0.09190059,0.09736545,0.9893169
0,72,0.09005968,0.09406696,0.991255
0,75,0.08811298,0.09078846,0.9928413
0,78,0.08608839,0.08755496,0.9941396
0,81,0.08401069,0.08438724,0.9952021
0,84,0.0819017,0.0813023,0.996072
0,87,0.0797805,0.07831366,0.996784
0,90,0.07766357,0.0754317,0.9973669
0,93,0.07556494,0.07266393,0.9978441
0,96,0.07349632,0.07001521,0.9982347
0,99,0.07146731,0.06748809,0.9985546
0,102,0.06948548,0.06508308,0.9988165
0,105,0.06755661,0.06279891,0.9990309
0,108,0.06568486,0.06063287,0.9992064
0,111,0.06387297,0.0585811,0.9993501
0,114,0.06212247,0.05663883,0.9994678
0,117,0.06043387,0.05480076,0.9995642
0,120,0.05880689,0.05306115,0.9996431
0,135,0.05154909,0.04563664,0.9998685
0,150,0.0455673,0.03985853,0.9999514
0,165,0.04059862,0.03523303,0.999982
0,180,0.03642554,0.03143862,0.9999933
0,195,0.03288218,0.02826671,0.9999975
0,210,0.02984279,0.02557595,0.999999
0,225,0.02721099,0.02326581,0.9999996
0,240,0.0249121,0.02126186,0.9999999
0,255,0.02288768,0.01950756,0.9999999
0,270,0.02109166,0.01795912,1
0,285,0.01948749,0.0165822,1
0,300,0.01804595,0.01534963,1
0,315,0.01674356,0.01423971,1
0,330,0.01556128,0.01323496,1
0,345,0.01448357,0.01232123,1
0,360,0.01349764,0.01148691,1
0,375,0.01259285,0.01072247,1
0,390,0.01176031,0.01001994,1
0,405,0.0109925,0.009372638,1
0,420,0.010283,0.008774922,1
0,435,0.009626284,0.008221949,1
0,450,0.009017562,0.007709545,1
0,465,0.008452638,0.007234082,1
0,480,0.00792781,0.006792373,1
0,495,0.007439787,0.006381598,1
0,510,0.006985631,0.005999254,1
0,525,0.006562706,0.005643099,1
0,540,0.006168627,0.005311117,1
0,555,0.005801229,0.005001478,1
0,570,0.00545854,0.004712524,1
0,585,0.005138758,0.004442739,1
0,600,0.004840231,0.004190739,1
0,615,0.004561442,0.003955252,1
0,630,0.004300995,0.003735112,1
0,645,0.004057602,0.003529242,1
0,660,0.003830067,0.003336641,1
0,675,0.003617291,0.003156395,1
0,690,0.003418249,0.002987646,1
0,705,0.003231997,0.002829609,1
0,720,0.003057659,0.002681551,1
0,735,0.002894423,0.002542797,1
0,750,0.002741533,0.002412716,1
0,765,0.002598287,0.002290722,1
0,780,0.002464035,0.002176277,1
0,795,0.002338169,0.00206887,1
0,810,0.002220119,0.001968022,1
0,825,0.002109367,0.001873309,1
0,840,0.00200543,0.001784335,1
0,855,0.001907843,0.001700692,1
0,870,0.001816182,0.001622027,1
0,885,0.001730069,0.001548053,1
0,900,0.001649126,0.001478435,1
0,915,0.001572993,0.001412835,1
0,930,0.001501359,0.001351046,1
0,945,0.001433952,0.001292843,1
0,960,0.001370482,0.001237945,1
0,975,0.001310678,0.001186149,1
0,990,0.001254328,0.001137291,1
0,1005,0.00120121,0.001091158,1
0,1020,0.001151094,0.00104757,1
0,1035,0.001103763,0.001006328,1
0,1050,0.001059105,0.0009673669,1
0,1065,0.001016914,0.0009305008,1
0,1080,0.0009770077,0.0008955701,1
0,1095,0.0009392825,0.0008625069,1
0,1110,0.0009035637,0.000831131,1
0,1125,0.000869746,0.0008013918,1
0,1140,0.0008377077,0.0007731625,1
0,1155,0.0008073379,0.0007463572,1
0,1170,0.0007785321,0.0007208887,1
0,1185,0.0007511937,0.000696675,1
0,1200,0.0007252324,0.0006736415,1
0,1215,0.000700564,0.0006517156,1
0,1230,0.0006771094,0.0006308311,1
0,1245,0.0006547942,0.0006109252,1
0,1260,0.0006335498,0.0005919402,1
0,1275,0.0006133126,0.0005738225,1
0,1290,0.0005940247,0.0005565231,1
0,1305,0.0005756263,0.0005399915,1
0,1320,0.0005580684,0.0005241864,1
0,1335,0.0005412977,0.0005090625,1
0,1350,0.000525271,0.0004945833,1
0,1365,0.0005099441,0.0004807113,1
0,1380,0.0004952774,0.0004674132,1
0,1395,0.0004812346,0.0004546579,1
0,1410,0.0004677765,0.0004424123,1
0,1425,0.0004548724,0.0004306503,1
0,1440,0.0004424939,0.0004193475,1
