"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.1685103,0.1351445,0
0,6,0.1018242,0.08335845,0
0,9,0.06860113,0.05734009,0
0,12,0.05207931,0.04481041,0
0,15,0.04370613,0.03837539,0
0,18,0.03916902,0.03474895,0
0,21,0.03643866,0.03246213,0
0,24,0.03457796,0.03083785,0
0,27,0.03315225,0.02955682,0
0,30,0.03195737,0.02846505,0
0,33,0.03089567,0.02748694,0
0,36,0.02991927,0.02658437,0
0,39,0.02900373,0.02573733,0
0,42,0.02813603,0.02493481,0
0,45,0.02730914,0.02417071,0
0,48,0.02651865,0.02344105,0
0,51,0.02576139,0.02274295,0
0,54,0.02503507,0.02207429,0
0,57,0.02433805,0.02143345,0
0,60,0.02366886,0.02081902,0
0,63,0.02302606,0.02022961,0
0,66,0.02240832,0.01966396,0
0,69,0.02181448,0.01912094,0
0,72,0.02124345,0.01859947,0
0,75,0.02069416,0.01809855,0
0,78,0.02016558,0.01761717,0
0,81,0.01965676,0.01715442,0
0,84,0.01916678,0.01670942,0
0,87,0.01869479,0.01628134,0
0,90,0.01823998,0.01586941,0
0,93,0.01780159,0.0154729,0
0,96,0.01737887,0.01509108,0
0,99,0.01697112,0.01472329,0
0,102,0.01657767,0.01436888,0
0,105,0.01619786,0.01402723,0
0,108,0.01583112,0.01369778,0
0,111,0.01547682,0.01337995,0
0,114,0.01513446,0.01307325,0
0,117,0.01480349,0.01277716,0
0,120,0.01448341,0.0124912,0
0,135,0.01303095,0.01119869,0
0,150,0.01178931,0.01010109,0
0,165,0.01071837,0.009160404,0
0,180,0.009786702,0.008346991,0
0,195,0.008969573,0.007637596,0
0,210,0.008247436,0.007013911,0
0,225,0.007604772,0.006461462,0
0,240,0.007029214,0.005968763,0
0,255,0.006510857,0.005526658,0
0,270,0.006041683,0.005127775,0
0,285,0.005615131,0.004766114,0
0,300,0.005225818,0.004436781,0
0,315,0.00486931,0.004135769,0
0,330,0.00454192,0.003859772,0
0,345,0.004240552,0.00360603,0
0,360,0.003962568,0.003372209,0
0,375,0.00370569,0.003156303,0
0,390,0.00346795,0.002956592,0
0,405,0.003247637,0.002771589,0
0,420,0.003043249,0.002599996,0
0,435,0.002853458,0.002440672,0
0,450,0.002677083,0.00229261,0
0,465,0.002513053,0.002154893,0
0,480,0.002360416,0.002026716,0
0,495,0.002218285,0.001907326,0
0,510,0.002085875,0.001796061,0
0,525,0.001962458,0.00169231,0
0,540,0.001847379,0.001595521,0
0,555,0.001740036,0.001505191,0
0,570,0.001639877,0.001420858,0
0,585,0.001546392,0.001342096,0
0,600,0.001459109,0.001268512,0
0,615,0.001377596,0.001199745,0
0,630,0.001301437,0.001135446,0
0,645,0.001230256,0.001075303,0
0,660,0.001163705,0.001019026,0
0,675,0.00110146,0.0009663443,0
0,690,0.001043229,0.0009170145,0
0,705,0.0009887343,0.0008708078,0
0,720,0.0009377233,0.0008275125,0
0,735,0.0008899584,0.0007869318,0
0,750,0.0008452159,0.0007488789,0
0,765,0.0008032892,0.0007131822,0
0,780,0.0007639846,0.00067968,0
0,795,0.0007271224,0.0006482227,0
0,810,0.0006925372,0.0006186727,0
0,825,0.0006600745,0.0005909014,0
0,840,0.0006295923,0.0005647905,0
0,855,0.0006009567,0.0005402286,0
0,870,0.0005740438,0.0005171124,0
0,885,0.0005487402,0.0004953479,0
0,900,0.0005249373,0.0004748444,0
0,915,0.0005025352,0.0004555184,0
0,930,0.0004814416,0.0004372934,0
0,945,0.0004615696,0.000420097,0
0,960,0.0004428383,0.0004038613,0
0,975,0.0004251714,0.0003885232,0
0,990,0.0004084998,0.0003740246,0
0,1005,0.0003927583,0.0003603112,0
0,1020,0.0003778846,0.000347331,0
0,1035,0.0003638231,0.0003350377,0
0,1050,0.0003505217,0.0003233874,0
0,1065,0.0003379304,0.0003123387,0
0,1080,0.0003260042,0.0003018538,0
0,1095,0.0003147009,0.0002918975,0
0,1110,0.0003039809,0.0002824366,0
0,1125,0.0002938074,0.0002734405,0
0,1140,0.0002841463,0.0002648805,0
0,1155,0.0002749652,0.0002567296,0
0,1170,0.0002662345,0.0002489629,0
0,1185,0.0002579264,0.0002415571,0
0,1200,0.0002500142,0.00023449,0
0,1215,0.0002424741,0.0002277413,0
0,1230,0.0002352835,0.0002212924,0
0,1245,0.0002284208,0.000215125,0
0,1260,0.0002218665,0.0002092226,0
0,1275,0.0002156025,0.0002035701,0
0,1290,0.0002096113,0.0001981528,0
0,1305,0.0002038771,0.0001929574,0
0,1320,0.0001983851,0.0001879713,0
0,1335,0.0001931212,0.0001831828,0
0,1350,0.0001880724,0.0001785808,0
0,1365,0.0001832266,0.0001741553,0
0,1380,0.0001785722,0.0001698963,0
0,1395,0.0001740988,0.000165795,0
0,1410,0.0001697963,0.0001618431,0
0,1425,0.0001656553,0.0001580323,0
0,1440,0.000161667,0.0001543554,0
