"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.3370368,0.270354,0
0,6,0.2036873,0.1667789,0
0,9,0.1372384,0.1147224,0
0,12,0.1041874,0.08965177,0
0,15,0.08743576,0.07677569,0
0,18,0.07835869,0.06951997,0
0,21,0.07289654,0.06494518,0
0,24,0.06917451,0.06169631,0
0,27,0.06632309,0.05913437,0
0,30,0.06393339,0.05695106,0
0,33,0.06181027,0.05499532,0
0,36,0.05985774,0.05319057,0
0,39,0.05802714,0.05149708,0
0,42,0.05629229,0.04989272,0
0,45,0.05463888,0.04836502,0
0,48,0.05305833,0.04690625,0
0,51,0.05154446,0.04551079,0
0,54,0.05009253,0.04417424,0
0,57,0.04869905,0.04289322,0
0,60,0.04736116,0.04166496,0
0,63,0.04607613,0.04048681,0
0,66,0.0448413,0.03935622,0
0,69,0.04365423,0.03827086,0
0,72,0.04251274,0.03722859,0
0,75,0.04141474,0.03622739,0
0,78,0.04035822,0.03526533,0
0,81,0.03934122,0.03434052,0
0,84,0.03836191,0.03345121,0
0,87,0.0374186,0.03259576,0
0,90,0.03650961,0.03177258,0
0,93,0.03563344,0.03098019,0
0,96,0.03478861,0.0302172,0
0,99,0.03397372,0.02948225,0
0,102,0.03318741,0.02877405,0
0,105,0.03242843,0.0280914,0
0,108,0.03169552,0.0274331,0
0,111,0.03098758,0.0267981,0
0,114,0.03030347,0.02618531,0
0,117,0.02964213,0.02559372,0
0,120,0.02900261,0.02502243,0
0,135,0.02610047,0.02244014,0
0,150,0.02361979,0.02024737,0
0,165,0.02148021,0.01836809,0
0,180,0.01961891,0.01674302,0
0,195,0.01798636,0.01532564,0
0,210,0.0165435,0.01407937,0
0,225,0.01525934,0.0129753,0
0,240,0.01410913,0.01199045,0
0,255,0.01307297,0.01110645,0
0,270,0.01213485,0.01030857,0
0,285,0.01128174,0.009584902,0
0,300,0.01050295,0.008925734,0
0,315,0.009789606,0.008323067,0
0,330,0.009134344,0.007770287,0
0,345,0.008530965,0.007261871,0
0,360,0.007974192,0.006793152,0
0,375,0.007459491,0.006360142,0
0,390,0.006982942,0.005959415,0
0,405,0.00654113,0.005588006,0
0,420,0.006131054,0.005243325,0
0,435,0.005750082,0.00492311,0
0,450,0.005395858,0.00462535,0
0,465,0.005066264,0.004348241,0
0,480,0.004759392,0.004090164,0
0,495,0.004473508,0.003849654,0
0,510,0.004207043,0.003625386,0
0,525,0.003958565,0.003416158,0
0,540,0.003726765,0.003220871,0
0,555,0.003510444,0.003038521,0
0,570,0.003308492,0.002868177,0
0,585,0.003119896,0.002708995,0
0,600,0.0029437,0.002560174,0
0,615,0.002779046,0.002420999,0
0,630,0.002625114,0.002290786,0
0,645,0.002481167,0.00216892,0
0,660,0.002346511,0.002054824,0
0,675,0.002220511,0.001947967,0
0,690,0.002102572,0.001847856,0
0,705,0.001992145,0.001754033,0
0,720,0.001888718,0.001666071,0
0,735,0.001791815,0.001583574,0
0,750,0.001700991,0.001506171,0
0,765,0.001615835,0.00143352,0
0,780,0.001535962,0.001365301,0
0,795,0.001461017,0.001301216,0
0,810,0.001390669,0.001240991,0
0,825,0.001324611,0.001184368,0
0,840,0.001262555,0.001131111,0
0,855,0.001204236,0.001080995,0
0,870,0.001149403,0.001033812,0
0,885,0.001097827,0.0009893711,0
0,900,0.001049292,0.0009474938,0
0,915,0.001003597,0.0009080095,0
0,930,0.0009605528,0.0008707588,0
0,945,0.0009199884,0.0008356025,0
0,960,0.0008817434,0.0008024094,0
0,975,0.0008456635,0.0007710449,0
0,990,0.0008116052,0.0007413839,0
0,1005,0.0007794419,0.0007133292,0
0,1020,0.0007490541,0.0006867872,0
0,1035,0.0007203238,0.0006616483,0
0,1050,0.0006931417,0.0006378141,0
0,1065,0.0006674177,0.0006152242,0
0,1080,0.0006430671,0.0005938192,0
0,1095,0.0006199921,0.0005734921,0
0,1110,0.0005980931,0.0005541338,0
0,1125,0.0005773189,0.0005357764,0
0,1140,0.0005576001,0.0005182995,0
0,1155,0.0005388731,0.0005016747,0
0,1170,0.0005210663,0.0004858309,0
0,1185,0.0005041237,0.0004707411,0
0,1200,0.0004879934,0.0004563395,0
0,1215,0.0004726281,0.0004425962,0
0,1230,0.0004579819,0.0004294711,0
0,1245,0.0004440158,0.0004169315,0
0,1260,0.0004306897,0.0004049435,0
0,1275,0.0004179648,0.0003934743,0
0,1290,0.0004058051,0.0003824936,0
0,1305,0.0003941789,0.0003719746,0
0,1320,0.0003830527,0.000361889,0
0,1335,0.0003723995,0.000352214,0
0,1350,0.0003621902,0.000342925,0
0,1365,0.0003524012,0.0003340018,0
0,1380,0.0003430083,0.0003254241,0
0,1395,0.0003339895,0.0003171733,0
0,1410,0.0003253251,0.0003092324,0
0,1425,0.0003169948,0.0003015843,0
0,1440,0.0003089821,0.000294215,0
