"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.0003816846,0.002836027,0.100409
0,6,0.004722644,0.01590647,0.2427911
0,9,0.01391766,0.03376744,0.3792169
0,12,0.02562802,0.0518956,0.4957915
0,15,0.03770376,0.06796258,0.5909715
0,18,0.04886536,0.08117255,0.6678287
0,21,0.05857534,0.09153335,0.7298788
0,24,0.06672542,0.09935358,0.780071
0,27,0.07340097,0.1050124,0.8207527
0,30,0.07875568,0.1088726,0.853784
0,33,0.08295536,0.1112532,0.8806434
0,36,0.08615587,0.1124247,0.9025111
0,39,0.08849611,0.1126132,0.9203327
0,42,0.09009728,0.1120063,0.9348692
0,45,0.09106439,0.1107598,0.9467342
0,48,0.09148839,0.1090031,0.9564239
0,51,0.09144833,0.1068442,0.964341
0,54,0.09101322,0.1043735,0.9708121
0,57,0.09024359,0.1016669,0.976103
0,60,0.08919278,0.09878863,0.98043
0,63,0.087908,0.09579273,0.9839695
0,66,0.08643114,0.0927251,0.9868652
0,69,0.08479945,0.08962462,0.9892347
0,72,0.08304609,0.08652417,0.9911739
0,75,0.08120053,0.08345131,0.9927608
0,78,0.07928886,0.08042908,0.9940597
0,81,0.07733411,0.0774764,0.9951228
0,84,0.07535648,0.07460848,0.9959931
0,87,0.0733734,0.07183718,0.9967055
0,90,0.07139983,0.06917129,0.9972886
0,93,0.06944833,0.06661685,0.9977661
0,96,0.06752925,0.06417743,0.998157
0,99,0.06565087,0.06185443,0.9984769
0,102,0.06381963,0.05964738,0.9987389
0,105,0.06204028,0.05755424,0.9989534
0,108,0.06031608,0.05557172,0.9991291
0,111,0.05864903,0.05369558,0.9992728
0,114,0.05704007,0.05192087,0.9993906
0,117,0.05548928,0.05024222,0.999487
0,120,0.05399602,0.04865402,0.9995659
0,135,0.04734137,0.04187588,0.9997914
0,150,0.04185845,0.03659443,0.9998744
0,165,0.0373023,0.03236006,0.999905
0,180,0.03347382,0.02888242,0.9999163
0,195,0.03022164,0.02597294,0.9999205
0,210,0.02743097,0.02350341,0.9999221
0,225,0.02501377,0.0213823,0.9999226
0,240,0.02290173,0.01954172,0.9999229
0,255,0.0210414,0.01793001,0.9999229
0,270,0.01939062,0.01650712,0.999923
0,285,0.01791592,0.01524162,0.999923
0,300,0.01659055,0.01410864,0.999923
0,315,0.01539299,0.01308829,0.999923
0,330,0.01430579,0.01216456,0.999923
0,345,0.01331469,0.01132447,0.999923
0,360,0.01240798,0.01055738,0.999923
0,375,0.01157588,0.009854533,0.999923
0,390,0.01081025,0.009208629,0.999923
0,405,0.01010417,0.008613546,0.999923
0,420,0.009451751,0.008064074,0.999923
0,435,0.008847877,0.007555746,0.999923
0,450,0.008288166,0.007084743,0.999923
0,465,0.007768771,0.006647737,0.999923
0,480,0.007286277,0.006241789,0.999923
0,495,0.006837655,0.005864306,0.999923
0,510,0.006420208,0.005512985,0.999923
0,525,0.006031503,0.005185764,0.999923
0,540,0.005669345,0.004880781,0.999923
0,555,0.005331737,0.004596353,0.999923
0,570,0.005016866,0.004330952,0.999923
0,585,0.004723073,0.004083185,0.999923
0,600,0.004448834,0.003851775,0.999923
0,615,0.004192752,0.00363555,0.999923
0,630,0.003953538,0.003433433,0.999923
0,645,0.003730005,0.003244432,0.999923
0,660,0.003521056,0.00306763,0.999923
0,675,0.003325677,0.002902183,0.999923
0,690,0.003142929,0.002747306,0.999923
0,705,0.002971942,0.002602275,0.999923
0,720,0.002811907,0.002466414,0.999923
0,735,0.002662075,0.0023391,0.999923
0,750,0.002521751,0.002219752,0.999923
0,765,0.002390289,0.002107834,0.999923
0,780,0.002267087,0.002002843,0.999923
0,795,0.002151588,0.001904313,0.999923
0,810,0.002043273,0.001811816,0.999923
0,825,0.001941657,0.001724942,0.999923
0,840,0.001846293,0.001643321,0.999923
0,855,0.001756764,0.001566611,0.999923
0,870,0.00167267,0.001494452,0.999923
0,885,0.001593681,0.001426636,0.999923
0,900,0.001519422,0.001362736,0.999923
0,915,0.001449584,0.001302604,0.999923
0,930,0.001383896,0.001245967,0.999923
0,945,0.001322065,0.001192592,0.999923
0,960,0.001263852,0.001142243,0.999923
0,975,0.001209005,0.001094752,0.999923
0,990,0.001157315,0.001049929,0.999923
0,1005,0.001108579,0.001007605,0.999923
0,1020,0.001062604,0.000967619,0.999923
0,1035,0.00101921,0.0009298189,0.999923
0,1050,0.0009782306,0.0008940657,0.999923
0,1065,0.0009395106,0.00086023,0.999923
0,1080,0.0009029058,0.0008281906,0.999923
0,1095,0.0008682817,0.0007978348,0.999923
0,1110,0.0008355129,0.0007690574,0.999923
0,1125,0.0008044821,0.00074176,0.999923
0,1140,0.0007750801,0.0007158508,0.999923
0,1155,0.0007472052,0.0006912445,0.999923
0,1170,0.0007207622,0.000667861,0.999923
0,1185,0.0006956624,0.0006456258,0.999923
0,1200,0.000671823,0.0006244693,0.999923
0,1215,0.0006491667,0.0006043264,0.999923
0,1230,0.0006276215,0.0005851364,0.999923
0,1245,0.00060712,0.0005668426,0.999923
0,1260,0.0005875991,0.0005493919,0.999923
0,1275,0.0005689998,0.0005327344,0.999923
0,1290,0.0005512672,0.0005168239,0.999923
0,1305,0.0005343504,0.0005016173,0.999923
0,1320,0.0005182014,0.0004870741,0.999923
0,1335,0.0005027755,0.0004731564,0.999923
0,1350,0.0004880306,0.0004598288,0.999923
0,1365,0.0004739276,0.0004470581,0.999923
0,1380,0.0004604299,0.0004348131,0.999923
0,1395,0.0004475029,0.0004230648,0.999923
0,1410,0.0004351149,0.000411786,0.999923
0,1425,0.0004232356,0.0004009512,0.999923
0,1440,0.0004118372,0.0003905366,0.999923
