"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0,0.001620767,0,0.01360178,0,0.01440957
0,6,0,0.02365937,0,0.08598313,0,0.04767391
0,9,0,0.09021059,0,0.2319828,0,0.09681187
0,12,0,0.2190216,0,0.4629434,0,0.1587435
0,15,0,0.4226721,0,0.7836275,0,0.2291356
0,18,0,0.7077402,0,1.19209,0,0.303674
0,21,0,1.074795,0,1.680701,0,0.3786573
0,24,0,1.518935,0,2.237236,0,0.4511874
0,27,0,2.030621,0,2.846073,0,0.5192009
0,30,0,2.596818,0,3.48995,0,0.5813974
0,33,0,3.202358,0,4.151222,0,0.6371063
0,36,0,3.831279,0,4.813426,0,0.6861627
0,39,0,4.468076,0,5.462111,0,0.7287576
0,42,0,5.098604,0,6.085346,0,0.7653198
0,45,0,5.71075,0,6.673903,0,0.7964091
0,48,0,6.294723,0,7.221128,0,0.8226385
0,51,0,6.843029,0,7.722674,0,0.8446297
0,54,0,7.350373,0,8.176141,0,0.8629779
0,57,0,7.813438,0,8.580797,0,0.878228
0,60,0,8.230573,0,8.937136,0,0.8908667
0,63,0,8.601451,0,9.246569,0,0.90132
0,66,0,8.92681,0,9.511298,0,0.9099565
0,69,0,9.208215,0,9.733911,0,0.9170907
0,72,0,9.44777,0,9.917136,0,0.9229874
0,75,0,9.647942,0,10.06414,0,0.9278678
0,78,0,9.811526,0,10.17819,0,0.9319162
0,81,0,9.941413,0,10.26186,0,0.9352854
0,84,0,10.04031,0,10.31795,0,0.9381012
0,87,0,10.11108,0,10.35034,0,0.9404672
0,90,0,10.15677,0,10.36098,0,0.9424679
0,93,0,10.1797,0,10.35107,0,0.9441726
0,96,0,10.18217,0,10.32557,0,0.9456379
0,99,0,10.16707,0,10.2852,0,0.9469099
0,102,0,10.13594,0,10.22919,0,0.9480259
0,105,0,10.09024,0,10.16431,0,0.9490165
0,108,0,10.0327,0,10.08699,0,0.9499061
0,111,0,9.964156,0,10.00421,0,0.9507147
0,114,0,9.887103,0,9.912039,0,0.9514586
0,117,0,9.802429,0,9.815624,0,0.9521507
0,120,0,9.710801,0,9.713711,0,0.9528015
0,123,0,9.613485,0,9.607524,0,0.9534195
0,126,0,9.511839,0,9.497483,0,0.9540114
0,129,0,9.406486,0,9.385126,0,0.9545828
0,132,0,9.29815,0,9.27096,0,0.9551378
0,135,0,9.187505,0,9.155454,0,0.9556801
0,138,0,9.075142,0,9.039059,0,0.9562122
0,141,0,8.96158,0,8.922198,0,0.9567364
0,144,0,8.847275,0,8.805216,0,0.9572544
0,147,0,8.732616,0,8.688447,0,0.9577675
0,150,0,8.617951,0,8.57216,0,0.9582768
0,153,0,8.503576,0,8.456587,0,0.958783
0,156,0,8.389749,0,8.341931,0,0.9592869
0,159,0,8.276689,0,8.228368,0,0.9597887
0,162,0,8.164586,0,8.116038,0,0.9602891
0,165,0,8.053599,0,8.005066,0,0.9607881
0,168,0,7.943863,0,7.895548,0,0.9612861
0,171,0,7.835489,0,7.787567,0,0.9617832
0,174,0,7.728567,0,7.681187,0,0.9622794
0,177,0,7.623174,0,7.576459,0,0.9627748
0,180,0,7.519368,0,7.47342,0,0.9632696
0,183,0,7.417195,0,7.3721,0,0.9637637
0,186,0,7.31669,0,7.272514,0,0.9642571
0,189,0,7.217876,0,7.174673,0,0.9647499
0,192,0,7.120768,0,7.078579,0,0.9652421
0,195,0,7.025373,0,6.984227,0,0.9657336
0,198,0,6.931691,0,6.891611,0,0.9662245
0,201,0,6.839716,0,6.800715,0,0.9667147
