"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0,3.597788E-05,0,0.0003016402,0,0.01440222
0,6,0,0.0005218011,0,0.001887317,0,0.04758251
0,9,0,0.001965107,0,0.005004028,0,0.09646774
0,12,0,0.004686752,0,0.009754621,0,0.1579304
0,15,0,0.008842727,0,0.01605658,0,0.2276418
0,18,0,0.01442391,0,0.02368579,0,0.3013263
0,21,0,0.02128829,0,0.03234261,0,0.3753502
0,24,0,0.02920605,0,0.04170075,0,0.4468748
0,27,0,0.03790121,0,0.05144088,0,0.5138986
0,30,0,0.04708641,0,0.06127481,0,0.5751767
0,33,0,0.05648845,0,0.07095769,0,0.6300828
0,36,0,0.06586415,0,0.08029295,0,0.6784719
0,39,0,0.07500968,0,0.08913282,0,0.7205491
0,42,0,0.08376405,0,0.0973744,0,0.7567412
0,45,0,0.09200781,0,0.1049532,0,0.7875999
0,48,0,0.09965923,0,0.1118369,0,0.8137323
0,51,0,0.1066692,0,0.1180182,0,0.8357484
0,54,0,0.1130156,0,0.123509,0,0.8542258
0,57,0,0.1186974,0,0.1283348,0,0.8696943
0,60,0,0.1237294,0,0.1325305,0,0.8826239
0,63,0,0.1281378,0,0.1361368,0,0.8934286
0,66,0,0.1319567,0,0.1391973,0,0.902465
0,69,0,0.1352251,0,0.1417571,0,0.9100363
0,72,0,0.1379846,0,0.1438608,0,0.9163967
0,75,0,0.1402775,0,0.1455514,0,0.9217588
0,78,0,0.1421455,0,0.1468697,0,0.9262992
0,81,0,0.1436287,0,0.1478541,0,0.9301646
0,84,0,0.1447655,0,0.1485403,0,0.9334759
0,87,0,0.1455917,0,0.1489609,0,0.9363322
0,90,0,0.1461406,0,0.1491459,0,0.9388148
0,93,0,0.1464427,0,0.1491225,0,0.94099
0,96,0,0.1465261,0,0.1489153,0,0.9429126
0,99,0,0.146416,0,0.1485464,0,0.9446271
0,102,0,0.1461357,0,0.1480358,0,0.9461698
0,105,0,0.1457057,0,0.1474013,0,0.9475704
0,108,0,0.1451448,0,0.146659,0,0.9488531
0,111,0,0.1444696,0,0.1458231,0,0.9500379
0,114,0,0.1436951,0,0.1449064,0,0.9511409
0,117,0,0.1428348,0,0.1439201,0,0.9521753
0,120,0,0.1419004,0,0.1428744,0,0.9531521
0,123,0,0.1409026,0,0.1417782,0,0.9540802
0,126,0,0.1398508,0,0.1406396,0,0.954967
0,129,0,0.1387534,0,0.1394654,0,0.9558183
0,132,0,0.1376177,0,0.1382621,0,0.9566393
0,135,0,0.1364504,0,0.1370351,0,0.9574341
0,138,0,0.1352573,0,0.1357893,0,0.9582061
0,141,0,0.1340435,0,0.134529,0,0.958958
0,144,0,0.1328136,0,0.1332581,0,0.9596922
0,147,0,0.1315715,0,0.13198,0,0.9604108
0,150,0,0.1303208,0,0.1306975,0,0.9611153
0,153,0,0.1290646,0,0.1294132,0,0.9618071
0,156,0,0.1278057,0,0.1281296,0,0.9624874
0,159,0,0.1265464,0,0.1268485,0,0.9631571
0,162,0,0.1252888,0,0.1255717,0,0.9638172
0,165,0,0.1240347,0,0.1243007,0,0.9644682
0,168,0,0.1227858,0,0.1230369,0,0.9651108
0,171,0,0.1215434,0,0.1217813,0,0.9657456
0,174,0,0.1203087,0,0.120535,0,0.9663728
0,177,0,0.1190828,0,0.1192988,0,0.9669932
0,180,0,0.1178665,0,0.1180734,0,0.9676067
0,183,0,0.1166606,0,0.1168595,0,0.9682139
0,186,0,0.1154657,0,0.1156575,0,0.9688148
0,189,0,0.1142824,0,0.1144678,0,0.9694099
0,192,0,0.1131111,0,0.1132908,0,0.9699992
0,195,0,0.1119522,0,0.1121269,0,0.970583
0,198,0,0.1108059,0,0.1109761,0,0.9711614
0,201,0,0.1096726,0,0.1098387,0,0.9717345
0,204,0,0.1085523,0,0.1087148,0,0.9723025
0,207,0,0.1074453,0,0.1076044,0,0.9728655
0,210,0,0.1063516,0,0.1065076,0,0.9734237
0,213,0,0.1052712,0,0.1054244,0,0.973977
0,216,0,0.1042042,0,0.1043548,0,0.9745256
0,219,0,0.1031505,0,0.1032987,0,0.9750697
0,222,0,0.1021102,0,0.1022561,0,0.9756092
0,225,0,0.1010831,0,0.1012269,0,0.9761442
0,228,0,0.1000692,0,0.1002109,0,0.9766748
0,231,0,0.0990684,0,0.09920817,0,0.977201
0,234,0,0.09808056,0,0.09821843,0,0.9777231
0,237,0,0.09710558,0,0.09724159,0,0.9782408
0,240,0,0.09614331,0,0.09627751,0,0.9787544
0,243,0,0.09519362,0,0.09532603,0,0.9792639
0,246,0,0.09425637,0,0.094387,0,0.9797693
0,249,0,0.09333139,0,0.09346026,0,0.9802707
0,252,0,0.09241854,0,0.09254564,0,0.9807681
0,255,0,0.09151763,0,0.09164298,0,0.9812616
0,258,0,0.09062852,0,0.09075209,0,0.9817511
0,261,0,0.08975103,0,0.08987281,0,0.9822368
0,264,0,0.08888499,0,0.08900496,0,0.9827187
0,267,0,0.08803024,0,0.08814838,0,0.9831968
0,270,0,0.0871866,0,0.08730288,0,0.9836711
0,273,0,0.0863539,0,0.0864683,0,0.9841417
0,276,0,0.08553196,0,0.08564446,0,0.9846087
0,279,0,0.08472063,0,0.0848312,0,0.9850719
0,282,0,0.08391973,0,0.08402833,0,0.9855316
0,285,0,0.08312909,0,0.08323571,0,0.9859876
0,288,0,0.08234855,0,0.08245315,0,0.9864401
0,291,0,0.08157793,0,0.08168049,0,0.9868891
0,294,0,0.0808171,0,0.08091757,0,0.9873345
0,297,0,0.08006587,0,0.08016425,0,0.9877765
0,300,0,0.0793241,0,0.07942034,0,0.9882151
0,303,0,0.07859161,0,0.0786857,0,0.9886502
0,306,0,0.07786828,0,0.07796018,0,0.9890819
0,309,0,0.07715394,0,0.07724362,0,0.9895103
0,312,0,0.07644843,0,0.07653588,0,0.9899353
0,315,0,0.07575164,0,0.07583682,0,0.990357
0,318,0,0.07506339,0,0.07514629,0,0.9907755
0,321,0,0.07438356,0,0.07446415,0,0.9911907
0,324,0,0.07371201,0,0.07379027,0,0.9916026
0,327,0,0.0730486,0,0.07312451,0,0.9920113
0,330,0,0.07239319,0,0.07246674,0,0.9924168
0,333,0,0.07174567,0,0.07181682,0,0.9928192
0,336,0,0.07110589,0,0.07117464,0,0.9932184
0,339,0,0.07047374,0,0.07054006,0,0.9936145
0,342,0,0.06984908,0,0.06991297,0,0.9940075
0,345,0,0.06923181,0,0.06929325,0,0.9943974
0,348,0,0.06862178,0,0.06868076,0,0.9947843
0,351,0,0.06801891,0,0.06807541,0,0.9951681
0,354,0,0.06742307,0,0.06747708,0,0.995549
0,357,0,0.06683414,0,0.06688565,0,0.9959269
0,360,0,0.06625202,0,0.06630103,0,0.9963017
0,363,0,0.0656766,0,0.06572309,0,0.9966737
0,366,0,0.06510778,0,0.06515175,0,0.9970427
0,369,0,0.06454545,0,0.06458689,0,0.9974089
0,372,0,0.06398951,0,0.06402842,0,0.9977721
0,375,0,0.06343987,0,0.06347623,0,0.9981325
0,378,0,0.06289642,0,0.06293025,0,0.9984901
0,381,0,0.06235908,0,0.06239036,0,0.9988448
0,384,0,0.06182774,0,0.06185648,0,0.9991968
0,387,0,0.06130233,0,0.06132852,0,0.999546
0,390,0,0.06078274,0,0.06080638,0,0.9998924
0,393,0,0.06026889,0,0.06028999,0,1.000236
0,396,0,0.05976071,0,0.05977925,0,1.000577
0,399,0,0.05925809,0,0.05927409,0,1.000915
0,402,0,0.05876096,0,0.05877442,0,1.001251
0,405,0,0.05826925,0,0.05828016,0,1.001584
0,408,0,0.05778286,0,0.05779124,0,1.001914
0,411,0,0.05730173,0,0.05730757,0,1.002242
0,414,0,0.05682577,0,0.05682908,0,1.002567
0,417,0,0.05635492,0,0.0563557,0,1.00289
0,420,0,0.05588909,0,0.05588736,0,1.003209
0,423,0,0.05542823,0,0.05542398,0,1.003527
0,426,0,0.05497225,0,0.0549655,0,1.003842
0,429,0,0.05452109,0,0.05451183,0,1.004154
0,432,0,0.05407468,0,0.05406293,0,1.004464
0,435,0,0.05363296,0,0.05361873,0,1.004771
0,438,0,0.05319585,0,0.05317914,0,1.005076
0,441,0,0.0527633,0,0.05274413,0,1.005379
0,444,0,0.05233525,0,0.05231362,0,1.005679
0,447,0,0.05191163,0,0.05188755,0,1.005977
0,450,0,0.05149238,0,0.05146586,0,1.006272
0,453,0,0.05107745,0,0.0510485,0,1.006565
0,456,0,0.05066677,0,0.0506354,0,1.006855
0,459,0,0.05026029,0,0.05022651,0,1.007144
0,462,0,0.04985795,0,0.04982178,0,1.00743
0,465,0,0.0494597,0,0.04942114,0,1.007713
0,468,0,0.04906549,0,0.04902455,0,1.007995
0,471,0,0.04867525,0,0.04863195,0,1.008274
0,474,0,0.04828895,0,0.0482433,0,1.008551
0,477,0,0.04790652,0,0.04785854,0,1.008825
0,480,0,0.04752792,0,0.04747761,0,1.009098
0,483,0,0.0471531,0,0.04710048,0,1.009368
0,486,0,0.04678201,0,0.04672709,0,1.009636
0,489,0,0.04641461,0,0.0463574,0,1.009902
0,492,0,0.04605084,0,0.04599135,0,1.010166
0,495,0,0.04569066,0,0.04562892,0,1.010427
0,498,0,0.04533403,0,0.04527004,0,1.010687
0,501,0,0.04498089,0,0.04491467,0,1.010944
0,504,0,0.04463122,0,0.04456278,0,1.011199
0,507,0,0.04428496,0,0.04421432,0,1.011453
0,510,0,0.04394208,0,0.04386924,0,1.011704
0,513,0,0.04360252,0,0.04352751,0,1.011953
0,516,0,0.04326626,0,0.04318909,0,1.0122
0,519,0,0.04293325,0,0.04285393,0,1.012445
0,522,0,0.04260345,0,0.04252199,0,1.012688
0,525,0,0.04227682,0,0.04219325,0,1.012929
0,528,0,0.04195333,0,0.04186765,0,1.013168
0,531,0,0.04163294,0,0.04154517,0,1.013406
0,534,0,0.0413156,0,0.04122576,0,1.013641
0,537,0,0.0410013,0,0.04090939,0,1.013874
0,540,0,0.04068998,0,0.04059603,0,1.014106
0,543,0,0.04038161,0,0.04028564,0,1.014335
0,546,0,0.04007617,0,0.03997818,0,1.014563
0,549,0,0.03977361,0,0.03967362,0,1.014789
0,552,0,0.03947391,0,0.03937193,0,1.015012
0,555,0,0.03917702,0,0.03907308,0,1.015234
0,558,0,0.03888292,0,0.03877702,0,1.015455
0,561,0,0.03859157,0,0.03848374,0,1.015673
0,564,0,0.03830295,0,0.0381932,0,1.01589
0,567,0,0.03801703,0,0.03790536,0,1.016105
0,570,0,0.03773377,0,0.0376202,0,1.016318
0,573,0,0.03745314,0,0.03733769,0,1.016529
0,576,0,0.03717511,0,0.03705781,0,1.016739
0,579,0,0.03689966,0,0.0367805,0,1.016947
0,582,0,0.03662675,0,0.03650576,0,1.017153
0,585,0,0.03635636,0,0.03623356,0,1.017357
0,588,0,0.03608846,0,0.03596385,0,1.01756
0,591,0,0.03582301,0,0.03569662,0,1.017761
0,594,0,0.03556001,0,0.03543184,0,1.017961
0,597,0,0.03529942,0,0.03516949,0,1.018158
0,600,0,0.03504121,0,0.03490954,0,1.018355
0,603,0,0.03478535,0,0.03465196,0,1.018549
0,606,0,0.03453183,0,0.03439672,0,1.018742
0,609,0,0.03428061,0,0.03414381,0,1.018933
0,612,0,0.03403167,0,0.03389319,0,1.019123
0,615,0,0.03378499,0,0.03364484,0,1.019311
0,618,0,0.03354054,0,0.03339873,0,1.019498
0,621,0,0.03329829,0,0.03315485,0,1.019683
0,624,0,0.03305824,0,0.03291316,0,1.019866
0,627,0,0.03282034,0,0.03267366,0,1.020048
0,630,0,0.03258459,0,0.03243631,0,1.020229
0,633,0,0.03235095,0,0.0322011,0,1.020408
0,636,0,0.03211941,0,0.03196799,0,1.020585
0,639,0,0.03188995,0,0.03173697,0,1.020761
0,642,0,0.03166252,0,0.03150801,0,1.020936
0,645,0,0.03143713,0,0.0312811,0,1.021109
0,648,0,0.03121375,0,0.03105621,0,1.02128
0,651,0,0.03099235,0,0.03083332,0,1.021451
0,654,0,0.03077292,0,0.03061241,0,1.021619
