"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,2.638757,6.768954,0
0,6,5.257344,8.760849,0
0,9,7.407408,10.44549,0
0,12,9.224621,11.93773,0
0,15,10.812,13.30212,0
0,18,12.24118,14.57899,0
0,21,13.56098,15.79544,0
0,24,14.80473,16.96978,0
0,27,15.99538,18.11466,0
0,30,17.14874,19.23969,0
0,33,15.57069,13.28624,0
0,36,13.84179,12.02517,0
0,39,12.48921,11.05827,0
0,42,11.42696,10.29192,0
0,45,10.58198,9.671705,0
0,48,9.899837,9.161666,0
0,51,9.341014,8.736178,0
0,54,8.876712,8.37641,0
0,57,8.485738,8.068218,0
0,60,8.152173,7.800792,0
0,63,7.863896,7.565807,0
0,66,7.611632,7.356825,0
0,69,7.388319,7.168911,0
0,72,7.188517,6.998219,0
0,75,7.007943,6.841735,0
0,78,6.843198,6.697046,0
0,81,6.691604,6.562247,0
0,84,6.551055,6.435907,0
0,87,6.41989,6.316777,0
0,90,6.296757,6.203937,0
0,93,6.180445,6.096052,0
0,96,6.069992,5.993253,0
0,99,5.964909,5.894998,0
0,102,5.864557,5.800104,0
0,105,5.768165,5.708566,0
0,108,5.675561,5.62079,0
0,111,5.586625,5.535821,0
0,114,5.500657,5.453096,0
0,117,5.417479,5.372795,0
0,120,5.336788,5.295249,0
0,135,4.966672,4.935259,0
0,150,4.641022,4.616261,0
0,165,4.350009,4.32983,0
0,180,4.087271,4.070405,0
0,195,3.848344,3.83394,0
0,210,3.629822,3.617279,0
0,225,3.429033,3.417905,0
0,240,3.243837,3.233777,0
0,255,3.072428,3.063166,0
0,270,2.913286,2.904614,0
0,285,2.765137,2.756888,0
0,300,2.626912,2.618963,0
0,315,2.497672,2.489902,0
0,330,2.376601,2.368936,0
0,345,2.262922,2.255247,0
0,360,2.156078,2.148424,0
0,375,2.055604,2.047909,0
0,390,1.960917,1.953084,0
0,405,1.871621,1.863722,0
0,420,1.78718,1.779066,0
0,435,1.707401,1.699182,0
0,450,1.631987,1.623597,0
0,465,1.560588,1.552038,0
0,480,1.492967,1.48425,0
0,495,1.428889,1.420002,0
0,510,1.368132,1.359077,0
0,525,1.310496,1.301277,0
0,540,1.255799,1.246421,0
0,555,1.203869,1.194334,0
0,570,1.154549,1.144864,0
0,585,1.10769,1.09786,0
0,600,1.063158,1.05319,0
0,615,1.020825,1.010724,0
0,630,0.9805721,0.9703476,0
0,645,0.9422874,0.9319438,0
0,660,0.9058682,0.8954142,0
0,675,0.8712141,0.8606548,0
0,690,0.8382349,0.8275785,0
0,705,0.8068421,0.7960944,0
0,720,0.7769547,0.7661225,0
0,735,0.7484961,0.7375866,0
0,750,0.7213913,0.7104085,0
0,765,0.6955759,0.6845303,0
0,780,0.6709775,0.6598681,0
0,795,0.6475478,0.6363913,0
0,810,0.6252161,0.6140057,0
0,825,0.6039333,0.5926833,0
0,840,0.5836397,0.5723477,0
0,855,0.5642937,0.5529719,0
0,870,0.5458391,0.5344846,0
0,885,0.5282395,0.5168628,0
0,900,0.5114539,0.5000595,0
0,915,0.495446,0.4840378,0
0,930,0.4801791,0.4687633,0
0,945,0.4656048,0.4541761,0
0,960,0.4516915,0.4402608,0
0,975,0.4383946,0.4269552,0
0,990,0.4257067,0.4142797,0
0,1005,0.4135987,0.4021787,0
0,1020,0.4020341,0.3906215,0
0,1035,0.3909808,0.3795779,0
0,1050,0.3804178,0.3690304,0
0,1065,0.3703201,0.3589489,0
0,1080,0.3606701,0.3493202,0
0,1095,0.3514422,0.340113,0
0,1110,0.3426138,0.3313067,0
0,1125,0.3341701,0.3228916,0
0,1140,0.3260927,0.3148418,0
0,1155,0.3183707,0.3071543,0
0,1170,0.310972,0.2997807,0
0,1185,0.3038811,0.2927224,0
0,1200,0.2970897,0.2859672,0
0,1215,0.2905856,0.2795001,0
0,1230,0.2843537,0.2733057,0
0,1245,0.2783793,0.2673696,0
0,1260,0.2726503,0.26168,0
0,1275,0.2671533,0.2562239,0
0,1290,0.2618788,0.2509914,0
0,1305,0.2568154,0.2459711,0
0,1320,0.2519535,0.2411532,0
0,1335,0.2472833,0.2365278,0
0,1350,0.2427956,0.2320855,0
0,1365,0.2384818,0.227818,0
0,1380,0.2343332,0.2237163,0
0,1395,0.2303425,0.2197731,0
0,1410,0.2265017,0.2159805,0
0,1425,0.2228045,0.2123319,0
0,1440,0.2192433,0.2088199,0
