"IndividualId","Time [min]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.0276044,0.4391737,1.124695,0
0,6,0.08905292,0.8710702,1.445116,0
0,9,0.1722174,1.218661,1.706084,0
0,12,0.2720602,1.503786,1.927386,0
0,15,0.3856934,1.743673,2.120576,0
0,18,0.5112361,1.9507,2.293194,0
0,21,0.6473649,2.133587,2.450462,0
0,24,0.793112,2.298504,2.596122,0
0,27,0.9477476,2.44988,2.732916,0
0,30,1.110716,2.59094,2.862876,0
0,33,1.281591,2.724052,2.987508,0
0,36,1.46004,2.850968,3.107952,0
0,39,1.645799,2.973013,3.225066,0
0,42,1.838661,3.091186,3.339507,0
0,45,2.038458,3.206246,3.451771,0
0,48,2.245055,3.318781,3.56224,0
0,51,2.458337,3.429242,3.671213,0
0,54,2.678212,3.53798,3.778923,0
0,57,2.904601,3.645262,3.885539,0
0,60,3.137436,3.751296,3.99119,0
0,63,3.376657,3.856245,4.095985,0
0,66,3.622214,3.960237,4.200015,0
0,69,3.874056,4.063385,4.303351,0
0,72,4.132143,4.16577,4.406036,0
0,75,4.396432,4.267458,4.508102,0
0,78,4.666888,4.36849,4.609565,0
0,81,4.943474,4.468903,4.710465,0
0,84,5.226158,4.568724,4.810836,0
0,87,5.514906,4.667991,4.910707,0
0,90,5.809688,4.766727,5.010071,0
0,93,6.110473,4.86494,5.10886,0
0,96,6.417228,4.962608,5.207053,0
0,99,6.72992,5.059704,5.304634,0
0,102,7.048517,5.156253,5.401781,0
0,105,7.372985,5.252286,5.498535,0
0,108,7.703301,5.347881,5.594841,0
0,111,8.039432,5.442986,5.690516,0
0,114,8.38135,5.537566,5.785396,0
0,117,8.729018,5.631576,5.879869,0
0,120,9.082408,5.725033,5.973992,0
0,135,10.93404,6.184215,6.434387,0
0,150,12.92376,6.631289,6.885288,0
0,165,15.04778,7.063416,7.3182,0
0,180,17.30156,7.481618,7.737561,0
0,195,19.26689,5.966155,5.772278,0
0,210,20.93579,5.255697,5.169624,0
0,225,22.44853,4.804557,4.755907,0
0,240,23.84676,4.454749,4.422264,0
0,255,25.15004,4.158331,4.134171,0
0,270,26.37036,3.897115,3.877888,0
0,285,27.51646,3.662622,3.646661,0
0,300,28.59535,3.449639,3.435837,0
0,315,29.61279,3.254792,3.242543,0
0,330,30.57385,3.07582,3.065032,0
0,345,31.4829,2.910623,2.900576,0
0,360,32.3438,2.757421,2.74813,0
0,375,33.15999,2.615316,2.606474,0
0,390,33.93458,2.482926,2.474389,0
0,405,34.67033,2.359312,2.350999,0
0,420,35.36976,2.243681,2.2355,0
0,435,36.03516,2.135315,2.127202,0
0,450,36.66862,2.033581,2.025483,0
0,465,37.27207,1.937953,1.929828,0
0,480,37.84725,1.847951,1.839765,0
0,495,38.39581,1.763133,1.754849,0
0,510,38.91926,1.68312,1.674725,0
0,525,39.41899,1.607584,1.599089,0
0,540,39.89632,1.536209,1.527557,0
0,555,40.35245,1.468673,1.459853,0
0,570,40.78851,1.404714,1.395792,0
0,585,41.20557,1.344231,1.335163,0
0,600,41.60463,1.286906,1.277678,0
0,615,41.98663,1.232512,1.223116,0
0,630,42.35242,1.180948,1.171457,0
0,645,42.70287,1.132063,1.122411,0
