"IndividualId","Time [min]","Organism|Kidney|Urine|Rifampicin [µmol]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.05521693,0.8785965,2.250797,0
0,6,0.1782194,1.74426,2.896286,0
0,9,0.3449214,2.443896,3.426277,0
0,12,0.5454408,3.021536,3.880146,0
0,15,0.7741929,3.511655,4.280786,0
0,18,1.027593,3.938891,4.643006,0
0,21,1.303164,4.320512,4.977073,0
0,24,1.599117,4.668704,5.290316,0
0,27,1.914141,4.992178,5.588037,0
0,30,2.247263,5.297218,5.874188,0
0,33,2.597753,5.588448,6.151642,0
0,36,2.965065,5.869256,6.422629,0
0,39,3.348789,6.142226,6.688663,0
0,42,3.748612,6.409172,6.951101,0
0,45,4.164306,6.671714,7.210896,0
0,48,4.595694,6.930673,7.468064,0
0,51,5.042628,7.186954,7.724146,0
0,54,5.505016,7.441218,7.978739,0
0,57,5.982783,7.694005,8.232488,0
0,60,6.475852,7.945298,8.485344,0
0,63,6.984172,8.195607,8.737427,0
0,66,7.507706,8.445145,8.988661,0
0,69,8.046429,8.694122,9.238991,0
0,72,8.600278,8.942032,9.490318,0
0,75,9.169234,9.189508,9.739971,0
0,78,9.75326,9.436333,9.989194,0
0,81,10.35232,9.682549,10.23777,0
0,84,10.96638,9.928134,10.48567,0
0,87,11.59539,10.17305,10.73286,0
0,90,12.23933,10.41727,10.97929,0
0,93,12.89813,10.66075,11.2249,0
0,96,13.57176,10.90344,11.46963,0
0,99,14.26016,11.14529,11.71344,0
0,102,14.96328,11.38626,11.95628,0
0,105,15.68106,11.6263,12.19808,0
0,108,16.41344,11.86535,12.4388,0
0,111,17.16036,12.10338,12.6784,0
0,114,17.92175,12.34032,12.91682,0
0,117,18.69755,12.57614,13.15403,0
0,120,19.48768,12.8108,13.38998,0
0,135,23.65069,13.96534,14.54976,0
0,150,28.16014,15.08589,15.67374,0
0,165,33.00516,16.16989,16.75984,0
0,180,38.1744,17.21611,17.80714,0
0,195,42.79444,14.15675,13.73987,0
0,210,46.76911,12.53588,12.31948,0
0,225,50.36961,11.43527,11.2964,0
0,240,53.68595,10.56198,10.46067,0
0,255,56.7648,9.819125,9.739576,0
0,270,59.63666,9.166955,9.101709,0
0,285,62.32447,8.585066,8.530072,0
0,300,64.84676,8.060415,8.012744,0
0,315,67.2188,7.58369,7.542014,0
0,330,69.45384,7.148485,7.111433,0
0,345,71.5633,6.749258,6.71581,0
0,360,73.55716,6.381331,6.350691,0
0,375,75.44418,6.04127,6.012953,0
0,390,77.23217,5.725652,5.698905,0
0,405,78.92807,5.432216,5.407156,0
0,420,80.53811,5.158507,5.134417,0
0,435,82.06792,4.902669,4.879388,0
0,450,83.52261,4.663091,4.640408,0
0,465,84.90681,4.438339,4.416091,0
0,480,86.22481,4.227158,4.205215,0
0,495,87.48047,4.028465,4.006721,0
0,510,88.67744,3.841294,3.819666,0
0,525,89.81908,3.66478,3.643199,0
0,540,90.90845,3.498158,3.476571,0
0,555,91.94847,3.340734,3.319098,0
0,570,92.9418,3.191892,3.170177,0
0,585,93.89095,3.051064,3.029243,0
0,600,94.79828,2.917745,2.895802,0
0,615,95.66597,2.791458,2.769377,0
0,630,96.4961,2.671776,2.649548,0
0,645,97.29061,2.558315,2.535948,0
0,660,98.05133,2.450715,2.428188,0
0,675,98.77998,2.348568,2.325865,0
0,690,99.47817,2.251613,2.228775,0
0,705,100.1474,2.159552,2.136554,0
0,720,100.7893,2.072135,2.049006,0
0,735,101.405,1.989087,1.965811,0
0,750,101.9959,1.910194,1.886801,0
0,765,102.5632,1.835221,1.811698,0
0,780,103.1081,1.763937,1.740292,0
0,795,103.6318,1.696149,1.672392,0
0,810,104.1351,1.631678,1.607821,0
0,825,104.6192,1.570339,1.546378,0
0,840,105.0849,1.511985,1.487946,0
0,855,105.5331,1.456448,1.432323,0
0,870,105.9647,1.403596,1.379407,0
0,885,106.3805,1.353277,1.32902,0
0,900,106.7812,1.305372,1.281066,0
0,915,107.1676,1.259751,1.235396,0
0,930,107.5403,1.216301,1.191907,0
0,945,107.9,1.174912,1.150489,0
0,960,108.2472,1.135475,1.111024,0
0,975,108.5827,1.097899,1.073436,0
0,990,108.9069,1.062083,1.037606,0
0,1005,109.2204,1.027944,1.003468,0
0,1020,109.5236,0.9953913,0.9709129,0
0,1035,109.8171,0.9643437,0.9398744,0
0,1050,110.1012,0.9347379,0.9102878,0
0,1065,110.3765,0.9065015,0.8820729,0
0,1080,110.6433,0.879564,0.855162,0
0,1095,110.9021,0.8538579,0.8294875,0
0,1110,111.1531,0.8293217,0.8049883,0
0,1125,111.3968,0.8058987,0.7816072,0
0,1140,111.6335,0.783532,0.7592871,0
0,1155,111.8634,0.7621701,0.7379758,0
0,1170,112.087,0.7417639,0.7176247,0
0,1185,112.3044,0.7222655,0.6981852,0
0,1200,112.516,0.7036302,0.6796126,0
0,1215,112.722,0.6858172,0.6618659,0
0,1230,112.9227,0.6687834,0.6449016,0
0,1245,113.1183,0.6524923,0.6286834,0
0,1260,113.309,0.6369066,0.6131737,0
0,1275,113.4951,0.6219906,0.5983368,0
0,1290,113.6766,0.6077123,0.5841399,0
0,1305,113.854,0.5940398,0.5705512,0
0,1320,114.0272,0.5809441,0.5575419,0
0,1335,114.1965,0.5683975,0.5450843,0
0,1350,114.3621,0.5563726,0.5331503,0
0,1365,114.524,0.5448442,0.5217147,0
0,1380,114.6826,0.5337886,0.5107535,0
0,1395,114.8378,0.5231826,0.5002441,0
0,1410,114.9898,0.5130051,0.490165,0
0,1425,115.1389,0.503234,0.4804935,0
0,1440,115.285,0.4938498,0.4712098,0
0,1455,116.2159,4.004051,4.752697,0
0,1470,117.8572,5.783813,6.336805,0
0,1485,119.9453,7.138108,7.648278,0
0,1500,122.4246,8.375791,8.881342,0
0,1515,125.2773,9.568434,10.07996,0
0,1530,128.494,10.73246,11.25085,0
0,1545,132.0659,11.86675,12.3909,0
0,1560,135.9832,12.96816,13.49637,0
0,1575,140.235,14.03334,14.56416,0
0,1590,144.8096,15.06041,15.5923,0
0,1605,149.695,16.04816,16.58025,0
0,1620,154.879,16.99658,17.52819,0
0,1635,159.479,13.85932,13.39258,0
0,1650,163.4044,12.18397,11.92131,0
0,1665,166.935,11.04002,10.85745,0
0,1680,170.1653,10.13234,9.989704,0
0,1695,173.1452,9.363439,9.244663,0
0,1710,175.9081,8.692279,8.589713,0
0,1725,178.4793,8.09722,8.006516,0
0,1740,180.8791,7.564279,7.482554,0
0,1755,183.1247,7.084288,7.009947,0
0,1770,185.2307,6.648435,6.579566,0
0,1785,187.2093,6.251441,6.187508,0
0,1800,189.0717,5.888337,5.827864,0
0,1815,190.8274,5.554805,5.497468,0
0,1830,192.4849,5.247442,5.192638,0
0,1845,194.0515,4.963408,4.910655,0
0,1860,195.5341,4.700225,4.649165,0
0,1875,196.9386,4.455793,4.406135,0
0,1890,198.2705,4.228298,4.179801,0
0,1905,199.5347,4.016163,3.968636,0
0,1920,200.7357,3.81802,3.7713,0
0,1935,201.8776,3.632679,3.586636,0
0,1950,202.9641,3.459095,3.413633,0
0,1965,203.9987,3.296293,3.251278,0
0,1980,204.9846,3.143436,3.09886,0
0,1995,205.9246,2.999885,2.955695,0
0,2010,206.8216,2.864929,2.821032,0
0,2025,207.6781,2.737795,2.694098,0
0,2040,208.4964,2.617979,2.574552,0
0,2055,209.2786,2.505018,2.461765,0
0,2070,210.0269,2.398637,2.355684,0
0,2085,210.7432,2.298281,2.255417,0
0,2100,211.4293,2.203483,2.1608,0
0,2115,212.0868,2.11389,2.071342,0
0,2130,212.7173,2.029258,1.986884,0
0,2145,213.3223,1.949281,1.907035,0
0,2160,213.9032,1.873593,1.831452,0
0,2175,214.4613,1.801929,1.759923,0
0,2190,214.9978,1.734077,1.69219,0
0,2205,215.5137,1.669914,1.628217,0
0,2220,216.0103,1.609168,1.567559,0
0,2235,216.4886,1.551618,1.510171,0
0,2250,216.9495,1.497017,1.455658,0
0,2265,217.394,1.445293,1.404128,0
0,2280,217.8227,1.396223,1.355156,0
0,2295,218.2367,1.349654,1.30874,0
0,2310,218.6366,1.305484,1.264711,0
0,2325,219.0232,1.263557,1.222931,0
0,2340,219.3971,1.223747,1.183271,0
0,2355,219.759,1.185938,1.145614,0
0,2370,220.1094,1.150016,1.109848,0
0,2385,220.449,1.115878,1.075868,0
0,2400,220.7783,1.083423,1.043575,0
0,2415,221.0978,1.052561,1.012877,0
0,2430,221.4079,1.023203,0.9836856,0
0,2445,221.7092,0.9952682,0.9559206,0
0,2460,222.0021,0.9686775,0.9295017,0
0,2475,222.2869,0.9433585,0.9043571,0
0,2490,222.5641,0.9192411,0.8804167,0
0,2505,222.8341,0.8962589,0.8576136,0
0,2520,223.0971,0.8743504,0.8358856,0
0,2535,223.3535,0.8534575,0.8151751,0
0,2550,223.6036,0.833527,0.7954296,0
0,2565,223.8477,0.8145071,0.7765965,0
0,2580,224.086,0.7963481,0.758625,0
0,2595,224.3189,0.7790052,0.7414708,0
0,2610,224.5466,0.7624357,0.7250924,0
0,2625,224.7693,0.7465985,0.7094481,0
0,2640,224.9872,0.7314519,0.6944939,0
0,2655,225.2006,0.7169601,0.6801946,0
0,2670,225.4096,0.7030912,0.6665212,0
0,2685,225.6144,0.6898119,0.6534398,0
0,2700,225.8153,0.6770863,0.6409097,0
0,2715,226.0123,0.6648858,0.6289029,0
0,2730,226.2057,0.6531898,0.6174053,0
0,2745,226.3956,0.6419727,0.6063917,0
0,2760,226.582,0.6312016,0.5958191,0
0,2775,226.7653,0.6208529,0.5856633,0
0,2790,226.9455,0.6109107,0.5759191,0
0,2805,227.1227,0.6013533,0.5665659,0
0,2820,227.297,0.5921512,0.5575619,0
0,2835,227.4686,0.5832833,0.5488845,0
0,2850,227.6375,0.574747,0.5405464,0
0,2865,227.8039,0.5665303,0.532539,0
0,2880,227.9678,0.5586092,0.5248213,0
0,2895,228.9226,4.057807,4.789547,0
0,2910,230.589,5.81502,6.348862,0
0,2925,232.6983,7.140628,7.629663,0
0,2940,235.1926,8.34382,8.826444,0
0,2955,238.0519,9.497285,9.982693,0
0,2970,241.265,10.61633,11.10735,0
0,2985,244.8218,11.7024,12.1975,0
0,3000,248.7115,12.75287,13.25078,0
0,3015,252.9223,13.76534,14.26472,0
0,3030,257.4419,14.73842,15.23726,0
0,3045,262.258,15.67171,16.1709,0
0,3060,267.3582,16.56556,17.06339,0
0,3075,271.8551,13.39206,12.90019,0
0,3090,275.6639,11.6991,11.41414,0
0,3105,279.0701,10.54466,10.34136,0
0,3120,282.1707,9.631359,9.46938,0
0,3135,285.0175,8.860765,8.723956,0
0,3150,287.6455,8.19157,8.072039,0
0,3165,290.0811,7.601255,7.494513,0
0,3180,292.3455,7.075511,6.978649,0
0,3195,294.4568,6.604179,6.515206,0
0,3210,296.4301,6.178597,6.095821,0
0,3225,298.2782,5.792768,5.715282,0
0,3240,300.0126,5.441864,5.368451,0
0,3255,301.6432,5.120696,5.05081,0
0,3270,303.1785,4.826259,4.759318,0
0,3285,304.6263,4.555213,4.490568,0
0,3300,305.9932,4.30515,4.242491,0
0,3315,307.2855,4.073907,4.012899,0
0,3330,308.5086,3.859642,3.800177,0
0,3345,309.6676,3.660672,3.602348,0
0,3360,310.7668,3.475522,3.418277,0
0,3375,311.8104,3.303036,3.246693,0
0,3390,312.802,3.142077,3.086521,0
0,3405,313.7452,2.991688,2.936823,0
0,3420,314.6431,2.851011,2.796756,0
0,3435,315.4985,2.719273,2.66556,0
0,3450,316.3142,2.595789,2.542565,0
0,3465,317.0926,2.479934,2.427155,0
0,3480,317.8359,2.371161,2.318785,0
0,3495,318.5464,2.268945,2.216941,0
0,3510,319.2259,2.172841,2.121182,0
0,3525,319.8763,2.082437,2.031112,0
0,3540,320.4992,1.997322,1.946305,0
0,3555,321.0964,1.917153,1.866419,0
0,3570,321.6693,1.841634,1.791203,0
0,3585,322.2192,1.770436,1.72029,0
0,3600,322.7476,1.703246,1.653334,0
0,3615,323.2556,1.639806,1.590138,0
0,3630,323.7443,1.579883,1.530478,0
0,3645,324.2148,1.523314,1.474181,0
0,3660,324.6682,1.469869,1.420997,0
0,3675,325.1053,1.419359,1.370717,0
0,3690,325.5271,1.371605,1.323211,0
0,3705,325.9344,1.326415,1.278269,0
0,3720,326.328,1.283585,1.235648,0
0,3735,326.7086,1.243007,1.195318,0
0,3750,327.0768,1.204592,1.15717,0
0,3765,327.4334,1.168244,1.121075,0
0,3780,327.7789,1.133799,1.086863,0
0,3795,328.114,1.101055,1.05433,0
0,3810,328.4392,1.07001,1.023566,0
0,3825,328.7549,1.040576,0.9943634,0
0,3840,329.0617,1.012622,0.9666618,0
0,3855,329.36,0.9860384,0.9403118,0
0,3870,329.6503,0.9608099,0.9153535,0
0,3885,329.933,0.9368827,0.8916895,0
0,3900,330.2083,0.9140837,0.8690956,0
0,3915,330.4768,0.8923348,0.8476058,0
0,3930,330.7387,0.8716685,0.8272157,0
0,3945,330.9943,0.8520051,0.8077742,0
0,3960,331.244,0.8332248,0.7892421,0
0,3975,331.4879,0.8153233,0.7716072,0
0,3990,331.7265,0.7982726,0.7547996,0
0,4005,331.9599,0.7819777,0.7387457,0
0,4020,332.1884,0.7664105,0.7234333,0
