"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.00108012,0.009061457,0.01440744
0,6,0.01573319,0.05708887,0.04765255
0,9,0.05974851,0.1531628,0.0967467
0,12,0.1442358,0.3033795,0.1586148
0,15,0.2763633,0.5090423,0.2289307
0,18,0.4589759,0.767054,0.3033879
0,21,0.6909232,1.071073,0.3782889
0,24,0.9677687,1.412491,0.4507395
0,27,1.2826,1.781339,0.5186799
0,30,1.626873,2.1672,0.5808149
0,33,1.991247,2.559944,0.6364859
0,36,2.366314,2.950339,0.685516
0,39,2.743199,3.330437,0.7280942
0,42,3.114004,3.693797,0.764645
0,45,3.472071,4.035507,0.7957265
0,48,3.812091,4.352102,0.821956
0,51,4.130098,4.641393,0.8439545
0,54,4.423357,4.90228,0.862314
0,57,4.690227,5.134531,0.8775805
0,60,4.929984,5.338625,0.8902411
0,63,5.142643,5.515545,0.900722
0,66,5.328787,5.666576,0.9093903
0,69,5.489419,5.793346,0.9165594
0,72,5.62589,5.897644,0.9224939
0,75,5.739719,5.981048,0.9274153
0,78,5.832486,6.045506,0.9315076
0,81,5.905965,6.093078,0.9349232
0,84,5.961867,6.124694,0.9377878
0,87,6.001595,6.142264,0.9402047
0,90,6.026953,6.148338,0.9422584
0,93,6.039601,6.142667,0.9440178
0,96,6.040637,6.127629,0.9455392
0,99,6.031481,6.104386,0.9468687
0,102,6.013418,6.072984,0.9480432
0,105,5.987397,6.035803,0.9490929
0,108,5.954546,5.992712,0.9500422
0,111,5.91572,5.944907,0.950911
0,114,5.871809,5.893573,0.951715
0,117,5.823579,5.838173,0.9524671
0,120,5.771591,5.7805,0.9531778
0,135,5.474965,5.464409,0.9563455
0,150,5.151964,5.133473,0.9592078
0,165,4.83084,4.810224,0.9619595
0,180,4.525496,4.505681,0.96466
0,195,4.241678,4.223889,0.9673263
0,210,3.980849,3.96545,0.9699624
0,225,3.742344,3.729274,0.9725677
0,240,3.524539,3.513551,0.9751396
0,255,3.325465,3.316208,0.9776711
0,270,3.143142,3.135378,0.9801258
0,285,2.975459,2.968723,0.9824982
0,300,2.820816,2.81492,0.9847906
0,315,2.677714,2.672433,0.9870053
0,330,2.544873,2.540029,0.9891444
0,345,2.421199,2.416645,0.99121
0,360,2.305751,2.301371,0.9932039
0,375,2.19772,2.19342,0.9951282
0,390,2.096406,2.092113,0.9969847
0,405,2.001205,1.996859,0.9987753
0,420,1.911599,1.907164,1.000502
0,435,1.827112,1.822536,1.002166
0,450,1.747361,1.742636,1.00377
0,465,1.671975,1.667079,1.005316
0,480,1.600552,1.595403,1.006805
0,495,1.532912,1.527637,1.008239
0,510,1.468836,1.463324,1.00962
0,525,1.408005,1.402293,1.010949
0,540,1.35022,1.344283,1.012228
0,555,1.295274,1.28912,1.013459
0,570,1.243034,1.236686,1.014644
0,585,1.193363,1.186821,1.015784
0,600,1.146068,1.139308,1.01688
0,615,1.101023,1.09409,1.017934
0,630,1.058133,1.051014,1.018948
0,645,1.017253,1.009951,1.019922
0,660,0.9782557,0.9707761,1.02086
0,675,0.9411027,0.9334856,1.02176
0,690,0.9056403,0.8978336,1.022626
0,705,0.8717882,0.8638552,1.023458
0,720,0.8394704,0.8313709,1.024258
0,735,0.8086866,0.8004835,1.025027
0,750,0.7792816,0.7709445,1.025766
0,765,0.7511892,0.7427366,1.026476
0,780,0.7243644,0.7157999,1.027158
0,795,0.6987418,0.6900729,1.027813
0,810,0.6742634,0.6654972,1.028443
0,825,0.6508749,0.6420181,1.029048
0,840,0.628525,0.6195841,1.02963
0,855,0.6071653,0.5981463,1.030189
0,870,0.5867488,0.5776579,1.030726
0,885,0.5672314,0.5580743,1.031243
0,900,0.5485712,0.5393534,1.031739
0,915,0.5307282,0.5214551,1.032216
0,930,0.5136647,0.5043415,1.032675
0,945,0.4973446,0.4879763,1.033116
0,960,0.4817344,0.4723256,1.03354
0,975,0.4668004,0.4573557,1.033947
0,990,0.4525126,0.4430362,1.03434
0,1005,0.4388412,0.4293374,1.034717
0,1020,0.4257575,0.4162301,1.03508
0,1035,0.4132352,0.4036882,1.035429
0,1050,0.4012484,0.3916853,1.035766
0,1065,0.3897731,0.3801975,1.036089
0,1080,0.3787855,0.3692007,1.036401
0,1095,0.3682634,0.3586725,1.036701
0,1110,0.3581858,0.3485916,1.03699
0,1125,0.3485324,0.338938,1.037269
0,1140,0.3392842,0.3296924,1.037537
0,1155,0.3304222,0.3208354,1.037796
0,1170,0.321929,0.3123496,1.038046
0,1185,0.3137881,0.3042183,1.038287
0,1200,0.3059837,0.296426,1.038519
0,1215,0.2985005,0.2889572,1.038743
0,1230,0.2913234,0.2817962,1.03896
0,1245,0.2844386,0.2749291,1.039169
0,1260,0.2778334,0.2683435,1.039371
0,1275,0.2714953,0.2620272,1.039566
0,1290,0.265412,0.2559673,1.039755
0,1305,0.2595711,0.2501509,1.039937
0,1320,0.2539617,0.2445668,1.040114
0,1335,0.2485747,0.2392071,1.040285
0,1350,0.2434002,0.234062,1.040451
0,1365,0.2384273,0.2291194,1.040611
0,1380,0.2336462,0.2243686,1.040767
0,1395,0.2290487,0.219802,1.040917
0,1410,0.2246286,0.2154151,1.041063
0,1425,0.2203785,0.2112008,1.041205
0,1440,0.2162868,0.2071441,1.041343
