"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.00216179,0.01814849,0.01441143
0,6,0.03162404,0.1151022,0.04768996
0,9,0.1210431,0.3120869,0.09638838
0,12,0.2936345,0.6165783,0.1530386
0,15,0.5593392,1.023916,0.2152063
0,18,0.9230061,1.53814,0.2818558
0,21,1.389051,2.162445,0.3516988
0,24,1.960313,2.89603,0.4233025
0,27,2.636667,3.734185,0.4951518
0,30,3.413085,4.658224,0.5622377
0,33,4.270655,5.626854,0.6218357
0,36,5.180932,6.608128,0.6739526
0,39,6.116067,7.576644,0.7189294
0,42,7.05116,8.511922,0.7573317
0,45,7.965172,9.398275,0.7898341
0,48,8.841318,10.22456,0.8171448
0,51,9.666854,10.98334,0.8399597
0,54,10.43283,11.67074,0.8589314
0,57,11.13355,12.285,0.8746511
0,60,11.76604,12.82713,0.8876418
0,63,12.32955,13.29859,0.8983582
0,66,12.82496,13.70334,0.9071894
0,69,13.25457,14.04421,0.9144654
0,72,13.62128,14.32652,0.920463
0,75,13.92902,14.55401,0.9254133
0,78,14.18173,14.73207,0.929508
0,81,14.38383,14.86428,0.9329052
0,84,14.53927,14.95572,0.935735
0,87,14.65272,15.01048,0.938104
0,90,14.72765,15.03132,0.9400995
0,93,14.7684,15.02424,0.9417927
0,96,14.77849,14.99012,0.9432415
0,99,14.76167,14.93519,0.9444931
0,102,14.72058,14.85758,0.9455859
0,105,14.65816,14.76499,0.946551
0,108,14.5776,14.65637,0.9474133
0,111,14.48081,14.53532,0.9481914
0,114,14.37019,14.40312,0.9488999
0,117,14.24763,14.26174,0.9495525
0,120,14.11494,14.11261,0.9501603
0,135,13.34975,13.29379,0.9527826
0,150,12.50954,12.43189,0.9550806
0,165,11.67367,11.59154,0.9572755
0,180,10.88124,10.80317,0.9594379
0,195,10.14862,10.07827,0.9615912
0,210,9.47999,9.4184,0.9637443
0,225,8.8733,8.820197,0.9659016
0,240,8.324245,8.278704,0.9680655
0,255,7.826304,7.78768,0.9702368
0,270,7.374198,7.341189,0.9724151
0,285,6.962401,6.93406,0.9745994
0,300,6.586032,6.561485,0.9767876
0,315,6.240808,6.219314,0.9789776
0,330,5.923027,5.903967,0.9811667
0,345,5.629499,5.612333,0.9833522
0,360,5.357411,5.341733,0.9855132
0,375,5.104113,5.089047,0.9876044
0,390,4.867036,4.852965,0.9896255
0,405,4.644839,4.63098,0.9915782
0,420,4.43575,4.422035,0.9934641
0,435,4.238654,4.224967,0.995285
0,450,4.052557,4.038802,0.9970426
0,465,3.876582,3.862683,0.9987385
0,480,3.709972,3.695869,1.000374
0,495,3.552052,3.537704,1.001952
0,510,3.40223,3.387604,1.003473
0,525,3.259973,3.245047,1.004939
0,540,3.124799,3.10956,1.006351
0,555,2.996272,2.980709,1.007712
0,570,2.873999,2.85811,1.009022
0,585,2.757616,2.741397,1.010284
0,600,2.646803,2.630266,1.0115
0,615,2.541229,2.524356,1.012669
0,630,2.440596,2.423404,1.013795
0,645,2.34473,2.327281,1.014879
0,660,2.253381,2.235631,1.015921
0,675,2.166216,2.148144,1.016924
0,690,2.083,2.064654,1.017889
0,705,2.003578,1.98497,1.018817
0,720,1.927895,1.909105,1.01971
0,735,1.855728,1.836625,1.020568
0,750,1.786674,1.767352,1.021394
0,765,1.720802,1.701331,1.022188
0,780,1.657932,1.638196,1.022952
0,795,1.597835,1.577939,1.023686
0,810,1.540412,1.52031,1.024392
0,825,1.48561,1.465394,1.025072
0,840,1.433274,1.412857,1.025725
0,855,1.383218,1.362688,1.026353
0,870,1.335365,1.314727,1.026957
0,885,1.289747,1.268962,1.027538
0,900,1.246096,1.2252,1.028097
0,915,1.204372,1.183374,1.028634
0,930,1.164485,1.143395,1.029151
0,945,1.126351,1.105179,1.029649
0,960,1.089888,1.068644,1.030127
0,975,1.05502,1.033713,1.030588
0,990,1.021674,1.000312,1.031031
0,1005,0.9897804,0.9683723,1.031458
0,1020,0.9592723,0.9378253,1.031869
0,1035,0.9300861,0.9086075,1.032264
0,1050,0.9021612,0.8806584,1.032645
0,1065,0.8754405,0.8539203,1.033013
0,1080,0.8498679,0.8283369,1.033366
0,1095,0.8253913,0.8038557,1.033707
0,1110,0.8019606,0.7804264,1.034036
0,1125,0.7795283,0.7580013,1.034352
0,1140,0.7580481,0.7365339,1.034658
0,1155,0.7374768,0.7159805,1.034953
0,1170,0.7177732,0.6962999,1.035237
0,1185,0.6988974,0.6774519,1.035511
0,1200,0.6808116,0.6593983,1.035776
0,1215,0.6634797,0.642103,1.036032
0,1230,0.6468676,0.6255317,1.036279
0,1245,0.6309423,0.609651,1.036518
0,1260,0.6156724,0.5944294,1.036749
0,1275,0.6010286,0.5798374,1.036972
0,1290,0.5869812,0.5658451,1.037188
0,1305,0.5735044,0.5524266,1.037398
0,1320,0.5605712,0.539555,1.0376
0,1335,0.5481566,0.5272045,1.037796
0,1350,0.5362366,0.5153506,1.037986
0,1365,0.5247898,0.5039731,1.03817
0,1380,0.5137951,0.4930508,1.038348
0,1395,0.5032305,0.4825601,1.038521
0,1410,0.493076,0.4724806,1.038689
0,1425,0.483315,0.4627972,1.038852
0,1440,0.4739311,0.4534946,1.039011
0,1455,1.026962,1.471829,0.6268281
0,1470,3.852674,5.062333,0.799998
0,1485,8.315811,9.694984,0.9139042
0,1500,11.98496,12.9815,0.9629937
0,1515,14.00105,14.55783,0.9821346
0,1530,14.65586,14.89228,0.9897775
0,1545,14.45691,14.49914,0.9933323
0,1560,13.80368,13.74189,0.9954755
0,1575,12.94998,12.8398,0.9971281
0,1590,12.04141,11.91442,0.9986106
0,1605,11.15451,11.02728,1.000025
0,1620,10.32521,10.20554,1.001402
0,1635,9.566932,9.457809,1.002753
0,1650,8.881362,8.783373,1.004084
0,1665,8.264343,8.17666,1.005399
0,1680,7.710486,7.632523,1.006701
0,1695,7.212127,7.141729,1.007994
0,1710,6.762724,6.699121,1.009277
0,1725,6.356194,6.298189,1.010552
0,1740,5.987145,5.933783,1.011819
0,1755,5.650894,5.601355,1.013078
0,1770,5.343419,5.297,1.014328
0,1785,5.061315,5.017464,1.015568
0,1800,4.801704,4.760089,1.016798
0,1815,4.561766,4.521729,1.018009
0,1830,4.339242,4.300189,1.01918
0,1845,4.131767,4.093719,1.020311
0,1860,3.937896,3.900485,1.021401
0,1875,3.756475,3.719413,1.022453
0,1890,3.585999,3.549465,1.023468
0,1905,3.42568,3.389452,1.024447
0,1920,3.27475,3.238741,1.02539
0,1935,3.132455,3.096597,1.0263
0,1950,2.998184,2.962445,1.027177
0,1965,2.871359,2.835691,1.028023
0,1980,2.751444,2.715823,1.028837
0,1995,2.637987,2.602396,1.029622
0,2010,2.530568,2.494987,1.030379
0,2025,2.428804,2.393225,1.031107
0,2040,2.332342,2.296758,1.031809
0,2055,2.240866,2.205276,1.032485
0,2070,2.15407,2.118464,1.033136
0,2085,2.07169,2.03608,1.033763
0,2100,1.993446,1.957812,1.034367
0,2115,1.919145,1.883528,1.034948
0,2130,1.848549,1.812922,1.035508
0,2145,1.781404,1.745748,1.036047
0,2160,1.717518,1.681871,1.036566
0,2175,1.65678,1.621168,1.037065
0,2190,1.599054,1.563473,1.037547
0,2205,1.544096,1.508498,1.03801
0,2220,1.491723,1.456151,1.038456
0,2235,1.441854,1.406334,1.038886
0,2250,1.394395,1.358924,1.0393
0,2265,1.349195,1.313761,1.039698
0,2280,1.306132,1.27076,1.040082
0,2295,1.265057,1.229721,1.040452
0,2310,1.225861,1.190586,1.040808
0,2325,1.188486,1.153291,1.041151
0,2340,1.152867,1.117756,1.041482
0,2355,1.118894,1.083857,1.041801
0,2370,1.086486,1.051546,1.042108
0,2385,1.055536,1.020671,1.042405
0,2400,1.025948,0.9911672,1.04269
0,2415,0.9976867,0.9630182,1.042966
0,2430,0.9707197,0.9361678,1.043232
0,2445,0.9449688,0.9105206,1.043489
0,2460,0.9203523,0.8860133,1.043736
0,2475,0.8967838,0.8625492,1.043975
0,2490,0.8742316,0.8401212,1.044206
0,2505,0.8527083,0.818734,1.044429
0,2520,0.8321025,0.798249,1.044644
0,2535,0.8123671,0.7786492,1.044852
